"variable","mean_diff","median_diff","sd_diff","min_diff","q1_diff","q3_diff","max_diff"
"asa",0.154892982152686,0.149973285043002,-0.000765353344667499,0.217957518167659,0.163457447581232,0.163456997535084,0.0835773716081361
"ddgent",0.12756401820975,0.130950426577925,-0.00355743224278669,0.18642698500302,0.125200579374286,0.125289566043299,0.087244086810217
"hbe_mean",-0.00866814242410602,-0.0105426433138091,-0.008985868666708,0.0097580755125773,0.00107753729391399,-0.016180840591775,-0.095321909770107
"hpshh",0.140045026130829,0.140407347074467,0.0139741328893822,0.0545288279980418,0.127538379377858,0.146953335007133,0.15222544701242
"resvol",-0.0321685813310041,-0.0305491341486321,0.00562555755390171,-0.053593298941435,-0.0826805226885228,0.0814242291944951,0.11723098660865
"rsa",0.131224436376338,0.126068251879351,-0.0035548745461499,0.18749879357267,0.140922556123208,0.13616224970395,0.073493627256569
"seqent",0.084028484297741,0.089200469112438,0.00444752532657799,-0.0453907768520236,0.070628865844229,0.088963678691263,0.096716674225222
"sizeAA",0.0985891080339483,0.107090046937544,0.00688338922800169,-0.094284226161338,-0.0288117107324537,0.126684667754813,0.143961574611618
"sizeSC",0.0985891080339483,0.107090046937544,0.00688338922800169,-0.094284226161338,-0.0288117107324537,0.126684667754813,0.143961574611618
"VAAarea",0.121517412348421,0.12141222319018,-0.00569838795779649,0.137764438831882,0.132247860221121,0.123481631086806,0.051421175382384
"VAAeccentricity",0.121792561604478,0.127214163596401,-0.0034676769282405,0.132555995501261,0.126824034274549,0.120764693890909,0.097599161258895
"VAAedge_length_total",0.123880074195417,0.125598077136221,-0.0028135332938192,0.144763136889405,0.129400967005004,0.123966774309236,0.066321483428766
"VAAfree_volume",0.117400914652442,0.113852931881473,-0.00745699076952079,0.14700459503843,0.140241064167525,0.109774382242203,0.045113947039117
"VAAmodified_volume",0.12309202089479,0.12733542421536,-0.00537100769104201,0.150026660868189,0.133636845064004,0.121421981016748,0.057493179832827
"VAAnfaces",-0.0459398203783961,-0.0438781511771028,0.0066752863248648,0.028335883909067,-0.037116131270664,-0.0527422806032409,0.0996768912794546
"VAAvolume",0.123976746689007,0.126108835434308,-0.0049539753697856,0.146571147689519,0.134576848066441,0.123539529291569,0.0574475401639001
"VCAarea",0.082483380705861,0.081375066417565,-0.0102737191938756,0.101117226903307,0.087329786619298,0.076988658846569,0.018761878386333
"VCAeccentricity",0.092103675396151,0.08937794988624,-0.00831861787984811,0.116021207752976,0.100362190370882,0.086259905455422,0.038866425388748
"VCAedge_length_total",0.082842866878814,0.083579106658062,-0.00796598800441731,0.096248265993186,0.090047278121292,0.074692032631825,0.0433225963941589
"VCAfree_volume",0.072245487684741,0.068983426140126,-0.0121306844404505,0.097995834181673,0.082160012132334,0.059731574295755,0.026565112582568
"VCAmodified_volume",0.083009724586985,0.080186419883218,-0.0101355427122252,0.112777972184683,0.088882654369317,0.079325784058531,0.0157151433015
"VCAnfaces",-0.005707591028763,-0.00700341986720401,0.000682711924857096,-0.00806502076319104,-0.00580379079284002,-0.0013125188412864,-0.0017568679690033
"VCAvolume",0.083480463348897,0.0820205254036641,-0.0097908845879289,0.105834650663217,0.0932422575186381,0.076475948135174,0.0151494617558859
"VSCarea",0.126252062515933,0.127355561966705,-0.00709635623136201,0.152145054355279,0.134714005251196,0.121943177894244,0.058880542480507
"VSCeccentricity",0.11642084639516,0.116498725422898,-0.0042068157022446,0.164928442609489,0.123243471033721,0.119530437380366,0.060178386114092
"VSCedge_length_total",0.127589373847813,0.128917495844062,-0.0031884830262222,0.180921188127389,0.125029659605713,0.129631998409171,0.074699729390409
"VSCfree_volume",0.120015507203236,0.119720739322576,-0.0064847310243171,0.150233502370148,0.12484387329335,0.119202098266502,0.051667089738804
"VSCmodified_volume",0.125989223548852,0.12375111505908,-0.00666125191353149,0.157669629213162,0.132167675674702,0.126527940177977,0.0646838588058319
"VSCnfaces",-0.0391755195483532,-0.0389906726502582,0.0024432068801749,-0.022710025633357,-0.031569342078309,-0.0423181522986237,0.019284392284601
"VSCvolume",0.126676007999418,0.125122102372019,-0.00651513382779391,0.159879619437087,0.133742398384014,0.127551056081055,0.064682674866278
"wcnAA",0.082614249391752,0.082301818922531,-0.018657909397716,0.0161011965459801,0.066194566268665,0.088463486295648,0.099270890959988
"wcnC",0.022862785033012,0.010237447259814,-0.014395199234857,-0.0324887782886251,0.00929496678738106,0.028172379978608,-0.047481006284095
"wcnCA",0.030848714033347,0.03072495762873,-0.018059039984457,-0.0263927501955981,0.018012870400963,0.038528417708816,-0.00322960774615599
"wcnCB",0.066361967612969,0.0676869804022771,-0.017061078837919,0.00542794231967603,0.050843749080851,0.076120841614423,0.064463684888015
"wcnN",-0.00840091436144597,-0.0075635466275481,-0.014616473500373,-0.057081363793423,-0.0197836871095991,-0.00168073704110305,-0.047305639076659
"wcnO",0.032293895293025,0.022804370554614,-0.014711256423479,-0.024812649805902,0.017675913188864,0.05757139187008,-0.00820024184888898
"wcnSC",0.098246293892824,0.101128248753164,-0.016429994274688,0.0363627714199429,0.0842467618414721,0.107326270948243,0.122327579537834
