"variable","mean_diff","median_diff","sd_diff","min_diff","q1_diff","q3_diff","max_diff"
"asa",-0.0855270425586049,-0.095958618398892,-0.00120789046947001,-0.117204871975617,-0.082970994735438,-0.0850028735317879,-0.055734109965395
"ddgent",-0.090837588062899,-0.090626485157015,-0.0016788543225684,-0.117590755102048,-0.088743557459761,-0.0851152001974561,-0.059617399538633
"hbe_mean",0.00435485972548899,0.020248586044219,0.00992414908299,-0.0240552388181103,0.00451979074698799,0.00622057662702002,0.045108138017302
"hpshh",-0.080227798455033,-0.078427370104471,-0.0082179643776744,0.0589394768789359,-0.07660758383808,-0.088842310317988,-0.062705401388416
"resvol",0.0132844747722223,0.0189942516118215,-0.0081555438516774,-0.00964297414238402,0.0071735274768243,-0.0120778880146197,-0.023462107718608
"rsa",-0.077862388267753,-0.082420295967107,-0.000956927507684002,-0.112736171025683,-0.079387516790499,-0.080093897771467,-0.049358661566818
"seqent",-0.058808528898364,-0.070098338465405,-0.002098629205838,0.0715840765544202,-0.058377672848041,-0.057413770232906,-0.078568468920202
"sizeAA",-0.0211886566573406,-0.0286746518130945,-0.0134030395086066,-0.03136072694154,0.0258774904972062,-0.0390716510577348,-0.035927944960248
"sizeSC",-0.0211886566573406,-0.0286746518130945,-0.0134030395086066,-0.03136072694154,0.0258774904972062,-0.0390716510577348,-0.035927944960248
"VAAarea",-0.0716485620335119,-0.076046547733847,-0.000319692738736999,-0.098759827941909,-0.075275919140101,-0.081428071891774,-0.049372439217387
"VAAeccentricity",-0.0767873358521821,-0.0712034082408189,-0.0033201264121602,-0.099727974019806,-0.077444496728404,-0.087027281881206,-0.040057163034529
"VAAedge_length_total",-0.07306777809326,-0.073204995124187,-0.0021831276493742,-0.0862988090402009,-0.069488413889743,-0.081955772600136,-0.056692048533593
"VAAfree_volume",-0.073500031423555,-0.067964559317876,-0.000971804651037994,-0.120331260132716,-0.074141472723836,-0.080901195049097,-0.050162946374151
"VAAmodified_volume",-0.0720615244462089,-0.0752191728995411,-0.000493060698431996,-0.0946248145188487,-0.077677883561045,-0.0854878561492179,-0.049460130935948
"VAAnfaces",0.0230537655310485,0.026358899094371,-0.00193021243456939,-0.022536888284789,0.016525253236347,0.0254177213037422,-0.0429522479275104
"VAAvolume",-0.072599148762494,-0.069687181506021,-0.000475436749313995,-0.0957764210137064,-0.078955960414835,-0.0856482316496789,-0.0492550670079029
"VCAarea",-0.061853703989643,-0.0641114793845901,0.000465833066161991,-0.09011244136375,-0.066582152576249,-0.065360502560635,-0.059151275106805
"VCAeccentricity",-0.066887922667718,-0.074357275485911,-0.00211681257103999,-0.07702916033058,-0.06516796030112,-0.064525998848309,-0.061522120118185
"VCAedge_length_total",-0.064171998376611,-0.0645530207497079,-0.000522727069854095,-0.086938491930645,-0.073614129441708,-0.065427764190051,-0.081532581694173
"VCAfree_volume",-0.06093706333187,-0.0639236748795819,6.99871697539961e-05,-0.113044679626296,-0.069081170720085,-0.057199637103571,-0.050848618200014
"VCAmodified_volume",-0.061988131006718,-0.066747129374685,0.000279161902524999,-0.0921954420647336,-0.066697952708981,-0.0644373262679619,-0.0564663293182911
"VCAnfaces",0.007248280492071,0.003566925125479,-0.0029261421884759,0.012671407872251,0.010102159532036,0.008136914210414,-0.0343326546256862
"VCAvolume",-0.062489122018359,-0.0628176533766061,0.000435953076883003,-0.0931809028352708,-0.064523333957099,-0.064835398803237,-0.052960546144957
"VSCarea",-0.081625226199604,-0.089197169360545,-0.000424974237320005,-0.113797885356729,-0.070871114877629,-0.082108697638994,-0.049585115243009
"VSCeccentricity",-0.07711167090864,-0.077216423665963,-0.00267114781823011,-0.136145404705271,-0.074245170293536,-0.0746498718248979,-0.057688935988811
"VSCedge_length_total",-0.082838418027932,-0.091239917617608,-0.00256243189499711,-0.0849388408698809,-0.081578462565612,-0.0840320352079429,-0.056381076408324
"VSCfree_volume",-0.0829298250742571,-0.081438399799288,-0.002869157539155,-0.120821392656536,-0.08656853250786,-0.088497146180986,-0.052676740471771
"VSCmodified_volume",-0.081512846230289,-0.084286936471075,-0.00074575204132199,-0.103827078546929,-0.070675508765234,-0.083250595052372,-0.048736873302458
"VSCnfaces",0.0255886976568818,0.0228599281882999,-0.000382874600369502,-0.011885292773307,0.022516110661566,0.0334413030283177,0.00348902496764979
"VSCvolume",-0.082057602923114,-0.083277923620125,-0.000731921627767002,-0.106587957174934,-0.071832406247376,-0.083236785060263,-0.048948654435844
"wcnAA",-0.041129503154625,-0.0403134331405,0.00859242140715799,-0.00315484074755601,-0.0332061268010171,-0.0492185046843181,-0.024129197909193
"wcnC",0.00964254177280699,0.017579491557234,0.011307817740671,0.03430265419574,0.013793002348291,0.00526371746309595,-0.00271677909301399
"wcnCA",-0.0198499381538511,-0.015736058975887,0.00882289912186898,0.0115989531262159,-0.012809472489002,-0.024627416534147,0.011489784436539
"wcnCB",-0.043501161107967,-0.042510719084128,0.00754378518668899,-0.008556742582154,-0.03706808567373,-0.0409719280513511,-0.035752377685487
"wcnN",-0.0176755231849041,-0.0132667844805751,0.00747857879094999,0.00678751232262098,-0.012950827265521,-0.02841385401548,-0.00907405710343898
"wcnO",0.0148019415891411,0.015823759507811,0.01222658011736,0.043958250853977,0.021522308969594,0.010953817820646,-0.036907899369875
"wcnSC",-0.0624805264767611,-0.057841470714957,0.00623995620038699,-0.024606321544001,-0.049366089444738,-0.0614466156596469,-0.048795435257248
