"variable","mean_diff","median_diff","sd_diff","min_diff","q1_diff","q3_diff","max_diff"
"asa",-0.00204802372498497,-0.000529524558026961,0.0069075206798495,-0.0702277113060751,-0.001982393326458,0.00150737027752001,0.023374075103157
"ddgent",0.000101076952293999,0.00400788920765099,0.00865516192288081,-0.0834034612314285,-0.00367074369289999,0.018021644868809,0.026000895722382
"hbe_mean",-0.017537117379679,-0.014013867184593,-0.000513626307067999,0.0236772723981929,-0.012965178594367,-0.017910865801656,-0.043639509712426
"hpshh",0.00500719557061399,0.007668566323596,0.0055556276626117,0.0219125408704252,0.00453177674240801,0.011796747311785,0.010133631958235
"resvol",-0.0050328217527965,-0.0058162278663859,0.000612997544373509,-0.004248452951504,-0.00938631654411101,-0.000878510019116461,0.00202600140738401
"rsa",-0.00449681880724201,-0.00165524433488701,0.0063477847447182,-0.0812372650317785,-0.00499360203509902,-0.00486360677471498,0.021895129755245
"seqent",0.00271249109413502,-0.00255309645687002,0.00426255240161499,0.0500529164306234,0.00552153815159698,0.00770556507480497,0.011283541503202
"sizeAA",-0.00587216688937675,-0.00171462254048104,-0.0004856196045913,-0.018338839992988,-0.0048355611539251,0.003289332183355,0.00281659640737303
"sizeSC",-0.00587216688937675,-0.00171462254048104,-0.0004856196045913,-0.018338839992988,-0.0048355611539251,0.003289332183355,0.00281659640737303
"VAAarea",-0.00234089286700401,-0.00562884573358202,0.00711172158219271,-0.045149904296875,0.00124244533173001,0.000335905182263008,0.027450299477438
"VAAeccentricity",-0.00176541681272402,-0.00301219561194999,0.0054873646601786,-0.022245293342152,-0.00332758025796498,-0.00101078919475295,0.0275582248233031
"VAAedge_length_total",-0.00301488230656705,-0.00249750089344702,0.0063459797394005,-0.0350117960396999,0.005662142727552,-0.00305506143303802,0.029142311845978
"VAAfree_volume",-0.00200086092721702,0.009390275050005,0.00802956980297051,-0.071795618589696,-0.00175015833398701,0.00172603079370592,0.0277170879341669
"VAAmodified_volume",-0.00248748531583198,0.002259762809809,0.0068963771742432,-0.0398367519071537,0.00286336658235797,-0.00662760858109201,0.025876936510885
"VAAnfaces",0.006915252445978,0.0114708432569475,0.0010394495891535,0.010650663423549,0.00625137796057301,0.0028894203482287,0.0119702140931508
"VAAvolume",-0.002534815054479,0.00270869203795399,0.006992904315722,-0.0405182212779654,0.000740926294746036,-0.004912458594033,0.0260211543344691
"VCAarea",-0.00138586314586903,0.00440812762652998,0.0064524925075653,-0.048402334875617,0.00144007857445,0.000218169983012051,0.0263170031314091
"VCAeccentricity",5.35311445329922e-05,0.00241870514866499,0.00425064020719571,0.005873187537771,0.001912883593499,0.00453331697104403,0.0247092495793669
"VCAedge_length_total",-0.00185506154584703,-2.67806448595032e-06,0.0060034816460868,-0.048569725430277,-0.000987018331116973,0.00184141448464692,0.012974905696287
"VCAfree_volume",-0.001588601647937,0.00173729634421699,0.0074035665781744,-0.0752753709766789,-0.007342650081411,0.00654096432444007,0.00135892308226204
"VCAmodified_volume",-0.00157580732210699,-0.00212773339531497,0.0065044976871504,-0.0532419970703766,-0.000957704618549993,0.00282833506914104,0.026512865026356
"VCAnfaces",0.006633472431641,0.002653045316462,-0.0013222965724286,0.00693982849857699,-0.000980975800208006,0.0100123331318368,0.0225714040431289
"VCAvolume",-0.001648884011755,0.00161175987064499,0.006444405520247,-0.0558980663049968,0.00299984566816802,0.00293399855468002,0.026315309601204
"VSCarea",0.001730504825743,-0.00316387609535601,0.0082799291862779,-0.0305831379597995,0.010275301314214,0.005219854092958,0.025402716426711
"VSCeccentricity",0.001142168609992,0.004407915839577,0.00827509890837259,-0.0834802384218889,0.00806898436325804,0.00820403937502501,0.02893567235978
"VSCedge_length_total",0.001703122284618,0.00338373663522101,0.00759191640248269,-0.00955494325687591,0.00299659155056198,0.00507440464072501,0.0267311121735919
"VSCfree_volume",0.00184021245759797,0.00449708799232001,0.00891920374347481,-0.0485206098241052,0.000479809791706032,0.00520452684464101,0.024470308245551
"VSCmodified_volume",0.00171956013462599,0.000588046355666005,0.0083972149010991,-0.0285603898569279,0.00746941663106798,0.00713516076741594,0.025569340785135
"VSCnfaces",0.00240535595044199,0.00360553157459899,0.000601421711564999,0.011767469087289,-0.00384040882399,0.0063766620099887,0.0138440590215338
"VSCvolume",0.00167823101033798,0.00042422872227299,0.0085310898619068,-0.0298357591223386,0.00842278478057501,0.00963716901382594,0.025649153391761
"wcnAA",0.00525091311824499,0.00827529772012903,0.00692447669929699,0.026423541133744,0.0109020481935249,-0.00372465800095501,0.057646691497595
"wcnC",0.00067540632832197,0.00753965049570704,0.00619823584478801,0.020851615260038,0.00515783359169197,-0.009231976848318,0.068268560599207
"wcnCA",0.005251650537071,0.00772250449876,0.00710128528017601,0.0273883816274679,0.00958321692158903,-0.0110716915864481,0.06384661651149
"wcnCB",0.00392856537442798,0.00972862500898808,0.00780579978103901,0.0283763833933071,0.010460927989436,-0.00858899556401604,0.042990002740838
"wcnN",0.00945641945448494,0.012919832299409,0.006018618262569,0.025244123051411,0.015327842742622,-0.000935878253397027,0.0831224443072915
"wcnO",-0.00733307335964695,-0.00110113852878302,0.00407946553642902,0.013717636394898,-0.00391509604228102,-0.012373876800943,0.060380849201224
"wcnSC",0.00658316185261698,0.011336682451373,0.00738353081161899,0.030078957707224,0.014540696376914,0.00410026449191403,0.03506104201808
