"variable","mean_diff","median_diff","sd_diff","min_diff","q1_diff","q3_diff","max_diff"
"asa",-0.040791521699428,-0.037358788200936,-0.00532713466683521,-0.0281352924159785,-0.043013031917444,-0.047873015371883,-0.027867309037089
"ddgent",-0.037971618468438,-0.041639443631949,-0.0028194015245709,-0.0323343241610701,-0.042460552762296,-0.037155495557093,-0.034503003461816
"hbe_mean",-0.00499757661887096,-0.000821650224163972,-0.002168013731171,0.01755985211008,-0.00570520475560798,-0.00740779861484403,0.00442729295009503
"hpshh",-0.025629052356758,-0.029587790561893,-0.0089426577644558,-0.0110107151160852,-0.020091189687052,-0.038095242919385,-0.021897003881975
"resvol",0.0051892618559816,0.0029920629179062,-0.0036923677162967,-0.06369573090575,0.013934063420334,0.00413806547462581,-0.000670801924684994
"rsa",-0.0389314661277739,-0.0296219413507521,-0.00456442301409529,-0.027143633948319,-0.041883086902603,-0.045030202800367,-0.024369494914945
"seqent",-0.023390737924198,-0.027222569738147,-0.000119034667716983,0.0190878627370505,-0.024512679024824,-0.020930011559025,-0.025692023324938
"sizeAA",0.00575996604481669,-0.0070932990860381,-0.0051508915127767,-0.041075766951238,0.0099775467832761,-0.0115306257401759,-0.00317288637242502
"sizeSC",0.00575996604481669,-0.0070932990860381,-0.0051508915127767,-0.041075766951238,0.0099775467832761,-0.0115306257401759,-0.00317288637242502
"VAAarea",-0.036315375041991,-0.0341705657330351,-0.003850497981515,-0.035428799717689,-0.03642699225838,-0.040837290593973,-0.023127022257872
"VAAeccentricity",-0.037040099103538,-0.035055860970298,-0.0041073173118235,0.007430392036998,-0.044562228725802,-0.0328375631910279,-0.046734541205948
"VAAedge_length_total",-0.037314829023298,-0.040226081598162,-0.0026789229670048,-0.0383164233823522,-0.045208467144051,-0.034824860722067,-0.027798875463781
"VAAfree_volume",-0.037147151339249,-0.0352869995522769,-0.00463058516602921,-0.005188047934407,-0.040216481842294,-0.035205120737495,-0.019863569437268
"VAAmodified_volume",-0.03695401175061,-0.0372140611826189,-0.00302491196850599,-0.0446184170951072,-0.04421643140797,-0.0406239282469729,-0.02666508570557
"VAAnfaces",0.0128522028394891,0.0136885652938679,-0.0040014126410659,0.002377805641122,0.00847780947285201,0.0126011082138695,-0.0365204487548026
"VAAvolume",-0.037127284617995,-0.036292922814558,-0.00324467716190201,-0.0419494575358533,-0.045014308360476,-0.037656663138233,-0.026783027585642
"VCAarea",-0.025846286964579,-0.0235014586808739,-0.004520121015496,-0.01133765715312,-0.027575380006415,-0.0310502949979681,-0.0156728753452829
"VCAeccentricity",-0.028527468835189,-0.029956718664262,-0.00371395119857479,-0.021781289521059,-0.025818623772572,-0.026883428145647,-0.029112789421003
"VCAedge_length_total",-0.026648555290798,-0.025952534002876,-0.0034697807743654,-0.006061514545552,-0.025623266622661,-0.026678446311136,-0.027396369614943
"VCAfree_volume",-0.02585972503874,-0.029515669293418,-0.00533841717669699,0.007215949653124,-0.02341942422762,-0.020810118829067,-0.012145314150277
"VCAmodified_volume",-0.0264879072797901,-0.026462302933461,-0.004160069296123,-0.024731478796328,-0.021553235172652,-0.036309894211129,-0.016924502381218
"VCAnfaces",0.00501170112324098,0.00465742218210602,-0.000342391895322203,-0.011294533014782,0.007029858035976,0.000757451877456905,0.0152124100935877
"VCAvolume",-0.0266905866500939,-0.027507187848782,-0.004325446041129,-0.018362435994935,-0.030706970441742,-0.031203017490991,-0.017530214182921
"VSCarea",-0.035359583436996,-0.0383727843180769,-0.002855708707957,-0.025610843817618,-0.041237935103152,-0.035566699742783,-0.0261501522554319
"VSCeccentricity",-0.032918246746311,-0.033393810841758,-0.00334907134590351,-0.0372382672566595,-0.037658771806845,-0.03220909685761,-0.021598919721579
"VSCedge_length_total",-0.036020374957289,-0.036516358023201,-0.00172157692796861,-0.0389684983535508,-0.040859773995513,-0.036484406635459,-0.02890678046284
"VSCfree_volume",-0.035479817981393,-0.032430297596316,-0.0039136341008187,0.00527954866185,-0.03259633780296,-0.0394321160758609,-0.020856099397207
"VSCmodified_volume",-0.035308610764781,-0.035951258280075,-0.002271391184023,-0.0373392834615813,-0.038571705075813,-0.038509958065195,-0.0300312720150809
"VSCnfaces",0.010718846042542,0.010704931178647,-0.000757020985869904,-0.01317413525155,0.006999530390945,0.0071697457730141,-0.0109589266975828
"VSCvolume",-0.03553056112402,-0.038438052769198,-0.002335042408896,-0.0332127438416907,-0.03852650905221,-0.038180734672976,-0.029751925411779
"wcnAA",-0.025670015185125,-0.023715273213223,-0.00104957729363001,-0.00883666736544608,-0.023341146125602,-0.015687966410051,-0.083252058496711
"wcnC",-0.019122004123051,-0.0133074429093371,-0.00409893222028301,-0.00666267227338491,-0.024355612461728,0.001729814837091,-0.050856530273903
"wcnCA",-0.0128897293091189,-0.014837549725611,-0.00215495947351099,-0.00251461379945894,-0.0150109313031409,-0.00647928825722699,-0.04919209994514
"wcnCB",-0.025437668707588,-0.021734145478335,-0.00131179322932801,-0.00990886430761395,-0.022352313756675,-0.00969196220163193,-0.059023276451434
"wcnN",0.00802690321467603,0.00628687964043106,-0.00245240616012399,0.015342434179036,0.000948231600286009,0.014537959216478,-0.011992586529531
"wcnO",-0.0256164005381759,-0.0208998127837891,-0.00277021659367699,-0.009712184585841,-0.035044305300385,-0.0147513090702169,-0.072149528763113
"wcnSC",-0.028582474394812,-0.032226308053215,-0.000770706178025993,-0.013860672415137,-0.02575871402242,-0.022207379792473,-0.069802366228017
