"variable","mean_diff","median_diff","sd_diff","min_diff","q1_diff","q3_diff","max_diff"
"asa",0.0253643145988149,0.0325606160906411,-0.0041533253615042,-0.049375304813708,0.031994414308729,0.025081430933214,9.01709280509699e-05
"ddgent",0.034272762812155,0.034787463469011,0.0012146293010353,-0.030767240129085,0.037359463033541,0.038360373031773,0.038590595953372
"hbe_mean",-0.029491197574444,-0.028070661677938,-0.0100793572284015,-0.0080557772966943,-0.02805484551686,-0.030013430370156,-0.040982777390004
"hpshh",0.045643279929873,0.049441142215457,0.0042702692165589,0.033132259671221,0.040844962660636,0.057185612781022,0.04831700834583
"resvol",0.0363015858125713,0.0331027534717797,0.00154422724636789,-0.036928484640702,-0.0264704224245324,0.0374811886445007,0.031283160587605
"rsa",0.014658061235723,0.016456926341464,-0.0050994960385061,-0.05834885357767,0.021728055476369,0.012649961419182,-0.015745973669554
"seqent",0.016039373632741,0.014533398289994,-0.002428215421268,-0.0159573068473837,0.014117515320074,0.019189595116013,0.00343402270028104
"sizeAA",0.048782668962251,0.04638526406285,0.00132440758307931,-0.0706291606829263,0.0557401059621034,0.046608932938632,0.077540555696659
"sizeSC",0.048782668962251,0.04638526406285,0.00132440758307931,-0.0706291606829263,0.0557401059621034,0.046608932938632,0.077540555696659
"VAAarea",0.0138167665643221,0.015441353408292,-0.0041593540421009,-0.060902933492393,0.0215599281593449,0.013223324703226,-0.00289784501191692
"VAAeccentricity",0.015706971903786,0.013727999415266,-0.0044047406323639,-0.054084007090442,0.0181223465856469,0.01866259378989,-0.03053590538957
"VAAedge_length_total",0.018458808417222,0.01960424574884,-0.00360757869068121,-0.054970944257547,0.019336343374457,0.0163612456101769,0.00726550755154209
"VAAfree_volume",0.00956932239616604,0.00991148681051901,-0.0046763097331354,-0.05997741495689,0.003758761945168,0.00410606577089101,-0.00680790015972399
"VAAmodified_volume",0.016264122607473,0.0152688020802569,-0.00381672140237869,-0.056522455070968,0.024076651166179,0.017733893401622,-0.00103725970888791
"VAAnfaces",-0.0266385455878125,-0.0277870582075803,0.0041905625236527,-0.015103494508618,-0.0215727325496831,-0.0036581312925525,0.011756362066219
"VAAvolume",0.016553837680962,0.013896967910898,-0.00378712646942099,-0.056756963745086,0.024362605769841,0.015194605868591,-0.00111134322524109
"VCAarea",0.002185915688244,0.00022046644168694,-0.00444648453801309,-0.059029522962249,0.00788709307438207,-0.00405804021508804,0.0123211866115489
"VCAeccentricity",0.010116465524683,0.00695002607755202,-0.00364831892738239,-0.057715152136181,0.013015481246908,0.004830347215658,0.00691949588376606
"VCAedge_length_total",0.00631443753014194,0.00444294439397697,-0.0035421294719153,-0.05292206100244,0.01390399016343,0.00261242951211804,0.019159093465441
"VCAfree_volume",-0.00276818614955099,0.000933928913473991,-0.00442183287040841,-0.057280758625752,-0.001474810819177,-0.00741368067266002,-0.024881990250052
"VCAmodified_volume",0.003859629174499,0.00311084826658303,-0.0044009525650674,-0.055093330985882,0.00844456986537101,0.00234359732548395,0.01547152806926
"VCAnfaces",-0.014787181671771,-0.014238800741676,0.003006952966302,-0.00749092962261699,-0.012753142845992,-0.0192864961397948,0.0124369024020531
"VCAvolume",0.00405564177112594,0.0020082113072879,-0.0043819781248005,-0.055526067737979,0.00900478390176995,0.00240072097321498,0.014553446679575
"VSCarea",0.0190000966929921,0.021322273476194,-0.00289033469615199,-0.063155659221014,0.02362981383746,0.020442818447894,-0.00423846457020804
"VSCeccentricity",0.014664832275184,0.016942527448927,-0.00261786943049,-0.059307519175124,0.0171896289954391,0.012813458163613,0.000781234744317016
"VSCedge_length_total",0.024091472334021,0.031025982887439,-0.0024203970217577,-0.057610881632571,0.032899438020793,0.0211764238632181,0.00905912684269405
"VSCfree_volume",0.013917014097476,0.016183831970732,-0.0030392513765246,-0.06463989544906,0.0141458573281,0.00975756242941694,-0.00790296236843102
"VSCmodified_volume",0.01992173955996,0.022550485335221,-0.0026030569370986,-0.060951416732168,0.029477696796839,0.021235013349211,-0.00288876070350397
"VSCnfaces",-0.0258526755582398,-0.0263723699653717,0.0029263320553337,-0.011533273511929,-0.0252878026503019,-0.0301151834454534,0.0262345171125395
"VSCvolume",0.020190679263683,0.0222108952135549,-0.00257925060133719,-0.061192844568287,0.028972264124196,0.021940935037333,-0.00278899458246096
"wcnAA",-0.0149584903984959,-0.023419227951648,-0.00611094983117499,-0.0209726393484591,-0.020428958201401,-0.00649310086325505,-0.058324990714087
"wcnC",-0.045182355101425,-0.0430332211778101,-0.003694225556614,-0.055646113345354,-0.041090735560909,-0.045996451947709,-0.0569345613113744
"wcnCA",-0.032794670374372,-0.0442443824371489,-0.00471639512314499,-0.043613117364974,-0.0332267173662211,-0.0290090406914729,-0.061337415323755
"wcnCB",-0.015831937687381,-0.025146354968531,-0.00494541050499901,-0.0306972333065391,-0.020785423067697,-0.015223140150144,-0.059401581346472
"wcnN",-0.0385643474645111,-0.038973237554918,-0.003283639231859,-0.048816450371308,-0.037162011055805,-0.0436683554263919,-0.0533219215468646
"wcnO",-0.044739147233738,-0.047630772939523,-0.00366358612901399,-0.055255170492889,-0.0408975613789719,-0.051567872472175,-0.052087982978497
"wcnSC",-0.00203969125911907,-0.00398987788568594,-0.004485394968476,-0.017298073610843,-0.00929104314673601,0.000533088078203958,-0.061868998312176
