"var1","var2","abs.spearman.r","spearman.r","spearman.p"
"r.ddgent.bfCB","r.bfCB.ddgent",1,1,0
"r.ddgent.bfCB","r.bfCA.ddgent",0.921622487526109,0.921622487526109,0
"r.ddgent.bfCB","r.ddgent.bfCA",0.921622487526109,0.921622487526109,0
"r.ddgent.bfCB","r.bfAA.ddgent",0.892541991501114,0.892541991501114,0
"r.ddgent.bfCB","r.ddgent.bfAA",0.892541991501114,0.892541991501114,0
"r.ddgent.bfCB","r.bfSC.ddgent",0.890399884760866,0.890399884760866,0
"r.ddgent.bfCB","r.ddgent.bfSC",0.890399884760866,0.890399884760866,0
"r.ddgent.bfCB","r.bfCB.rsa",0.882649804664701,0.882649804664701,0
"r.ddgent.bfCB","r.rsa.bfCB",0.882649804664701,0.882649804664701,0
"r.ddgent.bfCB","r.bfN.ddgent",0.876845626749387,0.876845626749387,0
"r.ddgent.bfCB","r.ddgent.bfN",0.876845626749387,0.876845626749387,0
"r.ddgent.bfCB","r.asa.bfCB",0.87326923984393,0.87326923984393,0
"r.ddgent.bfCB","r.bfCB.asa",0.87326923984393,0.87326923984393,0
"r.ddgent.bfCB","r.bfC.ddgent",0.853245198576399,0.853245198576399,0
"r.ddgent.bfCB","r.ddgent.bfC",0.853245198576399,0.853245198576399,0
"r.ddgent.bfCB","r.bfCA.rsa",0.843565359712498,0.843565359712498,0
"r.ddgent.bfCB","r.rsa.bfCA",0.843565359712498,0.843565359712498,0
"r.ddgent.bfCB","r.bfN.rsa",0.83016011782208,0.83016011782208,0
"r.ddgent.bfCB","r.rsa.bfN",0.83016011782208,0.83016011782208,0
"r.ddgent.bfCB","r.asa.bfCA",0.829792544723463,0.829792544723463,0
"r.ddgent.bfCB","r.bfCA.asa",0.829792544723463,0.829792544723463,0
"r.ddgent.bfCB","r.bfC.rsa",0.819434682508736,0.819434682508736,0
"r.ddgent.bfCB","r.rsa.bfC",0.819434682508736,0.819434682508736,0
"r.ddgent.bfCB","r.asa.bfN",0.818901949875944,0.818901949875944,0
"r.ddgent.bfCB","r.bfN.asa",0.818901949875944,0.818901949875944,0
"r.ddgent.bfCB","r.bfSC.rsa",0.803386888071508,0.803386888071508,0
"r.ddgent.bfCB","r.rsa.bfSC",0.803386888071508,0.803386888071508,0
"r.ddgent.bfCB","r.asa.bfC",0.801315563988764,0.801315563988764,0
"r.ddgent.bfCB","r.bfC.asa",0.801315563988764,0.801315563988764,0
"r.ddgent.bfCB","r.asa.bfSC",0.787530330989641,0.787530330989641,0
"r.ddgent.bfCB","r.bfSC.asa",0.787530330989641,0.787530330989641,0
"r.ddgent.bfCB","r.bfO.ddgent",0.782497311500816,0.782497311500816,0
"r.ddgent.bfCB","r.ddgent.bfO",0.782497311500816,0.782497311500816,0
"r.ddgent.bfCB","r.bfAA.rsa",0.774060515446763,0.774060515446763,0
"r.ddgent.bfCB","r.rsa.bfAA",0.774060515446763,0.774060515446763,0
"r.ddgent.bfCB","r.asa.bfAA",0.773573729451298,0.773573729451298,0
"r.ddgent.bfCB","r.bfAA.asa",0.773573729451298,0.773573729451298,0
"r.ddgent.bfCB","r.bfO.rsa",0.74742760921019,0.74742760921019,0
"r.ddgent.bfCB","r.rsa.bfO",0.74742760921019,0.74742760921019,0
"r.ddgent.bfCB","r.asa.bfO",0.738325207815399,0.738325207815399,0
"r.ddgent.bfCB","r.bfO.asa",0.738325207815399,0.738325207815399,0
"r.ddgent.bfCB","r.bfCB.wcnSC",0.712443591189173,-0.712443591189173,0
"r.ddgent.bfCB","r.wcnSC.bfCB",0.712443591189173,-0.712443591189173,0
