"var1","var2","abs.spearman.r","spearman.r","spearman.p"
"r.hpshh.wcnO","r.hpshh.wcnC",0.965034608994116,0.965034608994116,0
"r.hpshh.wcnO","r.hpskd.wcnO",0.948514930173529,-0.948514930173529,0
"r.hpshh.wcnO","r.hpskd.wcnC",0.920896033935938,-0.920896033935938,0
"r.hpshh.wcnO","r.hpshh.wcnCA",0.904193810367051,0.904193810367051,0
"r.hpshh.wcnO","r.hpskd.wcnCA",0.879330470568074,-0.879330470568074,0
"r.hpshh.wcnO","r.hpshh.wcnN",0.863570773964897,0.863570773964897,0
"r.hpshh.wcnO","r.hpshh.wcnCB",0.846080006755398,0.846080006755398,0
"r.hpshh.wcnO","r.hpsww.wcnO",0.836572778231725,-0.836572778231725,0
"r.hpshh.wcnO","r.hpshh.wcnAA",0.83285606781227,0.83285606781227,0
"r.hpshh.wcnO","r.hpskd.wcnCB",0.832494703718697,-0.832494703718697,0
"r.hpshh.wcnO","r.hpskd.wcnN",0.827903765389019,-0.827903765389019,0
"r.hpshh.wcnO","r.hpskd.wcnAA",0.81744035008854,-0.81744035008854,0
"r.hpshh.wcnO","r.hpsww.wcnC",0.79594974182957,-0.79594974182957,0
"r.hpshh.wcnO","r.hpshh.wcnSC",0.773927642738817,0.773927642738817,0
"r.hpshh.wcnO","r.hpskd.wcnSC",0.765236277477952,-0.765236277477952,0
"r.hpshh.wcnO","r.hpsww.wcnCA",0.744048668665138,-0.744048668665138,0
"r.hpshh.wcnO","r.hpsww.wcnCB",0.713993358848205,-0.713993358848205,0
"r.hpshh.wcnO","r.hpsww.wcnAA",0.712637312146552,-0.712637312146552,0
"r.hpshh.wcnO","r.hpshh.rsa",0.693468871774111,-0.693468871774111,0
"r.hpshh.wcnO","r.hpsww.wcnSC",0.680182842780541,-0.680182842780541,0
"r.hpshh.wcnO","r.hpskd.rsa",0.678234456997673,0.678234456997673,0
"r.hpshh.wcnO","r.bfO.hpshh",0.671621866625604,-0.671621866625604,0
"r.hpshh.wcnO","r.hpsww.wcnN",0.667295431910809,-0.667295431910809,0
"r.hpshh.wcnO","r.asa.hpshh",0.662852267901182,-0.662852267901182,0
"r.hpshh.wcnO","r.asa.hpskd",0.662134506918073,0.662134506918073,0
"r.hpshh.wcnO","r.bfO.hpskd",0.633083814117291,0.633083814117291,0
"r.hpshh.wcnO","r.bfC.hpshh",0.618040636696213,-0.618040636696213,0
"r.hpshh.wcnO","r.ddgent.hpshh",0.60835210522525,-0.60835210522525,0
"r.hpshh.wcnO","r.bfCA.hpshh",0.602777660496571,-0.602777660496571,0
"r.hpshh.wcnO","r.bfCA.hpskd",0.599175195769929,0.599175195769929,0
"r.hpshh.wcnO","r.bfC.hpskd",0.591328255195075,0.591328255195075,0
"r.hpshh.wcnO","r.ddgent.hpskd",0.584504558651503,0.584504558651503,0
"r.hpshh.wcnO","r.bfN.hpshh",0.578270717587131,-0.578270717587131,0
"r.hpshh.wcnO","r.bfN.hpskd",0.577057478001495,0.577057478001495,0
"r.hpshh.wcnO","r.hpsww.rsa",0.574310614169943,0.574310614169943,0
"r.hpshh.wcnO","r.bfCB.hpshh",0.559570436195022,-0.559570436195022,0
"r.hpshh.wcnO","r.bfCB.hpskd",0.549108262695553,0.549108262695553,0
"r.hpshh.wcnO","r.bfO.hpsww",0.544858819643305,0.544858819643305,0
"r.hpshh.wcnO","r.asa.hpsww",0.54480045499589,0.54480045499589,0
"r.hpshh.wcnO","r.sizeAA.wcnO",0.544548369391095,0.544548369391095,0
"r.hpshh.wcnO","r.sizeSC.wcnO",0.544548369391095,0.544548369391095,0
"r.hpshh.wcnO","r.sizeAA.wcnC",0.539188756236946,0.539188756236946,0
"r.hpshh.wcnO","r.sizeSC.wcnC",0.539188756236946,0.539188756236946,0
"r.hpshh.wcnO","r.sizeAA.wcnAA",0.534979050816981,0.534979050816981,0
"r.hpshh.wcnO","r.sizeSC.wcnAA",0.534979050816981,0.534979050816981,0
"r.hpshh.wcnO","r.sizeAA.wcnCA",0.530082629439128,0.530082629439128,0
"r.hpshh.wcnO","r.sizeSC.wcnCA",0.530082629439128,0.530082629439128,0
"r.hpshh.wcnO","r.bfCA.hpsww",0.517760238028417,0.517760238028417,0
"r.hpshh.wcnO","r.sizeAA.wcnSC",0.515960868366609,0.515960868366609,0
"r.hpshh.wcnO","r.sizeSC.wcnSC",0.515960868366609,0.515960868366609,0
"r.hpshh.wcnO","r.sizeAA.wcnCB",0.515344935066225,0.515344935066225,0
"r.hpshh.wcnO","r.sizeSC.wcnCB",0.515344935066225,0.515344935066225,0
"r.hpshh.wcnO","r.bfAA.hpshh",0.501180952759406,-0.501180952759406,0
"r.hpshh.wcnO","r.bfC.hpsww",0.499952811561664,0.499952811561664,0
"r.hpshh.wcnO","r.ddgent.hpsww",0.488263738665461,0.488263738665461,0
"r.hpshh.wcnO","r.bfAA.hpskd",0.4871312161454,0.4871312161454,0
"r.hpshh.wcnO","r.bfCB.hpsww",0.486075685287887,0.486075685287887,0
"r.hpshh.wcnO","sd.asa",0.480825350622515,-0.480825350622515,0
"r.hpshh.wcnO","r.bfN.hpsww",0.476461661877454,0.476461661877454,0
"r.hpshh.wcnO","sd.hpskd",0.472206009820162,-0.472206009820162,0
"r.hpshh.wcnO","r.sizeAA.wcnN",0.47161987974399,0.47161987974399,0
"r.hpshh.wcnO","r.sizeSC.wcnN",0.47161987974399,0.47161987974399,0
"r.hpshh.wcnO","sd.hpshh",0.462703748500525,-0.462703748500525,4.84278400470371e-13
"r.hpshh.wcnO","r.bfAA.hpsww",0.456820095320645,0.456820095320645,1.92635052076318e-12
"r.hpshh.wcnO","r.bfSC.hpshh",0.439909249182274,-0.439909249182274,2.33941602361789e-11
"r.hpshh.wcnO","r.hpskd.seqent",0.439850884534859,0.439850884534859,2.35673512170474e-11
"r.hpshh.wcnO","r.hpshh.seqent",0.434812897841998,-0.434812897841998,4.38228416716532e-11
"r.hpshh.wcnO","r.asa.sizeAA",0.434153501506305,-0.434153501506305,4.74278041390296e-11
