"var1","var2","abs.spearman.r","spearman.r","spearman.p"
"r.seqent.bfO","r.bfO.seqent",1,1,0
"r.seqent.bfO","r.bfC.seqent",0.961904028650833,0.961904028650833,0
"r.seqent.bfO","r.seqent.bfC",0.961904028650833,0.961904028650833,0
"r.seqent.bfO","r.bfCA.seqent",0.944696392071349,0.944696392071349,0
"r.seqent.bfO","r.seqent.bfCA",0.944696392071349,0.944696392071349,0
"r.seqent.bfO","r.bfN.seqent",0.938493596032197,0.938493596032197,0
"r.seqent.bfO","r.seqent.bfN",0.938493596032197,0.938493596032197,0
"r.seqent.bfO","r.bfCB.seqent",0.904362695304254,0.904362695304254,0
"r.seqent.bfO","r.seqent.bfCB",0.904362695304254,0.904362695304254,0
"r.seqent.bfO","r.bfAA.seqent",0.885936851935099,0.885936851935099,0
"r.seqent.bfO","r.seqent.bfAA",0.885936851935099,0.885936851935099,0
"r.seqent.bfO","r.bfSC.seqent",0.849686196885066,0.849686196885066,0
"r.seqent.bfO","r.seqent.bfSC",0.849686196885066,0.849686196885066,0
"r.seqent.bfO","r.seqent.wcnC",0.597807972859197,-0.597807972859197,0
"r.seqent.bfO","r.wcnC.seqent",0.597807972859197,-0.597807972859197,0
"r.seqent.bfO","r.seqent.wcnN",0.588706813265415,-0.588706813265415,0
"r.seqent.bfO","r.wcnN.seqent",0.588706813265415,-0.588706813265415,0
"r.seqent.bfO","r.seqent.wcnO",0.586066744320623,-0.586066744320623,0
"r.seqent.bfO","r.wcnO.seqent",0.586066744320623,-0.586066744320623,0
"r.seqent.bfO","r.seqent.wcnCA",0.570631157780753,-0.570631157780753,0
"r.seqent.bfO","r.wcnCA.seqent",0.570631157780753,-0.570631157780753,0
"r.seqent.bfO","r.seqent.wcnAA",0.528032415973535,-0.528032415973535,0
"r.seqent.bfO","r.wcnAA.seqent",0.528032415973535,-0.528032415973535,0
"r.seqent.bfO","r.seqent.wcnCB",0.523003121887736,-0.523003121887736,0
"r.seqent.bfO","r.wcnCB.seqent",0.523003121887736,-0.523003121887736,0
"r.seqent.bfO","r.seqent.wcnSC",0.484579315072236,-0.484579315072236,0
"r.seqent.bfO","r.wcnSC.seqent",0.484579315072236,-0.484579315072236,0
"r.seqent.bfO","r.bfO.wcnSC",0.483395878710812,-0.483395878710812,0
"r.seqent.bfO","r.wcnSC.bfO",0.483395878710812,-0.483395878710812,0
"r.seqent.bfO","r.bfSC.wcnC",0.47880866578416,-0.47880866578416,0
"r.seqent.bfO","r.wcnC.bfSC",0.47880866578416,-0.47880866578416,0
"r.seqent.bfO","r.bfSC.wcnCA",0.476490223300657,-0.476490223300657,0
"r.seqent.bfO","r.wcnCA.bfSC",0.476490223300657,-0.476490223300657,0
"r.seqent.bfO","r.rsa.seqent",0.472803316105414,0.472803316105414,0
"r.seqent.bfO","r.seqent.rsa",0.472803316105414,0.472803316105414,0
"r.seqent.bfO","r.bfO.wcnCA",0.47128831887463,-0.47128831887463,0
"r.seqent.bfO","r.wcnCA.bfO",0.47128831887463,-0.47128831887463,0
"r.seqent.bfO","r.bfO.wcnCB",0.470012989238552,-0.470012989238552,0
"r.seqent.bfO","r.wcnCB.bfO",0.470012989238552,-0.470012989238552,0
"r.seqent.bfO","r.bfAA.wcnCA",0.46586537386903,-0.46586537386903,1.03453208273533e-13
"r.seqent.bfO","r.wcnCA.bfAA",0.46586537386903,-0.46586537386903,1.03453208273533e-13
"r.seqent.bfO","r.bfO.wcnAA",0.46545806313813,-0.46545806313813,1.42083514153608e-13
"r.seqent.bfO","r.wcnAA.bfO",0.46545806313813,-0.46545806313813,1.42083514153608e-13
"r.seqent.bfO","r.bfAA.wcnC",0.465152580089956,-0.465152580089956,1.72867358048628e-13
"r.seqent.bfO","r.wcnC.bfAA",0.465152580089956,-0.465152580089956,1.72867358048628e-13
"r.seqent.bfO","r.bfSC.wcnO",0.464639716273306,-0.464639716273306,2.28234242716396e-13
"r.seqent.bfO","r.wcnO.bfSC",0.464639716273306,-0.464639716273306,2.28234242716396e-13
"r.seqent.bfO","r.bfSC.wcnCB",0.461293062554484,-0.461293062554484,7.26255203513321e-13
"r.seqent.bfO","r.wcnCB.bfSC",0.461293062554484,-0.461293062554484,7.26255203513321e-13
"r.seqent.bfO","r.asa.seqent",0.455013274852785,0.455013274852785,2.66706692464023e-12
"r.seqent.bfO","r.seqent.asa",0.455013274852785,0.455013274852785,2.66706692464023e-12
"r.seqent.bfO","r.bfAA.wcnCB",0.454700340998557,-0.454700340998557,2.81465657059805e-12
"r.seqent.bfO","r.wcnCB.bfAA",0.454700340998557,-0.454700340998557,2.81465657059805e-12
"r.seqent.bfO","r.bfSC.wcnN",0.453333118087825,-0.453333118087825,3.53617755530715e-12
"r.seqent.bfO","r.wcnN.bfSC",0.453333118087825,-0.453333118087825,3.53617755530715e-12
"r.seqent.bfO","r.bfSC.wcnAA",0.452219222582896,-0.452219222582896,4.22707018861205e-12
"r.seqent.bfO","r.wcnAA.bfSC",0.452219222582896,-0.452219222582896,4.22707018861205e-12
"r.seqent.bfO","r.bfO.wcnC",0.450291947417178,-0.450291947417178,5.68218708133911e-12
"r.seqent.bfO","r.wcnC.bfO",0.450291947417178,-0.450291947417178,5.68218708133911e-12
"r.seqent.bfO","r.bfAA.wcnO",0.449772874595483,-0.449772874595483,6.1385978826617e-12
"r.seqent.bfO","r.wcnO.bfAA",0.449772874595483,-0.449772874595483,6.1385978826617e-12
"r.seqent.bfO","r.bfO.wcnN",0.443427271440315,-0.443427271440315,1.4852284609376e-11
"r.seqent.bfO","r.wcnN.bfO",0.443427271440315,-0.443427271440315,1.4852284609376e-11
"r.seqent.bfO","r.bfSC.wcnSC",0.441730971262241,-0.441730971262241,1.85361609896555e-11
"r.seqent.bfO","r.wcnSC.bfSC",0.441730971262241,-0.441730971262241,1.85361609896555e-11
"r.seqent.bfO","r.bfAA.wcnN",0.441160984599184,-0.441160984599184,1.99473631670616e-11
"r.seqent.bfO","r.wcnN.bfAA",0.441160984599184,-0.441160984599184,1.99473631670616e-11
"r.seqent.bfO","r.bfAA.wcnAA",0.439308217493996,-0.439308217493996,2.52345446288983e-11
"r.seqent.bfO","r.wcnAA.bfAA",0.439308217493996,-0.439308217493996,2.52345446288983e-11
"r.seqent.bfO","r.bfAA.wcnSC",0.434642771103787,-0.434642771103787,4.47277410583468e-11
"r.seqent.bfO","r.wcnSC.bfAA",0.434642771103787,-0.434642771103787,4.47277410583468e-11
"r.seqent.bfO","r.bfCB.wcnC",0.427482546486821,-0.427482546486821,1.03204533176606e-10
"r.seqent.bfO","r.wcnC.bfCB",0.427482546486821,-0.427482546486821,1.03204533176606e-10
"r.seqent.bfO","r.bfO.wcnO",0.426328913349609,-0.426328913349609,1.17633011975339e-10
"r.seqent.bfO","r.wcnO.bfO",0.426328913349609,-0.426328913349609,1.17633011975339e-10
"r.seqent.bfO","r.bfCB.wcnN",0.423815508107719,-0.423815508107719,1.55943285633887e-10
"r.seqent.bfO","r.wcnN.bfCB",0.423815508107719,-0.423815508107719,1.55943285633887e-10
"r.seqent.bfO","r.bfCB.wcnCA",0.421699479188657,-0.421699479188657,1.97097810839456e-10
"r.seqent.bfO","r.wcnCA.bfCB",0.421699479188657,-0.421699479188657,1.97097810839456e-10
"r.seqent.bfO","r.bfC.wcnSC",0.421130734326609,-0.421130734326609,2.09807228890341e-10
"r.seqent.bfO","r.wcnSC.bfC",0.421130734326609,-0.421130734326609,2.09807228890341e-10
"r.seqent.bfO","r.bfCB.wcnO",0.420655124540223,-0.420655124540223,2.2103042281124e-10
"r.seqent.bfO","r.wcnO.bfCB",0.420655124540223,-0.420655124540223,2.2103042281124e-10
"r.seqent.bfO","r.bfCA.wcnSC",0.412142578624631,-0.412142578624631,5.50380175578443e-10
"r.seqent.bfO","r.wcnSC.bfCA",0.412142578624631,-0.412142578624631,5.50380175578443e-10
"r.seqent.bfO","r.bfCA.wcnCA",0.412012189518703,-0.412012189518703,5.57970548673828e-10
"r.seqent.bfO","r.wcnCA.bfCA",0.412012189518703,-0.412012189518703,5.57970548673828e-10
"r.seqent.bfO","r.bfC.wcnCA",0.409650283999891,-0.409650283999891,7.14146538449653e-10
"r.seqent.bfO","r.wcnCA.bfC",0.409650283999891,-0.409650283999891,7.14146538449653e-10
"r.seqent.bfO","r.bfN.wcnSC",0.406909629173383,-0.406909629173383,9.48040515802999e-10
"r.seqent.bfO","r.wcnSC.bfN",0.406909629173383,-0.406909629173383,9.48040515802999e-10
"r.seqent.bfO","r.bfCA.wcnC",0.406277552459884,-0.406277552459884,1.01160034981638e-09
"r.seqent.bfO","r.wcnC.bfCA",0.406277552459884,-0.406277552459884,1.01160034981638e-09
"r.seqent.bfO","r.bfC.wcnCB",0.405908737560258,-0.405908737560258,1.05055835481875e-09
"r.seqent.bfO","r.wcnCB.bfC",0.405908737560258,-0.405908737560258,1.05055835481875e-09
"r.seqent.bfO","r.bfCA.wcnN",0.405804426275516,-0.405804426275516,1.06183578630481e-09
"r.seqent.bfO","r.wcnN.bfCA",0.405804426275516,-0.405804426275516,1.06183578630481e-09
"r.seqent.bfO","r.bfN.wcnN",0.40493392376832,-0.40493392376832,1.16059580295043e-09
"r.seqent.bfO","r.wcnN.bfN",0.40493392376832,-0.40493392376832,1.16059580295043e-09
"r.seqent.bfO","r.bfC.wcnC",0.403728134988737,-0.403728134988737,1.31208878051821e-09
"r.seqent.bfO","r.wcnC.bfC",0.403728134988737,-0.403728134988737,1.31208878051821e-09
"r.seqent.bfO","r.bfCA.wcnAA",0.401001139973326,-0.401001139973326,1.72804440335293e-09
"r.seqent.bfO","r.wcnAA.bfCA",0.401001139973326,-0.401001139973326,1.72804440335293e-09
"r.seqent.bfO","r.bfCB.wcnCB",0.400966369545079,-0.400966369545079,1.7340904544945e-09
"r.seqent.bfO","r.wcnCB.bfCB",0.400966369545079,-0.400966369545079,1.7340904544945e-09
"r.seqent.bfO","r.bfCB.wcnAA",0.400873234469416,-0.400873234469416,1.75038570972378e-09
"r.seqent.bfO","r.wcnAA.bfCB",0.400873234469416,-0.400873234469416,1.75038570972378e-09
"r.seqent.bfO","r.ddgent.seqent",0.400201420123634,0.400201420123634,1.87237274816466e-09
"r.seqent.bfO","r.seqent.ddgent",0.400201420123634,0.400201420123634,1.87237274816466e-09
"r.seqent.bfO","r.bfCB.wcnSC",0.399633917062594,-0.399633917062594,1.98175826987383e-09
"r.seqent.bfO","r.wcnSC.bfCB",0.399633917062594,-0.399633917062594,1.98175826987383e-09
"r.seqent.bfO","r.bfCA.wcnCB",0.399404183875959,-0.399404183875959,2.02776635643592e-09
"r.seqent.bfO","r.wcnCB.bfCA",0.399404183875959,-0.399404183875959,2.02776635643592e-09
"r.seqent.bfO","r.bfC.wcnAA",0.397494293924364,-0.397494293924364,2.45218779385685e-09
"r.seqent.bfO","r.wcnAA.bfC",0.397494293924364,-0.397494293924364,2.45218779385685e-09
"r.seqent.bfO","r.bfN.wcnCB",0.395914723041121,-0.395914723041121,2.86668739784289e-09
"r.seqent.bfO","r.wcnCB.bfN",0.395914723041121,-0.395914723041121,2.86668739784289e-09
"r.seqent.bfO","r.bfN.wcnCA",0.394548741931398,-0.394548741931398,3.27886870807746e-09
"r.seqent.bfO","r.wcnCA.bfN",0.394548741931398,-0.394548741931398,3.27886870807746e-09
"r.seqent.bfO","r.bfCA.wcnO",0.393136814184348,-0.393136814184348,3.76470776006232e-09
"r.seqent.bfO","r.wcnO.bfCA",0.393136814184348,-0.393136814184348,3.76470776006232e-09
"r.seqent.bfO","r.bfC.wcnN",0.392121020959117,-0.392121020959117,4.15639801293427e-09
"r.seqent.bfO","r.wcnN.bfC",0.392121020959117,-0.392121020959117,4.15639801293427e-09
"r.seqent.bfO","r.bfN.wcnC",0.391025752469321,-0.391025752469321,4.62268306871884e-09
"r.seqent.bfO","r.wcnC.bfN",0.391025752469321,-0.391025752469321,4.62268306871884e-09
"r.seqent.bfO","r.bfC.wcnO",0.386946436155285,-0.386946436155285,6.84442832929837e-09
"r.seqent.bfO","r.wcnO.bfC",0.386946436155285,-0.386946436155285,6.84442832929837e-09
"r.seqent.bfO","r.bfN.wcnAA",0.386786243825144,-0.386786243825144,6.94994659849907e-09
"r.seqent.bfO","r.wcnAA.bfN",0.386786243825144,-0.386786243825144,6.94994659849907e-09
"r.seqent.bfO","r.asa.bfO",0.382071125394582,0.382071125394582,1.08625302954569e-08
"r.seqent.bfO","r.bfO.asa",0.382071125394582,0.382071125394582,1.08625302954569e-08
"r.seqent.bfO","r.bfN.wcnO",0.370958248166481,-0.370958248166481,3.02727886746993e-08
"r.seqent.bfO","r.wcnO.bfN",0.370958248166481,-0.370958248166481,3.02727886746993e-08
"r.seqent.bfO","r.bfO.rsa",0.364682185867808,0.364682185867808,5.31215520578585e-08
"r.seqent.bfO","r.rsa.bfO",0.364682185867808,0.364682185867808,5.31215520578585e-08
"r.seqent.bfO","r.bfO.ddgent",0.351171390891638,0.351171390891638,1.71450293590898e-07
"r.seqent.bfO","r.ddgent.bfO",0.351171390891638,0.351171390891638,1.71450293590898e-07
"r.seqent.bfO","r.asa.bfC",0.301535362767329,0.301535362767329,8.26342387853782e-06
"r.seqent.bfO","r.bfC.asa",0.301535362767329,0.301535362767329,8.26342387853782e-06
"r.seqent.bfO","r.bfC.rsa",0.291798401057021,0.291798401057021,1.63907559979598e-05
"r.seqent.bfO","r.rsa.bfC",0.291798401057021,0.291798401057021,1.63907559979598e-05
"r.seqent.bfO","r.asa.bfCA",0.284906405457964,0.284906405457964,2.62362857478502e-05
"r.seqent.bfO","r.bfCA.asa",0.284906405457964,0.284906405457964,2.62362857478502e-05
"r.seqent.bfO","r.asa.bfN",0.284396025243331,0.284396025243331,2.71536672763519e-05
"r.seqent.bfO","r.bfN.asa",0.284396025243331,0.284396025243331,2.71536672763519e-05
"r.seqent.bfO","r.bfC.ddgent",0.279757898475317,0.279757898475317,3.69993840091516e-05
"r.seqent.bfO","r.ddgent.bfC",0.279757898475317,0.279757898475317,3.69993840091516e-05
"r.seqent.bfO","r.bfCA.rsa",0.275969163597348,0.275969163597348,4.74520803490458e-05
"r.seqent.bfO","r.rsa.bfCA",0.275969163597348,0.275969163597348,4.74520803490458e-05
"r.seqent.bfO","r.bfN.rsa",0.27301491899732,0.27301491899732,5.74727457237099e-05
"r.seqent.bfO","r.rsa.bfN",0.27301491899732,0.27301491899732,5.74727457237099e-05
"r.seqent.bfO","r.bfSC.rsa",0.269195139094131,0.269195139094131,7.33983941391262e-05
"r.seqent.bfO","r.rsa.bfSC",0.269195139094131,0.269195139094131,7.33983941391262e-05
"r.seqent.bfO","r.bfAA.rsa",0.267233093500165,0.267233093500165,8.3110490775638e-05
"r.seqent.bfO","r.rsa.bfAA",0.267233093500165,0.267233093500165,8.3110490775638e-05
"r.seqent.bfO","r.bfN.ddgent",0.256556088426166,0.256556088426166,0.000160822771810773
"r.seqent.bfO","r.ddgent.bfN",0.256556088426166,0.256556088426166,0.000160822771810773
"r.seqent.bfO","r.asa.bfAA",0.25556761482313,0.25556761482313,0.000170724492485131
"r.seqent.bfO","r.bfAA.asa",0.25556761482313,0.25556761482313,0.000170724492485131
"r.seqent.bfO","r.hbe_mean.seqent",0.252993361331807,0.252993361331807,0.000199252458503473
"r.seqent.bfO","r.seqent.hbe_mean",0.252993361331807,0.252993361331807,0.000199252458503473
"r.seqent.bfO","r.bfCB.rsa",0.25188815843394,0.25188815843394,0.00021281774578057
"r.seqent.bfO","r.rsa.bfCB",0.25188815843394,0.25188815843394,0.00021281774578057
"r.seqent.bfO","r.bfCA.ddgent",0.250677402450322,0.250677402450322,0.000228665853757621
"r.seqent.bfO","r.ddgent.bfCA",0.250677402450322,0.250677402450322,0.000228665853757621
"r.seqent.bfO","r.bfAA.bfSC",0.247518260683835,0.247518260683835,0.000275354768164227
"r.seqent.bfO","r.bfSC.bfAA",0.247518260683835,0.247518260683835,0.000275354768164227
