"var1","var2","abs.spearman.r","spearman.r","spearman.p"
"r.wcnCB.bfC","r.bfC.wcnCB",1,1,0
"r.wcnCB.bfC","r.bfC.wcnCA",0.990615709776203,0.990615709776203,0
"r.wcnCB.bfC","r.wcnCA.bfC",0.990615709776203,0.990615709776203,0
"r.wcnCB.bfC","r.bfC.wcnAA",0.988143283967604,0.988143283967604,0
"r.wcnCB.bfC","r.wcnAA.bfC",0.988143283967604,0.988143283967604,0
"r.wcnCB.bfC","r.bfC.wcnSC",0.98643580758045,0.98643580758045,0
"r.wcnCB.bfC","r.wcnSC.bfC",0.98643580758045,0.98643580758045,0
"r.wcnCB.bfC","r.bfCA.wcnCB",0.97981452460132,0.97981452460132,0
"r.wcnCB.bfC","r.wcnCB.bfCA",0.97981452460132,0.97981452460132,0
"r.wcnCB.bfC","r.bfC.wcnC",0.976492706902675,0.976492706902675,0
"r.wcnCB.bfC","r.wcnC.bfC",0.976492706902675,0.976492706902675,0
"r.wcnCB.bfC","r.bfCA.wcnAA",0.975613511788417,0.975613511788417,0
"r.wcnCB.bfC","r.wcnAA.bfCA",0.975613511788417,0.975613511788417,0
"r.wcnCB.bfC","r.bfN.wcnCB",0.973734666862043,0.973734666862043,0
"r.wcnCB.bfC","r.wcnCB.bfN",0.973734666862043,0.973734666862043,0
"r.wcnCB.bfC","r.bfCA.wcnCA",0.97279710710037,0.97279710710037,0
"r.wcnCB.bfC","r.wcnCA.bfCA",0.97279710710037,0.97279710710037,0
"r.wcnCB.bfC","r.bfCA.wcnSC",0.972179931998977,0.972179931998977,0
"r.wcnCB.bfC","r.wcnSC.bfCA",0.972179931998977,0.972179931998977,0
"r.wcnCB.bfC","r.bfN.wcnAA",0.968383746314955,0.968383746314955,0
"r.wcnCB.bfC","r.wcnAA.bfN",0.968383746314955,0.968383746314955,0
"r.wcnCB.bfC","r.bfN.wcnCA",0.965798316614552,0.965798316614552,0
"r.wcnCB.bfC","r.wcnCA.bfN",0.965798316614552,0.965798316614552,0
"r.wcnCB.bfC","r.bfN.wcnSC",0.964508085366369,0.964508085366369,0
"r.wcnCB.bfC","r.wcnSC.bfN",0.964508085366369,0.964508085366369,0
"r.wcnCB.bfC","r.bfC.wcnO",0.964472073137112,0.964472073137112,0
"r.wcnCB.bfC","r.wcnO.bfC",0.964472073137112,0.964472073137112,0
"r.wcnCB.bfC","r.bfCA.wcnC",0.957593737349152,0.957593737349152,0
"r.wcnCB.bfC","r.wcnC.bfCA",0.957593737349152,0.957593737349152,0
"r.wcnCB.bfC","r.bfCB.wcnCA",0.954064538882031,0.954064538882031,0
"r.wcnCB.bfC","r.wcnCA.bfCB",0.954064538882031,0.954064538882031,0
"r.wcnCB.bfC","r.bfCB.wcnCB",0.953642326539026,0.953642326539026,0
"r.wcnCB.bfC","r.wcnCB.bfCB",0.953642326539026,0.953642326539026,0
"r.wcnCB.bfC","r.bfCB.wcnAA",0.953632392130955,0.953632392130955,0
"r.wcnCB.bfC","r.wcnAA.bfCB",0.953632392130955,0.953632392130955,0
"r.wcnCB.bfC","r.bfC.wcnN",0.951122712292091,0.951122712292091,0
"r.wcnCB.bfC","r.wcnN.bfC",0.951122712292091,0.951122712292091,0
"r.wcnCB.bfC","r.bfN.wcnC",0.949106027453737,0.949106027453737,0
"r.wcnCB.bfC","r.wcnC.bfN",0.949106027453737,0.949106027453737,0
"r.wcnCB.bfC","r.bfCB.wcnSC",0.948857667251969,0.948857667251969,0
"r.wcnCB.bfC","r.wcnSC.bfCB",0.948857667251969,0.948857667251969,0
"r.wcnCB.bfC","r.bfCA.wcnN",0.946530532161404,0.946530532161404,0
"r.wcnCB.bfC","r.wcnN.bfCA",0.946530532161404,0.946530532161404,0
"r.wcnCB.bfC","r.bfCA.wcnO",0.946485827325086,0.946485827325086,0
"r.wcnCB.bfC","r.wcnO.bfCA",0.946485827325086,0.946485827325086,0
"r.wcnCB.bfC","r.bfO.wcnCB",0.942939243643842,0.942939243643842,0
"r.wcnCB.bfC","r.wcnCB.bfO",0.942939243643842,0.942939243643842,0
"r.wcnCB.bfC","r.bfN.wcnN",0.940921317004478,0.940921317004478,0
"r.wcnCB.bfC","r.wcnN.bfN",0.940921317004478,0.940921317004478,0
"r.wcnCB.bfC","r.bfCB.wcnC",0.940372440958571,0.940372440958571,0
"r.wcnCB.bfC","r.wcnC.bfCB",0.940372440958571,0.940372440958571,0
"r.wcnCB.bfC","r.bfO.wcnCA",0.934216833357755,0.934216833357755,0
"r.wcnCB.bfC","r.wcnCA.bfO",0.934216833357755,0.934216833357755,0
"r.wcnCB.bfC","r.bfO.wcnSC",0.931253896150665,0.931253896150665,0
"r.wcnCB.bfC","r.wcnSC.bfO",0.931253896150665,0.931253896150665,0
"r.wcnCB.bfC","r.bfCB.wcnN",0.931210433115356,0.931210433115356,0
"r.wcnCB.bfC","r.wcnN.bfCB",0.931210433115356,0.931210433115356,0
"r.wcnCB.bfC","r.bfO.wcnAA",0.930821749399589,0.930821749399589,0
"r.wcnCB.bfC","r.wcnAA.bfO",0.930821749399589,0.930821749399589,0
"r.wcnCB.bfC","r.bfN.wcnO",0.926682826637128,0.926682826637128,0
"r.wcnCB.bfC","r.wcnO.bfN",0.926682826637128,0.926682826637128,0
"r.wcnCB.bfC","r.bfCB.wcnO",0.920133568116511,0.920133568116511,0
