"variable","coef","abs.coef"
"(Intercept)",70.6174488915192,70.6174488915192
"r.hpshh.wcnSC",-0.418736708879941,0.418736708879941
"median.seqent",0.22248074185522,0.22248074185522
"r.hpshh.rsa",0.173353393742824,0.173353393742824
"r.ddgent.wcnSC",0.164362696783528,0.164362696783528
"sum.seqent",0.149519920109039,0.149519920109039
"nchain",0.149221268939865,0.149221268939865
"r.varea.veccentricity",-0.141145150643835,0.141145150643835
"mean.vnfaces",-0.136449608474822,0.136449608474822
"sum.ISS",-0.13419819146528,0.13419819146528
"mean.TSS",0.123709731753804,0.123709731753804
"mean.vsphericity",0.114111639775882,0.114111639775882
"r.veccentricity.vsphericity",0.110299625878496,0.110299625878496
"median.vnfaces",-0.107557643607067,0.107557643607067
"sum.ESS",0.0889933269715512,0.0889933269715512
"r.ddgent.veccentricity",0.0868108975008465,0.0868108975008465
"nseq",-0.0845835116060178,0.0845835116060178
"mean.r4sJC",0.0842217512410717,0.0842217512410717
"sum.BSS",-0.0832542997629914,0.0832542997629914
"r.varea.wcnSC",-0.0827128709781859,0.0827128709781859
"mean.LSS",-0.0814850308906712,0.0814850308906712
"r.bfSC.vsphericity",-0.0785667103314713,0.0785667103314713
"median.vsphericitycc",-0.0750554913879751,0.0750554913879751
"mean.nhbon",-0.0704126705153026,0.0704126705153026
"mean.hpshh",0.0699756950496913,0.0699756950496913
"mean.helix",0.0698400600696378,0.0698400600696378
"r.vvolume.wcnSC",-0.0682144887352868,0.0682144887352868
"r.bfSC.rsa",0.067097109776498,0.067097109776498
"r.bfSC.vnfaces",0.0628748929838279,0.0628748929838279
"sd.hpshh",-0.0619106656625965,0.0619106656625965
"median.hpshh",0.0591650569921408,0.0591650569921408
"r.rsa.veccentricity",0.0553314506131575,0.0553314506131575
"r.vedge.vvolume",-0.0478184908266107,0.0478184908266107
"sd.bfSC",0.0450889894905539,0.0450889894905539
"r.ddgent.vedge",0.041804139175535,0.041804139175535
"r.hbe.hpshh",-0.0416633432540222,0.0416633432540222
"r.hpshh.veccentricity",0.040581218664251,0.040581218664251
"sd.seqent",0.0374518932178612,0.0374518932178612
"r.bfSC.wcnSC",0.035634584419404,0.035634584419404
"sd.vsphericitycc",-0.0328645791672257,0.0328645791672257
"r.hbe.vsphericity",0.0264853782044333,0.0264853782044333
"mean.GSS",0.0257138331924467,0.0257138331924467
"r.hpshh.vedge",0.0246644988192199,0.0246644988192199
"sd.hbe",-0.0218758978430913,0.0218758978430913
"r.ddgent.hpshh",0.0170763685181439,0.0170763685181439
"r.rsa.vvolume",-0.016972320111869,0.016972320111869
"r.hbe.vnfaces",-0.0161766577895861,0.0161766577895861
"r.hpshh.vsphericity",-0.0153383591884996,0.0153383591884996
"mean.BSS",-0.0131453456041594,0.0131453456041594
"sd.ddgent",0.0100376507694816,0.0100376507694816
"mean.vsphericitycc",0.00830556760401491,0.00830556760401491
"r.vnfaces.wcnSC",-0.00736340855709342,0.00736340855709342
"sd.vnfaces",-0.00604743461687436,0.00604743461687436
"r.bfSC.hbe",0.00572998979096659,0.00572998979096659
"sd.r4sJC",0.00242645897531277,0.00242645897531277
"sum.bfSC",-0.00136808327841238,0.00136808327841238
"contact_orderSC",0,0
"mean.betas",0,0
"mean.bfSC",0,0
"mean.ddgent",0,0
"mean.ESS",0,0
"mean.hbdif",0,0
"mean.hbe",0,0
"mean.HSS",0,0
"mean.ISS",0,0
"mean.nhbas",0,0
"mean.nhbpa.dif",0,0
"mean.nhbps",0,0
"mean.rsa",0,0
"mean.seqent",0,0
"mean.SSS",0,0
"mean.varea",0,0
"mean.veccentricity",0,0
"mean.vedge",0,0
"mean.vnfacescc",0,0
"mean.vsphericitym",0,0
"mean.vvolume",0,0
"mean.wcnSC",0,0
"median.bfSC",0,0
"median.ddgent",0,0
"median.hbe",0,0
"median.r4sJC",0,0
"median.rsa",0,0
"median.varea",0,0
"median.veccentricity",0,0
"median.vedge",0,0
"median.vnfacescc",0,0
"median.vsphericity",0,0
"median.vsphericitym",0,0
"median.vvolume",0,0
"median.wcnSC",0,0
"natoms",0,0
"nres",0,0
"r.bfSC.ddgent",0,0
"r.bfSC.hpshh",0,0
"r.bfSC.varea",0,0
"r.bfSC.veccentricity",0,0
"r.bfSC.vedge",0,0
"r.bfSC.vsphericitym",0,0
"r.bfSC.vvolume",0,0
"r.ddgent.hbe",0,0
"r.ddgent.rsa",0,0
"r.ddgent.varea",0,0
"r.ddgent.vnfaces",0,0
"r.ddgent.vsphericity",0,0
"r.ddgent.vsphericitym",0,0
"r.ddgent.vvolume",0,0
"r.hbe.rsa",0,0
"r.hbe.varea",0,0
"r.hbe.veccentricity",0,0
"r.hbe.vedge",0,0
"r.hbe.vsphericitym",0,0
"r.hbe.vvolume",0,0
"r.hbe.wcnSC",0,0
"r.hpshh.varea",0,0
"r.hpshh.vnfaces",0,0
"r.hpshh.vsphericitym",0,0
"r.hpshh.vvolume",0,0
"r.rsa.varea",0,0
"r.rsa.vedge",0,0
"r.rsa.vnfaces",0,0
"r.rsa.vsphericity",0,0
