"variable","coef","abs.coef"
"(Intercept)",82.9667583140491,82.9667583140491
"median.seqent",0.126238718572132,0.126238718572132
"sd.seqent",0.125870369329367,0.125870369329367
"sum.ISS",-0.11388628820135,0.11388628820135
"mean.TSS",0.112914053500473,0.112914053500473
"r.varea.vsphericity",0.110797999572785,0.110797999572785
"sd.hbe",-0.110299222476944,0.110299222476944
"r.bfSC.rsa",0.0997518570643215,0.0997518570643215
"r.veccentricity.vvolume",-0.0742548079590753,0.0742548079590753
"mean.ddgent",-0.0702472398941443,0.0702472398941443
"r.varea.veccentricity",-0.069972911281205,0.069972911281205
"mean.r4sJC",0.0568995757591042,0.0568995757591042
"mean.hpshh",0.0459282821618158,0.0459282821618158
"mean.GSS",0.0452549455932727,0.0452549455932727
"mean.betas",-0.0390645463726132,0.0390645463726132
"r.hbe.rsa",-0.0378413978817156,0.0378413978817156
"sum.BSS",-0.035561813388602,0.035561813388602
"mean.seqent",0.030102037750457,0.030102037750457
"r.hbe.vnfaces",-0.0271148549187058,0.0271148549187058
"median.bfSC",-0.0221473232903508,0.0221473232903508
"median.hbe",0.0216985749228857,0.0216985749228857
"contact_orderSC",0.0216044527316437,0.0216044527316437
"sd.r4sJC",0.0209528863080541,0.0209528863080541
"r.vnfaces.wcnSC",0.0205768223231392,0.0205768223231392
"mean.rsa",-0.0200257480993363,0.0200257480993363
"r.vvolume.wcnSC",-0.0199273146435998,0.0199273146435998
"sum.nhbas",-0.0141466675134517,0.0141466675134517
"mean.SSS",0.0139152511387515,0.0139152511387515
"r.hpshh.vnfaces",0.0113596306524275,0.0113596306524275
"r.ddgent.rsa",0.00858420735180076,0.00858420735180076
"mean.ISS",-0.00811913180228242,0.00811913180228242
"mean.bfSC",0,0
"mean.BSS",0,0
"mean.ESS",0,0
"mean.hbdif",0,0
"mean.hbe",0,0
"mean.helix",0,0
"mean.HSS",0,0
"mean.LSS",0,0
"mean.nhbas",0,0
"mean.nhbon",0,0
"mean.nhbpa.dif",0,0
"mean.nhbps",0,0
"mean.varea",0,0
"mean.veccentricity",0,0
"mean.vedge",0,0
"mean.vnfaces",0,0
"mean.vnfacescc",0,0
"mean.vsphericity",0,0
"mean.vsphericitycc",0,0
"mean.vsphericitym",0,0
"mean.vvolume",0,0
