"","seqent","ddgent","rsa","hbe","hpshh","wcnSC","bfSC","vnfaces","vedge","varea","vvolume","veccentricity","vsphericity","mvsphericity"
"seqent",0,0.0793916636508198,0.086577138128516,0.0674623950811178,0.103060173365544,0.104792720065876,0.0650771897805274,-0.0802984073701887,0.102416684730669,0.0794059583417824,0.0827126734039411,0.0970468170194195,0.07916787308978,0.0993243624491574
"ddgent",0.0793916636508198,0,0.0574329392035764,0.0945034140138742,0.0920190598909499,0.168502515073314,0.0884409463102565,-0.0676827694829715,0.105206217414908,0.0662004946098942,0.0742986637007249,0.11748757378377,0.0621137535378177,0.117295209732351
"rsa",0.086577138128516,0.0574329392035764,0,0.0682180610923361,0.0916551553507187,0.168181061996251,0.0905257384086972,-0.149940509716148,0.109723803283901,0.0483896842838502,0.0636947635106597,0.0940245236791621,0.0192156396553331,0.094052244988012
"hbe",0.0674623950811178,0.0945034140138742,0.0682180610923361,0,0.0208604373462536,0.129173901001088,0.0601985240207172,-0.0975817367578125,0.132226643723408,0.103875880332299,0.114452356563042,0.0980250139790048,0.0304826472088117,0.077565457284801
"hpshh",0.103060173365544,0.0920190598909499,0.0916551553507187,0.0208604373462536,0,0.16191930468549,0.104261827936748,-0.0504024769564252,0.138428765269798,0.116185490897141,0.131589117588197,0.112029286470982,0.0376388208522375,0.0709049959579733
"wcnSC",0.104792720065876,0.168502515073314,0.168181061996251,0.129173901001088,0.16191930468549,0,0.103173593270829,-0.183776975762594,0.216383293703512,0.157147756335339,0.169096963697786,0.19446255185734,0.10655436390862,0.178665230494583
"bfSC",0.0650771897805274,0.0884409463102565,0.0905257384086972,0.0601985240207172,0.104261827936748,0.103173593270829,0,-0.0816672538455824,0.110902935692233,0.0871069325896406,0.0892260951968223,0.105644582054657,0.0690489484463683,0.108904785284168
"vnfaces",-0.0802984073701887,-0.0676827694829715,-0.149940509716148,-0.0975817367578125,-0.0504024769564252,-0.183776975762594,-0.0816672538455824,0,0.053400279988926,-0.0213596459885303,0.0942572157958791,-0.152556795474183,-0.178014690949041,-0.287808503548079
"vedge",0.102416684730669,0.105206217414908,0.109723803283901,0.132226643723408,0.138428765269798,0.216383293703512,0.110902935692233,0.053400279988926,0,0.0464924508837635,0.0307883246353969,0.128086229672897,0.144022806699905,0.223817268833941
"varea",0.0794059583417824,0.0662004946098942,0.0483896842838502,0.103875880332299,0.116185490897141,0.157147756335339,0.0871069325896406,-0.0213596459885303,0.0464924508837635,0,0.00585725971873396,0.0955787347614883,0.0472511749028385,0.122617741512265
"vvolume",0.0827126734039411,0.0742986637007249,0.0636947635106597,0.114452356563042,0.131589117588197,0.169096963697786,0.0892260951968223,0.0942572157958791,0.0307883246353969,0.00585725971873396,0,0.0998235053991999,0.0865087408687863,0.168191704250043
"veccentricity",0.0970468170194195,0.11748757378377,0.0940245236791621,0.0980250139790048,0.112029286470982,0.19446255185734,0.105644582054657,-0.152556795474183,0.128086229672897,0.0955787347614883,0.0998235053991999,0,0.0815148400686927,0.147310923108853
"vsphericity",0.07916787308978,0.0621137535378177,0.0192156396553331,0.0304826472088117,0.0376388208522375,0.10655436390862,0.0690489484463683,-0.178014690949041,0.144022806699905,0.0472511749028385,0.0865087408687863,0.0815148400686927,0,-0.08213951934076
"mvsphericity",0.0993243624491574,0.117295209732351,0.094052244988012,0.077565457284801,0.0709049959579733,0.178665230494583,0.108904785284168,-0.287808503548079,0.223817268833941,0.122617741512265,0.168191704250043,0.147310923108853,-0.08213951934076,0
