"variable","mean_diff","median_diff","sd_diff","min_diff","q1_diff","q3_diff","max_diff"
"asa",-0.0240073834648402,-0.0200769942616231,0.000348508959998675,-0.47925374336275,-0.124113605908744,0.0779928933635802,0.448299552481035
"bfAA",0.00747661460191423,0.00550126070214679,-0.00632728507165987,-0.432829984333193,-0.105352352836239,0.110936144132891,0.409674147605773
"bfC",0.0178894083391909,0.016622095140454,-0.00573615800264986,-0.337700133722907,-0.0688151792652945,0.114634958995672,0.319919724022225
"bfCA",0.0186000279185774,0.01597308612035,-0.00571055409888686,-0.35647838645991,-0.0778888660305909,0.124698973898586,0.312222419350403
"bfCB",0.0222597650979652,0.0258313609031608,-0.00646691012780337,-0.461064200939299,-0.0855746689472291,0.139891325227142,0.407036101275178
"bfN",0.0198266278932148,0.0218207340742932,-0.00631829166919581,-0.292218205157174,-0.066475129432613,0.106932218464117,0.281478382472887
"bfO",0.017424736964868,0.0151640159100104,-0.00731971116842565,-0.323913209209134,-0.0667426828402566,0.108145673692131,0.281049323936883
"bfSC",0.00369325926270642,0.00848569607628469,-0.00565786654174379,-0.458737814231622,-0.116806372493856,0.123073144604757,0.423177761578516
"ddgent",-0.00605973007181121,-0.00925114198487392,0.00695859432566644,-0.479981482501335,-0.0982203363020703,0.0994096108118692,0.44561947940365
"hbe_mean",0.0349838479857164,0.0286196647435698,-0.00117483902109432,-0.336183927767975,-0.0449371109945799,0.118220859321127,0.441347580841543
"resvol",-0.0508582870256436,-0.0436690443407803,-0.00125502723050763,-0.104666909925238,-0.0494729065859104,-0.0397984703245307,0.196318164399107
"rsa",0.00959421150613171,0.00370775984538774,-0.00227208345276883,-0.464202121223971,-0.0924693070982908,0.117209571783554,0.485887820977025
"seqent",-0.0106028213957251,-0.00694050827392853,8.52741344985475e-05,-0.307581511710954,-0.118830161788145,0.0932554152149365,0.315163167728674
"sizeAA",-0.191299345054362,-0.18908830214949,0.0160838687006727,-0.539220507941914,-0.261949882133136,-0.122306077325883,0.126935464190997
"sizeSC",-0.191299345054362,-0.18908830214949,0.0160838687006727,-0.539220507941914,-0.261949882133136,-0.122306077325883,0.126935464190997
"VAAarea",-0.00294083992240979,0.00128409390052547,0.0012712751090953,-0.463120300397909,-0.114583373729508,0.103686226716826,0.460915320694917
"VAAeccentricity",0.0230322333855454,0.019589192300679,-0.00558121489989989,-0.458764522369516,-0.0813731897737413,0.130871148508798,0.514297510062375
"VAAedge_length_total",-0.00942805151942999,-0.00805116097845093,0.00308794018253407,-0.453167560906764,-0.114527450263274,0.0988334297250755,0.449395114948127
