"variable","mean","median","sd","min","q1","q3","max"
"asa",0.637154423284417,0.648512215420256,0.0919545687203221,0.257947673979184,0.596121166356532,0.704648737399671,0.787605927312077
"ddgent",0.529498249305233,0.540282575223825,0.0820520506497145,0.222791473544371,0.480465217753121,0.585594369988494,0.726420718085152
"hbe_mean",0.273239005525123,0.274970713757558,0.0900008664298705,0.054370244580937,0.210006617628505,0.336348619730631,0.513554312643259
"hpshh",0.363061418007503,0.365013466445274,0.0867701506062577,0.136048263753609,0.306164085584913,0.421407072076065,0.559938651352403
"resvol",0.0615998694801516,0.0568837978221883,0.0913204988674084,-0.18967661781532,0.0038950196773578,0.124175904262869,0.329753691093837
"rsa",0.624584747101899,0.636170306114154,0.0907758470932497,0.230597038925468,0.582032424469982,0.693792909097028,0.78404686056074
"seqent",0.374258895413163,0.390842612679279,0.134725957324727,-0.0402572945407897,0.280838560528524,0.480892525305723,0.673335312159516
"sizeAA",0.156267045457056,0.156085318791899,0.0996286373656019,-0.0971334988294657,0.0973785217334702,0.221357129499075,0.494185825147437
"sizeSC",0.156267045457056,0.156085318791899,0.0996286373656019,-0.0971334988294657,0.0973785217334702,0.221357129499075,0.494185825147437
"VAAarea",0.61315616235155,0.625633436979508,0.0916006813910086,0.18517657904479,0.573553686865564,0.679700951501534,0.794071119500885
"VAAeccentricity",0.577860449573196,0.593657421105236,0.0898734127502521,0.195283914234545,0.530570651368117,0.642821876930391,0.72579666176707
"VAAedge_length_total",0.572908882978401,0.580484179458068,0.087114816060424,0.177621474624463,0.523572201132545,0.634008596864454,0.738567765655825
"VAAfree_volume",0.588181767518392,0.598603287566943,0.0845315912285646,0.196180394362653,0.54269733517707,0.640715077986661,0.769751149386365
"VAAmodified_volume",0.59997115017421,0.612763791477438,0.0905278884404013,0.186145951780813,0.561381898853362,0.665058048162124,0.781509660780151
"VAAnfaces",-0.0356269123429594,-0.0332108568726509,0.0707531374554053,-0.303584654236148,-0.0854066915258439,0.0148639981692243,0.174644622418031
"VAAvolume",0.600897543010302,0.611626899128459,0.0902918513508244,0.186690832270745,0.560911284404524,0.66661246290767,0.78226017949052
"VCAarea",0.573628619862189,0.584206835870875,0.0883217853814333,0.165491616938182,0.530373670133894,0.62917722771652,0.765432563076394
"VCAeccentricity",0.539469357994339,0.547412023096926,0.0845871075625407,0.163067690351917,0.492614957456554,0.590864200889638,0.703876079131159
"VCAedge_length_total",0.536272665421544,0.544672342955896,0.0840736186366307,0.160186288439056,0.495598747173356,0.589843755852686,0.728361747420246
"VCAfree_volume",0.53657310047393,0.54702033820131,0.0809960148147301,0.168307712351643,0.494427086728262,0.588968575648778,0.696923817815402
"VCAmodified_volume",0.560635078655212,0.570548787769883,0.0871180676147454,0.162719059190986,0.516475495781898,0.620247684261008,0.749615115270454
"VCAnfaces",-0.111054055911038,-0.107482497932013,0.0646638277575012,-0.28916593344845,-0.153031688976142,-0.068117941764313,0.0507426594992389
"VCAvolume",0.561472575781392,0.570282754759239,0.0870287953786736,0.16324447966342,0.516334462969255,0.621775162980825,0.750204325822337
"VSCarea",0.617236922224876,0.63393203274223,0.091755070891661,0.197074895505931,0.569495651279621,0.684019582576245,0.797965045066828
"VSCeccentricity",0.574957417214174,0.59020099037827,0.0885237618506997,0.203987819348839,0.530269603294194,0.640067097581306,0.740490326379013
"VSCedge_length_total",0.566933119783446,0.58177271713811,0.0863053138950208,0.196499010920325,0.521025272902203,0.628148473625845,0.736209530515545
"VSCfree_volume",0.587045260394177,0.602496187569566,0.0852994453652328,0.19740571580339,0.539661781934076,0.645488863868443,0.756215263938685
"VSCmodified_volume",0.607531879841704,0.622760956263924,0.0918830947990049,0.186559559610338,0.565470585959165,0.673575034471273,0.785703991588215
"VSCnfaces",-0.046459128089411,-0.0455641635188701,0.0601474666151574,-0.212624708880341,-0.0844249353542431,-0.00760083406195107,0.0946758027297032
"VSCvolume",0.608331571763375,0.621896064062804,0.0915984253141109,0.192619211160598,0.565515729192194,0.674990760809196,0.785500705525311
"wcnAA",-0.684560322852466,-0.699695413896965,0.107250684883893,-0.871034357010845,-0.758957167357166,-0.639045231102786,-0.176541278737945
"wcnC",-0.61364932506778,-0.634929931687978,0.111944001800075,-0.813886183262007,-0.69329970923353,-0.556688851565691,-0.0738850688069986
"wcnCA",-0.642637135103974,-0.654090726598412,0.111110329811201,-0.835571143195888,-0.721375686649152,-0.593550765883578,-0.112992447699401
"wcnCB",-0.657572826414492,-0.674312714631181,0.108916151684666,-0.852228063712444,-0.732270595073536,-0.610980009171175,-0.158118908953043
"wcnN",-0.595160525085416,-0.620664842696852,0.118779956524134,-0.814900369522514,-0.678644202041106,-0.528676900019817,-0.0797389059349114
"wcnO",-0.587942278578191,-0.609947322788282,0.108722928154727,-0.79697937383162,-0.661872886686201,-0.526852861324796,-0.112448556701884
"wcnSC",-0.678387470470336,-0.697826169888753,0.106414182168331,-0.8649741342651,-0.748730439260723,-0.632880441827713,-0.191493168792179
