"variable","mean_diff","median_diff","sd_diff","min_diff","q1_diff","q3_diff","max_diff"
"asa",0.0636695288772841,0.0519546053303229,-0.00642750223691871,0.13701556420464,0.072111998920839,0.0650506111013051,0.0243785772435711
"ddgent",0.037463632211722,0.037424749126811,-0.0088221437751123,0.110659587386281,0.03208639537051,0.039066844670704,0.019997599579358
"hbe_mean",-0.005200772310062,0.00343078628863497,-0.003871624142176,0.0061500255719102,0.00019874913016199,-0.014707739013337,-0.050807822138201
"hpshh",0.063813566722518,0.063511473444122,0.000325442020205999,0.0913974260926992,0.056109524290302,0.053789005947833,0.065936808676435
"resvol",-0.0151339474802149,-0.0083204790886845,0.000901829791314201,-0.067008449120719,-0.0644369529619865,0.0737638979695887,0.104849836244585
"rsa",0.0478894084380991,0.047333410049274,-0.0083206820509872,0.110730803484874,0.0502430168975651,0.047623976794321,0.021769465166783
"seqent",0.027716050491781,0.025146226592299,0.003158881757273,-0.0069290018042554,0.018503353132453,0.036796005586967,0.039827243350957
"sizeAA",0.0799264010766382,0.0779186025001613,-0.00253778181375841,-0.102068202732321,0.0060155237656478,0.0890389773535428,0.118771513901465
"sizeSC",0.0799264010766382,0.0779186025001613,-0.00253778181375841,-0.102068202732321,0.0060155237656478,0.0890389773535428,0.118771513901465
"VAAarea",0.045074214884131,0.044073845533509,-0.0094738599137535,0.042160652227495,0.044784851169828,0.040684580028958,0.00285022796310097
"VAAeccentricity",0.04008391219802,0.050376630370894,-0.00859260562684801,0.055132041798028,0.0385543660888041,0.0351523340645069,0.0369761403426689
"VAAedge_length_total",0.0440935957165211,0.041884450130705,-0.00739779935820919,0.053690376839127,0.040877233027946,0.044280512280202,0.00665619073410395
"VAAfree_volume",0.03785545469541,0.039053673078561,-0.012363938095787,0.058856222147366,0.051626683755006,0.0264150140932451,-0.000591898461687945
"VAAmodified_volume",0.045115848299593,0.044437028175626,-0.00913790687752,0.04881059151956,0.04315594852715,0.038736208964522,0.00457401022470894
"VAAnfaces",-0.0123101391840374,-0.0104562265984552,0.000518754988384912,0.014984022320738,-0.00808024322801899,-0.0146651046776698,0.024700377694715
"VAAvolume",0.045414847382186,0.050152255629763,-0.0089469588574696,0.048318753825528,0.042005561688269,0.042113257035758,0.00471150557340405
"VCAarea",0.0255024967826351,0.025068721639153,-0.0122184916662856,0.028858482908702,0.0262624741298559,0.018970955587288,-0.0396376894015109
"VCAeccentricity",0.027355462941725,0.0212137414910151,-0.0110079450740191,0.031188390026796,0.03324561660154,0.021897424804096,-0.0146427523259191
"VCAedge_length_total",0.022562995882357,0.025442803101928,-0.0106207578576666,0.023283194503224,0.019545924388602,0.015060262547588,-0.04159671783511
"VCAfree_volume",0.014993163824606,0.00963068360124708,-0.0151352725256175,0.034908975860057,0.020382711858391,0.00896401742233299,-0.01612421774318
"VCAmodified_volume",0.024704124221378,0.022101743073804,-0.0122127277613522,0.032357167029908,0.025690978931096,0.020363951745462,-0.0403503413388631
"VCAnfaces",0.00817137495286399,0.006325531043251,-0.0022223356683309,-0.00503668725079304,0.010813061689352,0.00870985931008761,-0.0431578685646439
"VCAvolume",0.0247376165030421,0.024056005047982,-0.0119459783201999,0.032786927026296,0.0252862905637691,0.020506164607715,-0.0377565584496391
"VSCarea",0.045619080258438,0.046097546548838,-0.010160678227848,0.050202221783587,0.0494916037339,0.043574001189314,0.00794423086219298
"VSCeccentricity",0.041079189474162,0.040769504651382,-0.0102293360956393,0.075168443998755,0.0406295053721319,0.044061496560577,0.00761152995013403
"VSCedge_length_total",0.043951642745016,0.037631698196162,-0.0072595144231799,0.077815533709571,0.036931911140045,0.044024138556192,0.013454188465275
"VSCfree_volume",0.037650008731871,0.042196417436139,-0.0120458565739356,0.067703287659131,0.036127297425765,0.031564174121393,0.00354109207435604
"VSCmodified_volume",0.044857596237901,0.0446978972028901,-0.00951677891239949,0.051684061036411,0.049632412897272,0.0409428833758411,0.00974584523946798
"VSCnfaces",-0.0071046478888194,-0.00889655330781031,-0.000957963485265202,-0.035399453650935,-0.00401139921231701,-0.0057908570345032,-0.000160939399878907
"VSCvolume",0.045057030769585,0.045364048439385,-0.00956115592083691,0.055988643280502,0.049466936143674,0.040776240184713,0.00996671698896701
"wcnAA",0.041837759087095,0.042180374971872,-0.014190559097658,0.012295400130669,0.033512702403154,0.045966627514621,0.014322765701448
"wcnC",0.0168489191512881,0.0169622063829911,-0.010669571676726,-0.014188496712741,0.00221786734685703,0.026429032942203,-0.065136910724963
"wcnCA",0.019898341747413,0.0249847493890749,-0.013304388403511,-0.0107670208328681,0.00918563765678304,0.029337075073181,-0.015753948327625
"wcnCB",0.025167547327152,0.0312626031612731,-0.013722005010282,-0.00292449006534701,0.0174508278449991,0.043434711041613,-0.003037526233865
"wcnN",0.00904313773247301,0.00832461594924894,-0.00995709276224101,-0.022114355817345,-0.00133488937571102,0.0118470234385749,-0.055814135029341
"wcnO",0.01892048696865,0.0132255643019921,-0.00954740347691201,-0.00848287951120008,0.00330759511518097,0.031362353336735,-0.065981863554273
"wcnSC",0.041618117379102,0.044755408450374,-0.013403154311662,0.015363153106866,0.035505316745521,0.054803056310992,0.023685505271835
