"variable","coef","abs.coef"
"(Intercept)",34.147443158693,34.147443158693
"sd.r4sJC",0.189620241517979,0.189620241517979
"r.vvolume.wcnSC",-0.168654146571563,0.168654146571563
"sd.seqent",0.160029163945469,0.160029163945469
"mean.TSS",0.142053954885291,0.142053954885291
"median.seqent",0.126336169606623,0.126336169606623
"r.veccentricity.vvolume",-0.12415760838815,0.12415760838815
"r.ddgent.vedge",0.119915697852422,0.119915697852422
"r.ddgent.wcnSC",0.100249543843969,0.100249543843969
"mean.helix",0.0988395386296625,0.0988395386296625
"sum.BSS",-0.0974164540913069,0.0974164540913069
"r.varea.vsphericity",0.0814429317847822,0.0814429317847822
"r.vedge.vvolume",-0.0772598483569775,0.0772598483569775
"mean.SSS",0.0761968435268296,0.0761968435268296
"sd.hbe",-0.075524739816818,0.075524739816818
"mean.GSS",0.0755067561962394,0.0755067561962394
"r.bfSC.rsa",0.0714118493768081,0.0714118493768081
"r.hbe.vnfaces",-0.0691819344459887,0.0691819344459887
"mean.seqent",0.0672049664748492,0.0672049664748492
"r.hbe.wcnSC",0.0653262285509499,0.0653262285509499
"r.ddgent.vnfaces",0.0592947091153815,0.0592947091153815
"r.vsphericity.wcnSC",-0.0592350539871819,0.0592350539871819
"sum.veccentricity",-0.0563231558715894,0.0563231558715894
"r.hbe.hpshh",0.0515304144093355,0.0515304144093355
"sd.veccentricity",-0.0501520221206748,0.0501520221206748
"r.vnfaces.vsphericitym",0.0460931296654243,0.0460931296654243
"mean.ddgent",-0.0458539793699121,0.0458539793699121
"r.vnfaces.wcnSC",0.0453586741252364,0.0453586741252364
"mean.r4sJC",0.0449818107239783,0.0449818107239783
"r.varea.veccentricity",-0.0435942198732863,0.0435942198732863
"r.hpshh.vsphericity",-0.0382612269331167,0.0382612269331167
"sum.ISS",-0.0371176682627501,0.0371176682627501
"r.ddgent.rsa",0.029708129005965,0.029708129005965
"median.hbe",0.0285523242207656,0.0285523242207656
"r.hbe.varea",-0.0253413887335691,0.0253413887335691
"median.bfSC",-0.0245956845353107,0.0245956845353107
"sum.bfSC",-0.0245237608644344,0.0245237608644344
"mean.HSS",0.0245144796162203,0.0245144796162203
"r.rsa.varea",-0.023295303571877,0.023295303571877
"median.vnfaces",-0.0228226016584869,0.0228226016584869
"r.varea.vvolume",0.0194251389814419,0.0194251389814419
"r.rsa.veccentricity",-0.016688565222593,0.016688565222593
"median.hpshh",0.0139782673969457,0.0139782673969457
"contact_orderSC",0.0119489935642183,0.0119489935642183
"r.ddgent.hpshh",0.0119146188946689,0.0119146188946689
"nseq",-0.00586596748968896,0.00586596748968896
"mean.nhbas",-0.00546015886928824,0.00546015886928824
"mean.vsphericitycc",0.00467716875460376,0.00467716875460376
"mean.betas",0,0
"mean.bfSC",0,0
"mean.BSS",0,0
"mean.ESS",0,0
"mean.hbdif",0,0
"mean.hbe",0,0
"mean.hpshh",0,0
"mean.ISS",0,0
"mean.LSS",0,0
"mean.nhbon",0,0
"mean.nhbpa.dif",0,0
"mean.nhbps",0,0
"mean.rsa",0,0
"mean.varea",0,0
"mean.veccentricity",0,0
"mean.vedge",0,0
"mean.vnfaces",0,0
"mean.vnfacescc",0,0
"mean.vsphericity",0,0
"mean.vsphericitym",0,0
"mean.vvolume",0,0
"mean.wcnSC",0,0
"median.ddgent",0,0
"median.r4sJC",0,0
"median.rsa",0,0
"median.varea",0,0
"median.veccentricity",0,0
"median.vedge",0,0
"median.vnfacescc",0,0
"median.vsphericity",0,0
"median.vsphericitycc",0,0
"median.vsphericitym",0,0
"median.vvolume",0,0
"median.wcnSC",0,0
"natoms",0,0
"nchain",0,0
"nres",0,0
"r.bfSC.ddgent",0,0
"r.bfSC.hbe",0,0
"r.bfSC.hpshh",0,0
"r.bfSC.varea",0,0
"r.bfSC.veccentricity",0,0
"r.bfSC.vedge",0,0
"r.bfSC.vnfaces",0,0
"r.bfSC.vsphericity",0,0
"r.bfSC.vsphericitym",0,0
"r.bfSC.vvolume",0,0
"r.bfSC.wcnSC",0,0
"r.ddgent.hbe",0,0
"r.ddgent.varea",0,0
"r.ddgent.veccentricity",0,0
"r.ddgent.vsphericity",0,0
"r.ddgent.vsphericitym",0,0
"r.ddgent.vvolume",0,0
"r.hbe.rsa",0,0
"r.hbe.veccentricity",0,0
"r.hbe.vedge",0,0
"r.hbe.vsphericity",0,0
"r.hbe.vsphericitym",0,0
"r.hbe.vvolume",0,0
"r.hpshh.rsa",0,0
"r.hpshh.varea",0,0
"r.hpshh.veccentricity",0,0
"r.hpshh.vedge",0,0
"r.hpshh.vnfaces",0,0
"r.hpshh.vsphericitym",0,0
"r.hpshh.vvolume",0,0
"r.hpshh.wcnSC",0,0
"r.rsa.vedge",0,0
"r.rsa.vnfaces",0,0
"r.rsa.vsphericity",0,0
"r.rsa.vsphericitym",0,0
"r.rsa.vvolume",0,0
"r.rsa.wcnSC",0,0
"r.varea.vedge",0,0
"r.varea.vnfaces",0,0
"r.varea.vsphericitym",0,0
"r.varea.wcnSC",0,0
"r.veccentricity.vedge",0,0
"r.veccentricity.vnfaces",0,0
"r.veccentricity.vsphericity",0,0
"r.veccentricity.vsphericitym",0,0
"r.veccentricity.wcnSC",0,0
"r.vedge.vnfaces",0,0
"r.vedge.vsphericity",0,0
"r.vedge.vsphericitym",0,0
"r.vedge.wcnSC",0,0
"r.vnfaces.vsphericity",0,0
"r.vnfaces.vvolume",0,0
"r.vsphericity.vsphericitym",0,0
"r.vsphericity.vvolume",0,0
"r.vsphericitym.vvolume",0,0
"r.vsphericitym.wcnSC",0,0
"sd.bfSC",0,0
"sd.ddgent",0,0
"sd.hpshh",0,0
"sd.rsa",0,0
"sd.varea",0,0
"sd.vedge",0,0
"sd.vnfaces",0,0
"sd.vnfacescc",0,0
"sd.vsphericity",0,0
"sd.vsphericitycc",0,0
"sd.vsphericitym",0,0
"sd.vvolume",0,0
"sd.wcnSC",0,0
"sres",0,0
"sum.betas",0,0
"sum.ddgent",0,0
"sum.ESS",0,0
"sum.GSS",0,0
"sum.hbdif",0,0
"sum.hbe",0,0
"sum.helix",0,0
"sum.hpshh",0,0
"sum.HSS",0,0
"sum.LSS",0,0
"sum.nhbas",0,0
"sum.nhbon",0,0
"sum.nhbpa.dif",0,0
"sum.nhbps",0,0
"sum.r4sJC",0,0
"sum.rsa",0,0
"sum.seqent",0,0
"sum.SSS",0,0
"sum.TSS",0,0
"sum.varea",0,0
"sum.vedge",0,0
"sum.vnfaces",0,0
"sum.vnfacescc",0,0
"sum.vsphericity",0,0
"sum.vsphericitycc",0,0
"sum.vsphericitym",0,0
"sum.vvolume",0,0
"sum.wcnSC",0,0
