"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.2,0.234678037558685,0.237485,0.0896182,0.172101,0.294402,0.3772214,0.0900610470680432
0.4,0.277867666666667,0.28279,0.1219044,0.219681,0.342889,0.4203288,0.0938048319788237
0.6,0.331785042253521,0.334336,0.1603276,0.268565,0.402798,0.4819604,0.0984841843513086
0.8,0.383382507042254,0.387285,0.2040182,0.331863,0.458567,0.5322816,0.102716177418497
1,0.424473830985916,0.430261,0.2410172,0.365758,0.500072,0.5796862,0.106628209102008
1.2,0.454540248826291,0.463605,0.2612562,0.395992,0.535088,0.604942,0.109555582618704
1.4,0.475187694835681,0.48686,0.2713586,0.41997,0.550076,0.6241606,0.111592288834348
1.6,0.488985694835681,0.504933,0.2761774,0.433611,0.566812,0.6389512,0.112755358700361
1.8,0.498572441314554,0.513745,0.2790622,0.443334,0.574376,0.6482944,0.113543984407642
2,0.505168098591549,0.522692,0.2813684,0.457967,0.58187,0.6544764,0.114073520919933
2.2,0.509937107981221,0.527845,0.285628,0.464057,0.586498,0.6584648,0.114372507313027
2.4,0.513070427230047,0.52792,0.2917292,0.468886,0.589012,0.6605518,0.114684152417776
2.6,0.515271835680751,0.530549,0.296144,0.471713,0.592589,0.661775,0.115062969361556
2.8,0.516669605633803,0.529914,0.3013386,0.473306,0.5979,0.6622424,0.115490870083344
3,0.517552056338028,0.53077,0.3065106,0.475729,0.603079,0.6607892,0.115866757412835
3.2,0.518009774647887,0.530983,0.3106606,0.476715,0.603411,0.6629712,0.116208319256906
3.4,0.518201849765258,0.531944,0.3135534,0.477111,0.602566,0.6647288,0.116534873816632
3.6,0.518189882629108,0.531941,0.3142036,0.476584,0.602747,0.6655382,0.117124702856031
3.8,0.517998995305164,0.528662,0.3131624,0.476344,0.602645,0.6666126,0.117570189095485
4,0.517606352112676,0.529074,0.3117922,0.474197,0.600927,0.6669968,0.118087841413584
4.2,0.517070976525822,0.528003,0.3066448,0.474713,0.599865,0.666716,0.118527027545326
4.4,0.516489323943662,0.527764,0.3042888,0.476249,0.599378,0.6683436,0.118960454298751
4.6,0.515945267605634,0.528756,0.3029136,0.473094,0.599332,0.6686398,0.119368703945036
