"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.2,-0.0317160985915493,-0.030599,-0.203663,-0.083619,0.028085,0.1183356,0.0944350448512679
0.4,-0.130768633802817,-0.128783,-0.2913874,-0.18522,-0.076178,0.0303645999999999,0.0936551854159674
0.6,-0.203122971830986,-0.210205,-0.328865,-0.263162,-0.140294,-0.0539210000000001,0.088478096538705
0.8,-0.243643328638498,-0.248332,-0.3774376,-0.304939,-0.181654,-0.0878724000000003,0.0911651739414172
1,-0.27781134741784,-0.284171,-0.4153586,-0.343335,-0.218946,-0.1133738,0.094408062309225
1.2,-0.3091060657277,-0.319251,-0.4480204,-0.372444,-0.248987,-0.1393868,0.0976495388880195
1.4,-0.337186145539906,-0.348169,-0.4771036,-0.406787,-0.284473,-0.1658112,0.100634748953136
1.6,-0.36115876056338,-0.371116,-0.5045432,-0.434899,-0.305651,-0.1861326,0.103341139650792
1.8,-0.381197051643193,-0.394312,-0.5285704,-0.457084,-0.325646,-0.196813,0.10553969951899
2,-0.397678985915493,-0.416466,-0.5432154,-0.476804,-0.340814,-0.2090996,0.107184320027244
2.2,-0.410576821596244,-0.430591,-0.5564736,-0.488564,-0.356518,-0.2130226,0.108524709169031
2.4,-0.420723798122066,-0.439855,-0.5628822,-0.500219,-0.360635,-0.218631800000001,0.109645407399032
2.6,-0.428506892018779,-0.447873,-0.5677054,-0.511956,-0.369637,-0.224593000000001,0.110673527459518
2.8,-0.434382464788732,-0.452365,-0.5763598,-0.51724,-0.375351,-0.2298264,0.111546646746006
3,-0.43876855399061,-0.455614,-0.582318,-0.525048,-0.379397,-0.2364856,0.112173117048685
3.2,-0.442236276995305,-0.457466,-0.5860418,-0.529489,-0.383059,-0.245589,0.112729840945248
3.4,-0.444780370892019,-0.458693,-0.5878304,-0.532696,-0.387112,-0.247099,0.113424029659822
3.6,-0.446705685446009,-0.462724,-0.5915008,-0.536254,-0.388103,-0.2529534,0.113762646358795
3.8,-0.448029164319249,-0.463058,-0.594035,-0.534693,-0.389001,-0.2541418,0.114162630462219
4,-0.448727802816901,-0.465275,-0.5948178,-0.534495,-0.391102,-0.2516946,0.114685547777014
4.2,-0.449319314553991,-0.465702,-0.5959234,-0.534302,-0.390992,-0.2522162,0.11522711052497
4.4,-0.449617422535211,-0.464927,-0.596059,-0.53535,-0.392584,-0.2502654,0.115705059465623
4.6,-0.449577873239437,-0.462809,-0.5973432,-0.534308,-0.392784,-0.2494274,0.116265067204975
4.8,-0.449454253521127,-0.461524,-0.6007218,-0.53525,-0.39252,-0.2486322,0.11674213439991
5,-0.449210896713615,-0.460704,-0.6017844,-0.53621,-0.391043,-0.2500598,0.11724902093528
5.2,-0.448947568075117,-0.461318,-0.6029858,-0.536762,-0.388995,-0.250902,0.117760687071766
5.4,-0.448584600938967,-0.46166,-0.6065976,-0.538394,-0.389144,-0.2484492,0.118185101603835
5.6,-0.44815944600939,-0.462895,-0.6092826,-0.536653,-0.38868,-0.244644,0.118588045081485
5.8,-0.447615591549296,-0.462606,-0.6099888,-0.53756,-0.385644,-0.2410688,0.118966221826797
6,-0.447183877934272,-0.4621,-0.6100984,-0.537642,-0.386182,-0.2386546,0.119434362603143
6.2,-0.446658338028169,-0.461552,-0.6099006,-0.537116,-0.386372,-0.2368268,0.119896179768236
6.4,-0.446003647887324,-0.461276,-0.609487,-0.535846,-0.386223,-0.2350306,0.120317936873334
6.6,-0.445391629107981,-0.461944,-0.6094762,-0.535212,-0.385694,-0.2334692,0.120693603412121
6.8,-0.444837605633803,-0.461002,-0.6086364,-0.534328,-0.385268,-0.2317116,0.121013537024904
7,-0.444220680751174,-0.459711,-0.6087594,-0.533847,-0.385941,-0.2305498,0.12138624783245
7.2,-0.443606784037559,-0.458229,-0.6081768,-0.533708,-0.386305,-0.2294842,0.12170633117305
7.4,-0.442969849765258,-0.45731,-0.6072046,-0.532371,-0.386664,-0.227372,0.122019705900959
7.6,-0.442413267605634,-0.455445,-0.6060942,-0.530043,-0.38745,-0.224818,0.122405758668365
7.8,-0.441788971830986,-0.455409,-0.6050874,-0.530138,-0.386345,-0.2227562,0.12274967933286
8,-0.44114123943662,-0.454317,-0.604437,-0.530511,-0.385645,-0.2208316,0.123076778337996
8.2,-0.440542774647887,-0.453133,-0.604383,-0.529657,-0.386036,-0.218783,0.123387647454495
8.4,-0.43994144600939,-0.452774,-0.603053,-0.529421,-0.386031,-0.2169118,0.123664666767551
8.6,-0.439313971830986,-0.45154,-0.6025242,-0.528689,-0.384897,-0.214751,0.123965895902672
8.8,-0.438823431924883,-0.450628,-0.6021512,-0.528774,-0.383865,-0.2130538,0.124222610544733
9,-0.438208061032864,-0.449983,-0.6012292,-0.5281,-0.381757,-0.2114932,0.124541745351846
9.2,-0.437664408450704,-0.449732,-0.6004888,-0.527736,-0.379604,-0.2097056,0.124794337884442
9.4,-0.437138291079812,-0.449477,-0.6001374,-0.526194,-0.379607,-0.2081238,0.125000341566287
9.6,-0.436601009389671,-0.449146,-0.5990656,-0.525708,-0.38023,-0.2069132,0.125200701610096
9.8,-0.436133920187793,-0.449275,-0.5988206,-0.526211,-0.380733,-0.2055694,0.125422203313855
