"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.2,-0.0176289154929577,-0.013233,-0.1976336,-0.084744,0.052334,0.1504786,0.105219192970802
0.4,-0.0132924084507042,-0.008719,-0.1970364,-0.075081,0.061609,0.1556348,0.106830174412199
0.6,-0.0110296150234742,-0.005758,-0.1892374,-0.072845,0.067651,0.15771,0.106582989919682
0.8,-0.012366558685446,-0.007048,-0.1885408,-0.077092,0.05898,0.1560688,0.106094181328109
1,-0.0181985305164319,-0.012066,-0.1888964,-0.085414,0.055592,0.1446938,0.105985068366253
1.2,-0.0309554084507042,-0.026526,-0.19982,-0.099337,0.048597,0.1257138,0.106327453491904
1.4,-0.0550782816901408,-0.055675,-0.2382132,-0.126437,0.022329,0.0983979999999999,0.10822873986044
1.6,-0.0932035727699531,-0.094641,-0.2751014,-0.16244,-0.01387,0.067837,0.109600866574355
1.8,-0.141092572769953,-0.145973,-0.3089768,-0.203464,-0.064697,0.0322239999999997,0.107102131483646
2,-0.184992469483568,-0.193201,-0.3363354,-0.248417,-0.113004,-0.0179292000000001,0.10030020880382
2.2,-0.217428854460094,-0.226072,-0.3540588,-0.28579,-0.155276,-0.0596714000000001,0.0953870720148119
2.4,-0.23951785915493,-0.247767,-0.3746792,-0.300387,-0.175229,-0.0805884000000001,0.0937999248101283
2.6,-0.258362957746479,-0.262868,-0.3876144,-0.320702,-0.195357,-0.1090496,0.0935287947154138
2.8,-0.276428906103286,-0.28689,-0.408066,-0.339371,-0.217341,-0.1287606,0.0934823226345576
3,-0.293736638497653,-0.306584,-0.4269396,-0.356887,-0.231148,-0.1372228,0.0938546413669494
3.2,-0.311106765258216,-0.321944,-0.450831,-0.373561,-0.2495,-0.1555086,0.0941426704867095
3.4,-0.328373417840376,-0.335783,-0.4678006,-0.393836,-0.26729,-0.175748,0.0944449128797184
3.6,-0.345458230046948,-0.354895,-0.483996,-0.413653,-0.28119,-0.1917054,0.0946122487052536
3.8,-0.362471854460094,-0.369517,-0.5000826,-0.430604,-0.297067,-0.2062708,0.0948233846184203
4,-0.3794240657277,-0.386432,-0.518963,-0.448965,-0.317922,-0.224941,0.0949269731776743
4.2,-0.395969450704225,-0.406035,-0.5360886,-0.464009,-0.335115,-0.241616,0.0951333997929425
4.4,-0.411856150234742,-0.421965,-0.5487512,-0.47879,-0.352203,-0.255434,0.0953471420123368
4.6,-0.426740812206573,-0.443737,-0.5626234,-0.493739,-0.365325,-0.26926,0.0956638280495645
4.8,-0.440569685446009,-0.456661,-0.5720042,-0.507957,-0.384277,-0.2822072,0.0957505851525035
5,-0.453366605633803,-0.472094,-0.5807094,-0.521905,-0.392164,-0.2957068,0.0961298246070659
5.2,-0.465036704225352,-0.485643,-0.5923636,-0.53487,-0.405985,-0.3086434,0.0962535065338314
5.4,-0.475619535211268,-0.496072,-0.6007824,-0.546827,-0.412544,-0.3155664,0.0966565157803503
5.6,-0.485038647887324,-0.504293,-0.6107026,-0.556862,-0.417245,-0.3192334,0.0968850564656969
5.8,-0.493463248826291,-0.513669,-0.6199868,-0.564783,-0.420636,-0.3257012,0.0970567616356875
6,-0.501100873239437,-0.523291,-0.6290056,-0.573863,-0.426162,-0.3314512,0.0973820334339649
6.2,-0.507638492957746,-0.530362,-0.6372934,-0.581908,-0.432961,-0.3359466,0.0974367367171682
6.4,-0.513466305164319,-0.536026,-0.6414114,-0.587729,-0.440497,-0.3446054,0.0973008758726785
6.6,-0.518267892018779,-0.539374,-0.6467038,-0.592373,-0.446188,-0.3494398,0.097396281710692
6.8,-0.522454798122066,-0.544005,-0.6497484,-0.596199,-0.44813,-0.3537722,0.0973404237092573
7,-0.526195985915493,-0.546413,-0.651749,-0.601748,-0.453658,-0.3584472,0.0973055675630571
7.2,-0.529424375586855,-0.552549,-0.6544112,-0.604907,-0.456743,-0.36134,0.0971116150766821
7.4,-0.532124131455399,-0.553378,-0.658469,-0.606624,-0.458638,-0.364565,0.0970863251097333
7.6,-0.534514098591549,-0.556637,-0.6619552,-0.608935,-0.463025,-0.3679234,0.0970691803915215
7.8,-0.536650572769953,-0.558524,-0.665128,-0.610918,-0.465334,-0.3699324,0.0970598360497791
8,-0.538466849765258,-0.561363,-0.6679364,-0.612623,-0.468277,-0.3710258,0.0968911347295274
8.2,-0.539928492957746,-0.56337,-0.6702944,-0.614978,-0.47095,-0.3720356,0.0969137670920293
8.4,-0.541154112676056,-0.564726,-0.6717354,-0.615275,-0.473285,-0.3730874,0.0968769424236499
8.6,-0.54221185915493,-0.565629,-0.6717196,-0.615824,-0.475621,-0.3747322,0.0967846866969524
8.8,-0.543244093896714,-0.567339,-0.6718768,-0.617088,-0.477089,-0.3765266,0.0968619694145182
9,-0.544061164319249,-0.568403,-0.6724382,-0.617688,-0.478141,-0.3765348,0.0969372958898682
9.2,-0.544742361502347,-0.569533,-0.6735702,-0.618011,-0.482029,-0.375955,0.0969753707878907
9.4,-0.545332427230047,-0.568645,-0.6735204,-0.618098,-0.483004,-0.376873,0.0970562434974701
9.6,-0.545882093896714,-0.567451,-0.6740724,-0.618159,-0.482864,-0.378615800000001,0.0971925719928022
9.8,-0.546264896713615,-0.566024,-0.6745764,-0.618305,-0.485029,-0.378735600000001,0.0972912512088891
10,-0.546594901408451,-0.564515,-0.6743166,-0.619662,-0.484305,-0.378324600000001,0.0974536827187067
10.2,-0.546755708920188,-0.564457,-0.674166,-0.621442,-0.483595,-0.379592000000001,0.0975250235049028
10.4,-0.546870328638498,-0.564127,-0.6749432,-0.621869,-0.484075,-0.380371400000001,0.097668298428603
10.6,-0.547006507042254,-0.563393,-0.6749058,-0.62118,-0.485947,-0.380700400000001,0.0978336939115722
10.8,-0.54714141314554,-0.564217,-0.674065,-0.620986,-0.48499,-0.379267800000001,0.0979552196365538
11,-0.547207422535211,-0.564077,-0.6727228,-0.620941,-0.485531,-0.3785918,0.0980121279328451
11.2,-0.547153183098592,-0.564536,-0.6723462,-0.619605,-0.486376,-0.3770496,0.0981883214423167
11.4,-0.547178389671361,-0.564159,-0.672342,-0.621027,-0.487264,-0.3759074,0.0983393950371706
11.6,-0.547117685446009,-0.565301,-0.672364,-0.622749,-0.485994,-0.3746892,0.0985481686691682
11.8,-0.547085112676056,-0.563956,-0.6721776,-0.623538,-0.48582,-0.3733198,0.0987217033634338
12,-0.54700434741784,-0.563943,-0.6729326,-0.621475,-0.486583,-0.3724678,0.0988969972981774
