"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.2,-0.319920854460094,-0.323439,-0.444541,-0.370684,-0.26476,-0.1997308,0.0788280055233248
0.4,-0.322233910798122,-0.32707,-0.4475686,-0.373231,-0.26554,-0.2035298,0.0787458470167381
0.6,-0.323155563380282,-0.327532,-0.4492766,-0.374387,-0.26638,-0.2048406,0.0787282092044497
0.8,-0.325429417840376,-0.330223,-0.4521702,-0.376537,-0.270194,-0.2073514,0.0787685550887707
1,-0.330256737089202,-0.336137,-0.4562288,-0.379995,-0.273907,-0.2112772,0.0788290969784634
1.2,-0.338710657276995,-0.344412,-0.4652724,-0.388608,-0.282334,-0.2197544,0.0787723830728232
1.4,-0.352068568075117,-0.35862,-0.4753132,-0.400241,-0.294056,-0.2344758,0.0783780711569522
1.6,-0.371642267605634,-0.379045,-0.493123,-0.419648,-0.31637,-0.2549882,0.0775369787207997
1.8,-0.398176990610329,-0.404995,-0.5196082,-0.448383,-0.341668,-0.2803378,0.0763536626576957
2,-0.431964938967136,-0.438627,-0.5508398,-0.479305,-0.377794,-0.3152902,0.074795856410942
2.2,-0.471913262910798,-0.47659,-0.5866206,-0.517037,-0.418914,-0.3598326,0.0720981493148002
2.4,-0.515697572769953,-0.520197,-0.6251462,-0.559423,-0.468052,-0.4086786,0.0682933322672203
2.6,-0.560951122065728,-0.565023,-0.659635,-0.602726,-0.518684,-0.456748,0.0635992158736234
2.8,-0.603824178403756,-0.607577,-0.691884,-0.641744,-0.565483,-0.5051694,0.0584186472361521
3,-0.642614995305164,-0.643851,-0.7216442,-0.677116,-0.605684,-0.5556696,0.0526618164845984
3.2,-0.675505281690141,-0.677893,-0.7487112,-0.707802,-0.644472,-0.5981616,0.047276588894759
3.4,-0.702690384976526,-0.704797,-0.768067,-0.727871,-0.677431,-0.634316,0.0421170356598802
3.6,-0.724693018779343,-0.723191,-0.7825812,-0.74788,-0.702959,-0.6606394,0.0378960184406039
3.8,-0.741906215962441,-0.741967,-0.7961102,-0.7644,-0.722608,-0.6849142,0.034592792061821
4,-0.75535034741784,-0.755042,-0.8057504,-0.776992,-0.734856,-0.699117,0.0319725566839287
4.2,-0.765434854460094,-0.764274,-0.81424,-0.785663,-0.745995,-0.7086604,0.0304097032807777
4.4,-0.772859248826291,-0.772311,-0.8188678,-0.793695,-0.754735,-0.7211956,0.0292403060581874
4.6,-0.778295830985915,-0.777922,-0.8234684,-0.798633,-0.761046,-0.726281,0.0286673472257526
4.8,-0.782020685446009,-0.782144,-0.8265504,-0.801649,-0.764683,-0.7293752,0.0282266442357388
5,-0.784298427230047,-0.784971,-0.8280256,-0.804148,-0.76687,-0.7314678,0.0280571731755776
5.2,-0.785433478873239,-0.785204,-0.8284962,-0.805237,-0.767902,-0.7319282,0.028086817917351
5.4,-0.785822511737089,-0.785733,-0.828722,-0.806447,-0.768421,-0.7332494,0.028282787486153
5.6,-0.785487802816901,-0.785385,-0.8285454,-0.806046,-0.767839,-0.7333104,0.0285106920190362
5.8,-0.784479300469484,-0.784193,-0.8290514,-0.80464,-0.76638,-0.7325138,0.0287649237329446
6,-0.783099366197183,-0.783089,-0.8290158,-0.803808,-0.766092,-0.7301156,0.029202540085423
6.2,-0.781388638497653,-0.78193,-0.827163,-0.802422,-0.764418,-0.727588,0.0295933711215144
6.4,-0.779278657276995,-0.77967,-0.8252522,-0.799994,-0.761482,-0.7236492,0.0300279708143312
6.6,-0.776947779342723,-0.777385,-0.822867,-0.797516,-0.7584,-0.7196942,0.0304265669513727
6.8,-0.774433704225352,-0.774449,-0.8214852,-0.795381,-0.755221,-0.716054,0.030788183436394
7,-0.771848685446009,-0.772047,-0.8203206,-0.793436,-0.752711,-0.7116632,0.0312135765753027
7.2,-0.769188107981221,-0.770189,-0.818461,-0.79108,-0.749771,-0.7075008,0.0317127020631157
7.4,-0.766409746478873,-0.766847,-0.8168634,-0.788881,-0.746274,-0.704193,0.0321618982087229
7.6,-0.763433319248826,-0.764134,-0.814071,-0.786673,-0.744314,-0.7008928,0.0325572256671677
7.8,-0.760610366197183,-0.761697,-0.8115216,-0.784553,-0.741063,-0.6981378,0.0330569594079557
8,-0.757607488262911,-0.758491,-0.8083884,-0.781555,-0.736728,-0.6952034,0.0335170687216892
