"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.1,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
2.6,0,0,0,0,0,0,0
2.7,-0.000503821596244131,0,0,0,0,0,0.00735303412064317
2.8,0.00103299530516432,0,0,0,0,0,0.0139960808474944
2.9,0.0027830234741784,0,-0.0584688,0,0,0.0831237999999998,0.0399561830390658
3,0.00588448356807512,0,-0.0867556,0,0.005004,0.1200452,0.054904986896112
3.1,0.00894009389671361,0,-0.0883584,0,0.021502,0.1288394,0.0616923728998165
3.2,0.00991269483568075,0,-0.0908964,0,0.024393,0.1333656,0.0629264306241807
3.3,0.0104786009389671,0,-0.0908964,0,0.024393,0.137832,0.0640411936349124
3.4,0.0108762629107981,0,-0.0908964,0,0.026157,0.137832,0.064079135003366
3.5,0.0111359906103286,0,-0.0964096,0,0.030572,0.137832,0.0645456693596466
3.6,0.00961032863849765,0,-0.1000352,-0.010501,0.030572,0.137832,0.0671297766554201
3.7,0.0115163802816901,0,-0.108901,-0.015944,0.050568,0.1583926,0.0762567861931669
3.8,-0.00291970892018779,-0.006738,-0.2133844,-0.097543,0.08982,0.2329792,0.1390234810112
3.9,-0.0973928122065728,-0.096772,-0.2089482,-0.142082,-0.052973,0.0117486,0.0693595217412297
4,-0.0966423192488263,-0.098727,-0.2082506,-0.147755,-0.053364,0.0192632,0.0715091340867134
4.1,-0.0965372394366197,-0.097144,-0.2137344,-0.14804,-0.052987,0.0268712,0.0736175183723657
4.2,-0.099042220657277,-0.097039,-0.218386,-0.155716,-0.040511,0.0344092,0.0804041679253453
4.3,-0.10314017370892,-0.115146,-0.2283116,-0.159542,-0.045572,0.0451439999999999,0.0848794662089033
4.4,-0.114121333333333,-0.117777,-0.2517194,-0.172212,-0.058227,0.0425511999999998,0.0904634563480239
4.5,-0.135015046948357,-0.132017,-0.2906674,-0.19913,-0.073221,0.0176495999999998,0.0976206385404971
4.6,-0.158570098591549,-0.152916,-0.3279154,-0.224246,-0.092842,0.0113393999999999,0.102980433831469
4.7,-0.179135868544601,-0.177231,-0.3514538,-0.250597,-0.112341,-0.0216066,0.108354717789217
4.8,-0.19877082629108,-0.196836,-0.3823534,-0.27187,-0.115365,-0.0380106,0.111281480838911
4.9,-0.222128694835681,-0.213403,-0.4091014,-0.293974,-0.143814,-0.0621638,0.111461715129751
5,-0.243614962441315,-0.243415,-0.4359496,-0.312295,-0.172923,-0.0905986000000001,0.108524363460984
5.1,-0.265098450704225,-0.264838,-0.4507144,-0.328937,-0.201913,-0.0954560000000002,0.11068515741735
5.2,-0.282478751173709,-0.272494,-0.4742146,-0.357089,-0.209565,-0.105362,0.112896969551425
