"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.1,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
2.6,0,0,0,0,0,0,0
2.7,-0.000548464788732394,0,0,0,0,0,0.00800458006481817
2.8,-0.000158455399061033,0,0,0,0,0,0.0108518671123753
2.9,-0.0100986713615023,0,-0.1003418,0,0,0.00741179999999995,0.0371412875445502
3,-0.013001765258216,0,-0.1389058,-0.030947,0,0.0770045999999999,0.0577084166418778
3.1,-0.0142176056338028,0,-0.1404782,-0.043646,0,0.0776177999999999,0.0602931635426092
3.2,-0.0154868497652582,0,-0.1418844,-0.046967,0,0.0776177999999999,0.0610078441718456
3.3,-0.0146871314553991,0,-0.1418844,-0.043779,0,0.0776177999999999,0.0608383570028267
3.4,-0.01467579342723,0,-0.1407082,-0.043779,0,0.0776177999999999,0.0610974395537421
3.5,-0.0169930798122066,0,-0.1418844,-0.050333,0,0.0758958,0.0623825816739708
3.6,-0.0225236150234742,0,-0.1480078,-0.057429,0,0.0664985999999999,0.0647997774143929
3.7,-0.0220394929577465,0,-0.1419136,-0.068966,0,0.0983729999999998,0.06715623276885
3.8,-0.0469728497652582,-0.048363,-0.210893,-0.108199,0.019313,0.123319799999999,0.100519274662595
3.9,-0.0980447042253521,-0.102318,-0.1863418,-0.139245,-0.057082,-0.00371260000000007,0.0597684877077349
4,-0.11254761971831,-0.115774,-0.2007496,-0.153147,-0.07475,-0.0181416,0.0584781369215218
4.1,-0.117914084507042,-0.118367,-0.212848,-0.157565,-0.076478,-0.0149398,0.0608789183838475
4.2,-0.123756272300469,-0.126891,-0.2327542,-0.164719,-0.083046,-0.0222828,0.0630877509695599
4.3,-0.131171267605634,-0.130175,-0.249235,-0.173409,-0.085622,-0.0240944000000001,0.0665508704375034
4.4,-0.14653658685446,-0.147964,-0.2540534,-0.197729,-0.100664,-0.0295382000000001,0.070974504327047
4.5,-0.166519319248826,-0.169629,-0.2784814,-0.210197,-0.114496,-0.0526904,0.0741079413842967
4.6,-0.192116572769953,-0.193433,-0.3169832,-0.236455,-0.143004,-0.0866978000000001,0.0746078715934728
4.7,-0.217342746478873,-0.217817,-0.3429192,-0.264862,-0.171009,-0.0987810000000001,0.0750000940991331
4.8,-0.241294863849765,-0.245249,-0.3663666,-0.289374,-0.194123,-0.1159524,0.0760371260763343
4.9,-0.267582478873239,-0.266507,-0.391184,-0.317823,-0.220424,-0.1424696,0.0770818778468822
5,-0.290240117370892,-0.287283,-0.414276,-0.337205,-0.236264,-0.1736664,0.0743765394076954
5.1,-0.309910028169014,-0.306833,-0.436447,-0.364115,-0.259756,-0.1836932,0.0767207840518298
