"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.1,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
2.6,0.000621582159624413,0,0,0,0,0,0.00586266807210186
2.7,-0.00379974178403756,0,-0.049548,0,0,0,0.0260591437310271
2.8,-0.00668579342723005,0,-0.0757576,0,0,0.0308058,0.0398796802666986
2.9,-0.00863711267605634,0,-0.079741,0,0,0.0378523999999999,0.0507131519640493
3,-0.00781705164319249,0,-0.078904,0,0,0.0460439999999999,0.0507537519355936
3.1,-0.00834224882629108,0,-0.078904,0,0,0.0495371999999999,0.0514288529854141
3.2,-0.00893953521126761,0,-0.083427,0,0,0.0552632,0.052731908941441
3.3,-0.0112049436619718,0,-0.0890046,-0.016278,0,0.0564602,0.0556457494780015
3.4,-0.0171467511737089,0,-0.116836,-0.049573,0.004694,0.0860795999999999,0.0664599931562538
3.5,-0.0305755070422535,-0.013362,-0.1338882,-0.069287,0.004902,0.0689863999999999,0.0704808249269488
3.6,-0.0401466854460094,-0.030047,-0.1403224,-0.088025,0,0.0678985999999999,0.0732954346652862
3.7,-0.0519058122065728,-0.047597,-0.1748772,-0.103408,-0.001769,0.0656586,0.0771513803522466
3.8,-0.0679406056338028,-0.063264,-0.2061378,-0.107798,-0.017097,0.0470257999999999,0.0776264153682187
3.9,-0.0853769436619718,-0.08481,-0.2139582,-0.136717,-0.025973,0.039685,0.0817363016358706
4,-0.0996906807511737,-0.096213,-0.2240846,-0.146349,-0.050213,0.0160498,0.0786465777412881
4.1,-0.114305464788732,-0.122841,-0.2481946,-0.174276,-0.057214,0.0324781999999999,0.0880359223142555
4.2,-0.13476841314554,-0.133775,-0.2725332,-0.190248,-0.082666,-0.000934600000000008,0.0834260407123682
4.3,-0.155514192488263,-0.151898,-0.288491,-0.214516,-0.100404,-0.00581180000000002,0.08069563288928
4.4,-0.183481122065728,-0.18097,-0.3123712,-0.243047,-0.134383,-0.0181232000000002,0.0848191210615001
4.5,-0.210644492957746,-0.203742,-0.3446836,-0.266508,-0.15459,-0.0892418,0.0859096103371412
4.6,-0.237688676056338,-0.234819,-0.3829098,-0.292669,-0.178632,-0.105518,0.0860204281902349
4.7,-0.263885,-0.260146,-0.4136844,-0.32604,-0.202833,-0.1299286,0.0859624154965413
4.8,-0.293090352112676,-0.287765,-0.4500202,-0.348573,-0.231136,-0.1718084,0.087005791645398
4.9,-0.320344131455399,-0.322582,-0.465317,-0.375332,-0.261956,-0.1799504,0.0850837338861048
5,-0.348466948356808,-0.352729,-0.4946808,-0.401799,-0.292659,-0.1936086,0.0873902073858164
5.1,-0.374631882629108,-0.377061,-0.5232416,-0.427574,-0.317819,-0.2293094,0.0851264173566115
