"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.1,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
2.6,-0.00166726291079812,0,0,0,0,0,0.0147015476337282
2.7,-0.0150947136150235,0,-0.1371614,0,0,0,0.0444045447213782
2.8,-0.0415277699530516,0,-0.2077318,-0.016995,0,0,0.0801599745372342
2.9,-0.0545234976525822,0,-0.2387264,-0.11342,0,0,0.0939789218990502
3,-0.0553346103286385,0,-0.2387264,-0.11342,0,0,0.0951489817836996
3.1,-0.0557998779342723,0,-0.2387264,-0.115681,0,0,0.094904586046635
3.2,-0.0565899718309859,0,-0.2387264,-0.118262,0,0,0.0952108996806521
3.3,-0.0579470469483568,0,-0.23064,-0.122786,0,0.013922,0.0949099772360663
3.4,-0.0651627136150235,-0.036557,-0.23064,-0.121097,0,0.0417155999999999,0.0958401068423569
3.5,-0.0739788591549296,-0.064523,-0.2378548,-0.11858,0,0.0338861999999999,0.0932329051934975
3.6,-0.0793430845070422,-0.070675,-0.2504006,-0.121544,-0.01433,0.0367661999999999,0.0916001590876327
3.7,-0.0935278075117371,-0.087103,-0.2498522,-0.147678,-0.036647,0.0328814,0.0897369977878518
3.8,-0.12456961971831,-0.111898,-0.2760156,-0.171151,-0.065311,-0.00813980000000009,0.086804179744275
3.9,-0.13877255399061,-0.134587,-0.284295,-0.193564,-0.076096,-0.00886980000000014,0.0885868199838023
4,-0.152018389671361,-0.144028,-0.3016532,-0.199831,-0.097086,-0.0329168000000001,0.0836659527558867
4.1,-0.161808417840376,-0.15881,-0.308383,-0.215275,-0.105178,-0.0311392,0.0839250437210168
4.2,-0.179670802816901,-0.170989,-0.3207646,-0.236896,-0.121649,-0.0522212000000001,0.0811211541922315
4.3,-0.204705769953052,-0.192986,-0.346239,-0.263068,-0.146924,-0.0817426,0.0804002049747964
4.4,-0.233022328638498,-0.232696,-0.373304,-0.28899,-0.180775,-0.0963606,0.0833724855633122
4.5,-0.264467281690141,-0.258354,-0.4061538,-0.317075,-0.208519,-0.1438176,0.079579137405499
4.6,-0.297757643192488,-0.29888,-0.4396716,-0.344486,-0.241276,-0.1728696,0.0775889607872273
4.7,-0.330893427230047,-0.324537,-0.4711004,-0.369467,-0.284986,-0.2143574,0.0744909364212564
4.8,-0.369131009389671,-0.370127,-0.489413,-0.412383,-0.321865,-0.2465604,0.0728489840563826
4.9,-0.404686079812207,-0.400448,-0.5210758,-0.453288,-0.356471,-0.287228,0.0722954910111001
5,-0.441683352112676,-0.435993,-0.5596174,-0.487473,-0.394325,-0.3445664,0.0695427022652402
5.1,-0.477631028169014,-0.481359,-0.5921192,-0.524098,-0.429393,-0.3684926,0.067107408746494
