"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.1,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
2.6,-9.24272300469484e-05,0,0,0,0,0,0.006376383742581
2.7,0.00101724882629108,0,0,0,0,0.0317123999999997,0.0287548134477379
2.8,-0.00036837089201878,0,-0.050313,0,0,0.0491498,0.0376324735495934
2.9,-0.00091868544600939,0,-0.0609272,0,0,0.0450533999999999,0.0404559375065933
3,-0.000642234741784038,0,-0.064094,0,0,0.0664429999999998,0.0414873608029899
3.1,-0.00136346948356808,0,-0.0770378,0,0,0.0683185999999999,0.0445954052825656
3.2,-0.00270484507042254,0,-0.0863764,0,0,0.0715846,0.0461965633114837
3.3,-0.00593661971830986,0,-0.1013978,-0.006004,0,0.0699734,0.0501661992693587
3.4,-0.015410765258216,0,-0.126501,-0.049017,0.002979,0.080099,0.0620203680095416
3.5,-0.0256015352112676,-0.014673,-0.1472362,-0.072666,0.007446,0.0842601999999999,0.0738470087073506
3.6,-0.034261779342723,-0.024577,-0.1719748,-0.088737,0.018093,0.0909317999999998,0.0813502337158635
3.7,-0.050420779342723,-0.050884,-0.1812264,-0.106651,0,0.0809968,0.0831372501425632
3.8,-0.0664233192488263,-0.065329,-0.2002746,-0.127269,-0.005963,0.0781015999999999,0.0859062387336325
3.9,-0.0755450281690141,-0.082972,-0.234619,-0.1338,-0.012538,0.0756142,0.0914249311971052
4,-0.0866241126760563,-0.090189,-0.2236488,-0.153333,-0.031225,0.0597927999999998,0.088327899171942
4.1,-0.100140075117371,-0.100193,-0.2522182,-0.164725,-0.039314,0.0574413999999998,0.0929865354864236
4.2,-0.121048502347418,-0.121516,-0.2660694,-0.186671,-0.058615,0.0218672,0.0903183578165353
4.3,-0.143087938967136,-0.147175,-0.2828452,-0.203309,-0.075298,-0.00532800000000004,0.0871943264071425
4.4,-0.170244600938967,-0.170262,-0.316676,-0.23443,-0.101499,-0.0168696000000001,0.0937573321058618
4.5,-0.190534070422535,-0.190682,-0.3470572,-0.256703,-0.12995,-0.026843,0.0948101340037607
4.6,-0.218659704225352,-0.211865,-0.3793634,-0.292721,-0.160715,-0.042875,0.0974561512448268
4.7,-0.244130948356808,-0.238078,-0.4046854,-0.316427,-0.177362,-0.0791828,0.101032292080128
4.8,-0.271328295774648,-0.270485,-0.4563364,-0.339085,-0.198662,-0.0977390000000001,0.104683373354957
4.9,-0.299389483568075,-0.295474,-0.4754064,-0.363653,-0.234214,-0.126409,0.10377115884859
5,-0.330964107981221,-0.324853,-0.502561,-0.405481,-0.261978,-0.1503638,0.10740111661467
5.1,-0.358298769953052,-0.356816,-0.5275754,-0.435737,-0.282028,-0.1761476,0.108973486097379
