"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.1,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
2.6,-0.00138776056338028,0,0,0,0,0,0.0129170606411635
2.7,-0.00858645070422535,0,-0.1168222,0,0,0,0.0371868923317868
2.8,-0.0241893098591549,0,-0.173788,0,0,0.000196399999999989,0.0667053168288235
2.9,-0.0316751737089202,0,-0.2136826,-5e-04,0,0.0039305999999999,0.0793805993196811
3,-0.0324411643192488,0,-0.214843,-5e-04,0,0.00291579999999996,0.0809442637665785
3.1,-0.0338041924882629,0,-0.214843,-0.012578,0,0.00291579999999996,0.081256582002284
3.2,-0.0330711126760563,0,-0.2209684,-0.026638,0,0.0247104,0.0826938015798798
3.3,-0.0374670845070423,0,-0.214843,-0.057429,0,0.0323453999999996,0.0820982673429215
3.4,-0.0468374788732394,-0.014094,-0.214843,-0.082242,0,0.0423027999999997,0.0846835124083037
3.5,-0.0560092769953052,-0.046294,-0.2209684,-0.097103,0,0.0506154,0.0854966714405231
3.6,-0.0628480469483568,-0.05178,-0.2309116,-0.114257,0,0.0686792,0.0887566792183841
3.7,-0.0762429389671361,-0.070244,-0.2380388,-0.133737,-0.017426,0.0588531999999997,0.0897165183556488
3.8,-0.0962558497652582,-0.091605,-0.25141,-0.140198,-0.039589,0.0211525999999999,0.0818726223797419
3.9,-0.108659220657277,-0.103453,-0.2558216,-0.162826,-0.043792,0.007889,0.0854520816242534
4,-0.118676957746479,-0.116218,-0.2536052,-0.174812,-0.064163,0.0108495999999999,0.0818242323445022
4.1,-0.127182079812207,-0.125705,-0.264719,-0.181202,-0.074127,0.0171308,0.0826463073985823
4.2,-0.138530159624413,-0.142705,-0.274966,-0.188933,-0.083291,0.00402519999999999,0.0842174445918313
4.3,-0.153055708920188,-0.158751,-0.2832266,-0.224248,-0.091194,-0.0118822000000002,0.0864947610126838
4.4,-0.168833915492958,-0.169545,-0.3024724,-0.226989,-0.108325,-0.027906,0.0844747668014136
4.5,-0.187232737089202,-0.186057,-0.3224588,-0.248545,-0.128476,-0.0441444,0.0856785019771774
4.6,-0.206436596244131,-0.208617,-0.3603896,-0.267669,-0.148411,-0.055594,0.0909438579702635
4.7,-0.220797328638498,-0.224165,-0.3557962,-0.275822,-0.160398,-0.0745308,0.0900255881923168
4.8,-0.240448915492958,-0.245221,-0.3883622,-0.3042,-0.177347,-0.0926636000000001,0.0946013122772498
4.9,-0.259479549295775,-0.262656,-0.4066994,-0.328731,-0.195627,-0.1063954,0.0965077583831245
5,-0.281070544600939,-0.28901,-0.4351356,-0.345411,-0.225782,-0.1126694,0.0988000796523728
