"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.2,0.160115985915493,0.151315,0.0449658,0.105113,0.212813,0.2950818,0.0875455332370626
0.4,0.190254938967136,0.182296,0.0464526,0.132124,0.251396,0.3312314,0.0940983156645536
0.6,0.231839117370892,0.22416,0.0574604,0.170397,0.305523,0.3838082,0.103815686725113
0.8,0.274537638497653,0.27475,0.0890256,0.205518,0.357391,0.4373108,0.114207701149538
1,0.311306887323944,0.321856,0.1102422,0.232146,0.401292,0.4896698,0.123191087539888
1.2,0.339921004694836,0.354046,0.1261072,0.258982,0.430411,0.5285696,0.130476844160605
1.4,0.361886018779343,0.379822,0.1269208,0.280662,0.45862,0.5532928,0.13569068705523
1.6,0.379115849765258,0.397372,0.125541,0.301383,0.483935,0.572746,0.13922375145573
1.8,0.392295549295775,0.414692,0.1255772,0.314813,0.498311,0.5891322,0.141897288405766
2,0.402180295774648,0.423226,0.1213838,0.327018,0.511179,0.6011854,0.144086766441436
2.2,0.409593863849765,0.428775,0.1201394,0.331734,0.519405,0.6071174,0.146105737623138
2.4,0.414768192488263,0.431863,0.1213398,0.333171,0.528547,0.6143962,0.147375227209726
2.6,0.418828417840376,0.436378,0.1164786,0.335736,0.528665,0.6194788,0.148390882911975
2.8,0.421280023474178,0.437711,0.1207312,0.336887,0.534257,0.6207056,0.14908851900381
3,0.422862924882629,0.440866,0.115385,0.336643,0.534196,0.6255018,0.149749914221363
3.2,0.423849676056338,0.442384,0.1149162,0.336613,0.537781,0.6279302,0.150329611605861
3.4,0.424193610328639,0.444217,0.114112,0.33458,0.538591,0.6293558,0.150819528999232
3.6,0.424161258215962,0.444,0.1178992,0.330786,0.539127,0.6299978,0.150943110934669
3.8,0.423546262910798,0.443527,0.121339,0.330284,0.536968,0.6303322,0.151441995173089
4,0.422998042253521,0.441251,0.1152116,0.324596,0.53836,0.630068,0.151711987968306
4.2,0.422180680751174,0.440043,0.1106176,0.323434,0.53742,0.6294648,0.152215142851874
4.4,0.421250957746479,0.438331,0.107531,0.3225,0.536112,0.6286504,0.15270879745933
4.6,0.420132464788732,0.438341,0.103848,0.319574,0.533261,0.6293706,0.153279789762656
4.8,0.419252436619718,0.439468,0.1006438,0.317447,0.531512,0.6287678,0.15340788358771
5,0.418349375586854,0.43548,0.0984168,0.317556,0.531873,0.6257708,0.153519486430507
5.2,0.417226300469484,0.437603,0.0961378,0.321104,0.530617,0.6229752,0.153795328785682
5.4,0.415862610328639,0.437966,0.0906768,0.31425,0.529455,0.6217052,0.154367096418416
5.6,0.414772248826291,0.436955,0.0889966,0.319706,0.529269,0.6221908,0.154650164770155
