"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
-29.9,0.15583685915493,0.147329,0.0432426,0.099217,0.205647,0.2876992,0.0866252204325711
-29.8,0.155881366197183,0.147329,0.0434186,0.099185,0.205708,0.2877564,0.0866331723783268
-29.7,0.155918572769953,0.147579,0.043302,0.099291,0.20585,0.2877052,0.0866329097446568
-29.6,0.155966708920188,0.147579,0.0433866,0.09935,0.206065,0.2877592,0.0866310716470393
-29.5,0.156025671361502,0.14779,0.0439272,0.099367,0.206277,0.2879116,0.0866327553737224
-29.4,0.156076366197183,0.147658,0.0440248,0.099417,0.206313,0.2882028,0.0866455817531699
-29.3,0.156119615023474,0.14767,0.0439816,0.099341,0.20655,0.288327,0.0866535537702438
-29.2,0.156169633802817,0.14772,0.0438768,0.099279,0.206796,0.2884174,0.0866554847037072
-29.1,0.156224399061033,0.147509,0.0439252,0.099341,0.206776,0.288385,0.0866743328619466
-29,0.156280126760563,0.147619,0.0438494,0.099322,0.206891,0.2886498,0.0866808073323347
-28.9,0.156322502347418,0.147426,0.0441114,0.099293,0.207153,0.2884944,0.0866878523298993
-28.8,0.156369971830986,0.147441,0.0440478,0.099336,0.207153,0.288693,0.0867108441232143
-28.7,0.156407408450704,0.147527,0.0439014,0.099264,0.207348,0.288858,0.086728233360407
-28.6,0.156470882629108,0.147495,0.043935,0.099566,0.207481,0.2890256,0.0867434918398681
-28.5,0.156501305164319,0.147855,0.0440094,0.099649,0.207648,0.289153,0.0867422598697459
-28.4,0.156558591549296,0.147814,0.0440426,0.099701,0.207675,0.2891408,0.0867514536969347
-28.3,0.156617802816901,0.147884,0.043976,0.100002,0.207719,0.2892718,0.0867480257550979
-28.2,0.156687563380282,0.148127,0.0441836,0.100115,0.207751,0.2894662,0.0867480062567425
-28.1,0.15674865258216,0.148165,0.0442764,0.100005,0.207644,0.2894774,0.0867746598471344
-28,0.15680438028169,0.148255,0.0441324,0.100149,0.207269,0.2896048,0.0867917995931451
-27.9,0.156863295774648,0.148133,0.0442352,0.100245,0.207431,0.2896644,0.0867967165359431
-27.8,0.156916356807512,0.147946,0.0443344,0.100201,0.207606,0.2899392,0.0868077845320748
-27.7,0.156982136150235,0.147909,0.0444344,0.100353,0.207606,0.290026,0.086825980196567
-27.6,0.157049657276995,0.148088,0.0445782,0.100474,0.207538,0.2900548,0.0868207225562618
-27.5,0.157117478873239,0.147782,0.044788,0.100538,0.208059,0.2901416,0.0868393045008571
-27.4,0.157191680751174,0.147789,0.0449138,0.100574,0.208259,0.290371,0.0868586743989457
-27.3,0.157275384976526,0.147777,0.0448268,0.100826,0.208583,0.2903364,0.0868817565478113
-27.2,0.1573279342723,0.147793,0.0447192,0.100994,0.208713,0.290587,0.0868968621890007
-27.1,0.157388319248826,0.147548,0.044826,0.101168,0.208784,0.2906368,0.0868932990061891
-27,0.157460286384977,0.14767,0.044965,0.101341,0.208913,0.2907194,0.0869020606963517
-26.9,0.157531549295775,0.147861,0.04505,0.101328,0.209208,0.2909434,0.086930174478307
-26.8,0.157599244131455,0.147832,0.0449736,0.101329,0.209418,0.2910386,0.0869434007877403
-26.7,0.157656089201878,0.147934,0.0448876,0.1012,0.209192,0.2911198,0.0869507385972924
-26.6,0.157728633802817,0.148141,0.0446854,0.101261,0.209145,0.2912786,0.0869744540631788
-26.5,0.157765690140845,0.148316,0.0445152,0.10151,0.209063,0.2912298,0.086977294707775
-26.4,0.1578239342723,0.148657,0.0445786,0.101584,0.208884,0.2913824,0.0869946583379365
-26.3,0.157886849765258,0.148278,0.0446874,0.101959,0.208698,0.291688,0.0869947490518578
-26.2,0.157948610328638,0.14839,0.0446126,0.101926,0.208948,0.2918494,0.0870174296467877
-26.1,0.158027812206573,0.148446,0.0447766,0.101907,0.208873,0.2920182,0.0870457760391994
-26,0.158082892018779,0.148446,0.0449084,0.101854,0.209078,0.2918836,0.087047019815014
-25.9,0.158171079812207,0.148633,0.0450348,0.10221,0.209499,0.291841,0.087081489103794
-25.8,0.158249708920188,0.149066,0.0450874,0.102263,0.209598,0.2919616,0.0870941228719891
-25.7,0.158323253521127,0.149142,0.0448268,0.102004,0.209622,0.2923724,0.087096752127227
-25.6,0.15839114084507,0.149097,0.0449246,0.102483,0.209823,0.2925342,0.087103583148593
-25.5,0.158468183098592,0.148867,0.0447832,0.103006,0.209922,0.2925108,0.0871327318592675
-25.4,0.158539384976526,0.149025,0.044978,0.103163,0.209892,0.2924758,0.0871534222850258
-25.3,0.158625154929577,0.149213,0.0451486,0.103455,0.210178,0.292531,0.0871534443642511
-25.2,0.158704478873239,0.149206,0.0451744,0.103392,0.210318,0.2927548,0.0871533547152429
-25.1,0.158769755868545,0.149203,0.045177,0.10357,0.210389,0.2929432,0.0871522868096524
-25,0.15884155399061,0.149347,0.0448248,0.103295,0.210347,0.2931092,0.0871819482686155
-24.9,0.158931201877934,0.149592,0.0448572,0.103368,0.21024,0.293139,0.0871887373242639
-24.8,0.159017873239437,0.150084,0.0446942,0.103925,0.21004,0.29339,0.0872076171718196
-24.7,0.159107107981221,0.150268,0.0447708,0.104188,0.210103,0.2935302,0.0872238414215233
-24.6,0.159164633802817,0.150379,0.044398,0.104172,0.210237,0.293541,0.0872326688963388
-24.5,0.159250530516432,0.150619,0.044568,0.104167,0.210191,0.2941962,0.0872624548824903
-24.4,0.159332248826291,0.150547,0.0445804,0.10424,0.210189,0.2941122,0.087288592345319
-24.3,0.15939655399061,0.150364,0.0445558,0.10422,0.210211,0.2941364,0.0873100502142813
-24.2,0.159464887323944,0.150689,0.0442114,0.104388,0.210135,0.2942898,0.087325160638995
-24.1,0.159541920187793,0.150955,0.0442978,0.104136,0.210283,0.2943588,0.0873231970729787
-24,0.159615441314554,0.150967,0.0440328,0.104401,0.210591,0.2943248,0.0873367807092217
-23.9,0.159700164319249,0.151078,0.0441376,0.104312,0.210728,0.294522,0.087349253104091
-23.8,0.159813615023474,0.151296,0.044516,0.10426,0.21089,0.2947142,0.0873912056359017
-23.7,0.159937924882629,0.151298,0.0444916,0.104376,0.211309,0.295114,0.0874407150421778
-23.6,0.160034295774648,0.151354,0.0442536,0.104468,0.211545,0.295258,0.0874700319430567
-23.5,0.160131901408451,0.151193,0.0441312,0.10465,0.211587,0.2952862,0.0874714166734123
-23.4,0.1602350657277,0.151366,0.0441002,0.104656,0.211912,0.2954194,0.0875184274121386
-23.3,0.160328765258216,0.151669,0.0439586,0.104851,0.212152,0.2954656,0.08754236311075
-23.2,0.160419948356808,0.151456,0.0442324,0.104941,0.212255,0.2956724,0.0875555717657234
-23.1,0.160500126760563,0.151441,0.0442026,0.10491,0.212366,0.295856,0.0875877538116475
-23,0.160582319248826,0.151471,0.0441112,0.105009,0.212571,0.2957114,0.0876145551626049
-22.9,0.160684924882629,0.151734,0.0440604,0.105124,0.212845,0.2955252,0.0876272662160298
-22.8,0.160778366197183,0.152184,0.0441548,0.105174,0.212966,0.2956134,0.0876490319275473
-22.7,0.160864938967136,0.151971,0.044231,0.105589,0.213456,0.2952622,0.0876665398127451
-22.6,0.160968676056338,0.151815,0.0442708,0.105591,0.213791,0.2953124,0.0876880165283296
-22.5,0.161063267605634,0.151931,0.0443632,0.105811,0.213991,0.2954726,0.0876905239617495
-22.4,0.161160854460094,0.151995,0.04434,0.105936,0.21406,0.2959266,0.0877133317106751
-22.3,0.161285647887324,0.151993,0.0443984,0.106219,0.214117,0.2958644,0.0877281905831508
-22.2,0.161400309859155,0.151958,0.0443668,0.106553,0.214235,0.2962624,0.0877573427850565
-22.1,0.161527492957746,0.152704,0.044439,0.107072,0.214421,0.2965682,0.0877583187448418
-22,0.16166282629108,0.152885,0.0443148,0.107045,0.214796,0.296915,0.0877881787276185
-21.9,0.161766159624413,0.152926,0.0444182,0.106959,0.214903,0.2967716,0.0878263317820056
-21.8,0.161883845070423,0.152858,0.044504,0.107541,0.215331,0.2972548,0.0878547987532177
-21.7,0.162003882629108,0.152975,0.0446074,0.107987,0.215245,0.2972374,0.0878827979757141
-21.6,0.16209755399061,0.152873,0.0446034,0.10799,0.215406,0.2974374,0.0878933801734383
-21.5,0.162182704225352,0.152856,0.0448148,0.10793,0.215422,0.2976042,0.0878928008482641
-21.4,0.162299680751174,0.153339,0.0450396,0.108033,0.215733,0.2973324,0.0879177055199223
-21.3,0.162431779342723,0.153624,0.0452292,0.108338,0.216082,0.2979454,0.0879599022408841
-21.2,0.162558816901408,0.153587,0.0453224,0.107988,0.216158,0.2979586,0.0880071662421933
-21.1,0.162683943661972,0.153649,0.0453264,0.108631,0.216158,0.298477,0.0880601050054205
-21,0.16282941314554,0.153209,0.0454164,0.109178,0.216381,0.2987408,0.0880957649329902
-20.9,0.162934563380282,0.153316,0.0455682,0.109089,0.216602,0.298676,0.0881161902820007
-20.8,0.163078178403756,0.153511,0.045503,0.109356,0.216919,0.2991564,0.0881514398299893
-20.7,0.163218323943662,0.153949,0.045526,0.109417,0.217252,0.300034,0.0882065570837672
-20.6,0.163358262910798,0.154107,0.0455694,0.109674,0.217318,0.2999712,0.0882445614542153
-20.5,0.163480370892019,0.154224,0.045454,0.109594,0.217678,0.3001912,0.0882623824928515
-20.4,0.163648798122066,0.153678,0.045319,0.109719,0.21797,0.3004354,0.0882945788504515
-20.3,0.163801431924883,0.153565,0.0451016,0.109621,0.21797,0.3008844,0.088361598200919
-20.2,0.163923699530516,0.153524,0.0450282,0.109393,0.21832,0.3008932,0.0884083136517082
-20.1,0.164070117370892,0.153367,0.0449826,0.109472,0.21832,0.3012104,0.0884461477398269
-20,0.164226046948357,0.154122,0.045006,0.109685,0.21915,0.3010986,0.0884642684027693
-19.9,0.16437961971831,0.153571,0.0449938,0.109999,0.219604,0.301371,0.0884809873289526
-19.8,0.164517915492958,0.153689,0.0449114,0.110151,0.219327,0.3013672,0.0884889345471245
-19.7,0.164678624413146,0.153968,0.0447838,0.11029,0.219065,0.3016028,0.0885096120693724
-19.6,0.164836009389671,0.154414,0.0448686,0.110428,0.219117,0.3016282,0.088536012824844
-19.5,0.165018741784038,0.154583,0.0447882,0.110473,0.218998,0.3014942,0.0885547443586353
-19.4,0.165177661971831,0.15478,0.0446362,0.110587,0.219273,0.301474,0.0885743507156469
-19.3,0.165359389671361,0.154814,0.0444324,0.110577,0.218937,0.3016344,0.088606006532593
-19.2,0.165545079812207,0.154889,0.0442918,0.11104,0.219024,0.3020874,0.0886122382472305
-19.1,0.165696971830986,0.155077,0.044462,0.111228,0.219597,0.302091,0.0886771217991242
-19,0.165860150234742,0.155077,0.044305,0.111342,0.219624,0.3023388,0.0887023258225755
-18.9,0.166041727699531,0.155385,0.0436114,0.111166,0.219295,0.3030042,0.0887574404817724
-18.8,0.166207093896714,0.155809,0.043353,0.111236,0.219389,0.3032586,0.088747030337062
