"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.2,-0.143019629107981,-0.139081,-0.2734356,-0.197668,-0.090178,0.00159739999999989,0.0851982042037056
0.4,-0.144505901408451,-0.141217,-0.2756484,-0.197188,-0.088148,-0.00076560000000007,0.0852200785240538
0.6,-0.144872455399061,-0.141279,-0.2756244,-0.196943,-0.089692,-0.00114800000000007,0.0852255778959698
0.8,-0.145947488262911,-0.14129,-0.2777316,-0.197856,-0.091846,-0.00227500000000006,0.0853256223572773
1,-0.148125070422535,-0.142888,-0.2811328,-0.200633,-0.09445,-0.00527680000000005,0.0857380359195893
1.2,-0.151803417840376,-0.14725,-0.2871246,-0.204897,-0.099244,-0.00868540000000004,0.0865532508949819
1.4,-0.157772061032864,-0.151647,-0.2969336,-0.213908,-0.106406,-0.0142506,0.0877812139263199
1.6,-0.166156431924883,-0.158862,-0.3046284,-0.227001,-0.113975,-0.0227336000000001,0.0895495137114327
1.8,-0.178207976525822,-0.170887,-0.3168042,-0.240636,-0.122763,-0.0360432000000002,0.0919995399547276
2,-0.192954342723005,-0.187548,-0.3356606,-0.260744,-0.136311,-0.0375888000000001,0.0951871336137099
2.2,-0.210923460093897,-0.204515,-0.3574308,-0.283254,-0.152733,-0.0326576,0.0992872230539208
2.4,-0.231010295774648,-0.224109,-0.3859092,-0.306102,-0.169468,-0.0501386000000001,0.10375963451161
2.6,-0.252356877934272,-0.247367,-0.415154,-0.330063,-0.18721,-0.0678936000000002,0.108829659323703
2.8,-0.273710779342723,-0.277329,-0.436814,-0.358735,-0.202766,-0.0874066000000003,0.113874932326733
3,-0.293732685446009,-0.300507,-0.4651868,-0.377958,-0.21955,-0.101435,0.118303938233183
3.2,-0.311856737089202,-0.324988,-0.4904998,-0.401865,-0.234071,-0.1129322,0.122718752859046
3.4,-0.327796849765258,-0.342947,-0.5125144,-0.422218,-0.250158,-0.1200468,0.126240913661277
3.6,-0.341662131455399,-0.36045,-0.5279274,-0.433935,-0.260416,-0.1261094,0.129443753907158
3.8,-0.353564225352113,-0.375673,-0.5423668,-0.443657,-0.2731,-0.1269306,0.132275806079591
4,-0.36373603286385,-0.382695,-0.5539842,-0.460059,-0.284762,-0.1245558,0.134612720748365
