"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
-29.9,-0.152149938967136,-0.147329,-0.2876992,-0.205647,-0.099217,-0.00853900000000008,0.0866252204325711
-29.8,-0.15220182629108,-0.147329,-0.2877564,-0.205708,-0.099185,-0.00860360000000008,0.0866331723783268
-29.7,-0.1522420657277,-0.147579,-0.2877052,-0.20585,-0.099291,-0.00862420000000008,0.0866329097446568
-29.6,-0.152299591549296,-0.147579,-0.2877592,-0.206065,-0.09935,-0.00875860000000008,0.0866310716470393
-29.5,-0.152360704225352,-0.14779,-0.2879116,-0.206277,-0.099367,-0.00880460000000008,0.0866327553737224
-29.4,-0.152410150234742,-0.147658,-0.2882028,-0.206313,-0.099417,-0.00878080000000009,0.0866455817531699
-29.3,-0.152458610328638,-0.14767,-0.288327,-0.20655,-0.099341,-0.00875260000000008,0.0866535537702438
-29.2,-0.152518037558685,-0.14772,-0.2884174,-0.206796,-0.099279,-0.00886180000000009,0.0866554847037072
-29.1,-0.152568408450704,-0.147509,-0.288385,-0.206776,-0.099341,-0.00883460000000009,0.0866743328619466
-29,-0.152629854460094,-0.147619,-0.2886498,-0.206891,-0.099322,-0.00891880000000009,0.0866808073323347
-28.9,-0.152677901408451,-0.147426,-0.2884944,-0.207153,-0.099293,-0.00904840000000009,0.0866878523298993
-28.8,-0.152729924882629,-0.147441,-0.288693,-0.207153,-0.099336,-0.00911360000000009,0.0867108441232143
-28.7,-0.152769164319249,-0.147527,-0.288858,-0.207348,-0.099264,-0.00906000000000009,0.086728233360407
-28.6,-0.152836046948357,-0.147495,-0.2890256,-0.207481,-0.099566,-0.00900480000000009,0.0867434918398681
-28.5,-0.152862028169014,-0.147855,-0.289153,-0.207648,-0.099649,-0.0091732000000001,0.0867422598697459
-28.4,-0.152921276995305,-0.147814,-0.2891408,-0.207675,-0.099701,-0.0090460000000001,0.0867514536969347
-28.3,-0.152984253521127,-0.147884,-0.2892718,-0.207719,-0.100002,-0.00902440000000009,0.0867480257550979
-28.2,-0.153066727699531,-0.148127,-0.2894662,-0.207751,-0.100115,-0.00902780000000009,0.0867480062567425
-28.1,-0.153137272300469,-0.148165,-0.2894774,-0.207644,-0.100005,-0.00917780000000009,0.0867746598471344
-28,-0.153199450704225,-0.148255,-0.2896048,-0.207269,-0.100149,-0.00925840000000009,0.0867917995931451
-27.9,-0.153261511737089,-0.148133,-0.2896644,-0.207431,-0.100245,-0.0094544000000001,0.0867967165359431
-27.8,-0.153313971830986,-0.147946,-0.2899392,-0.207606,-0.100201,-0.00954120000000009,0.0868077845320748
-27.7,-0.153382784037559,-0.147909,-0.290026,-0.207606,-0.100353,-0.00943280000000009,0.086825980196567
-27.6,-0.153451159624413,-0.148088,-0.2900548,-0.207538,-0.100474,-0.00950720000000008,0.0868207225562618
-27.5,-0.153517544600939,-0.147782,-0.2901416,-0.208059,-0.100538,-0.00954860000000009,0.0868393045008571
-27.4,-0.153596441314554,-0.147789,-0.290371,-0.208259,-0.100574,-0.00957460000000009,0.0868586743989457
-27.3,-0.153676220657277,-0.147777,-0.2903364,-0.208583,-0.100826,-0.00971080000000009,0.0868817565478113
-27.2,-0.153730704225352,-0.147793,-0.290587,-0.208713,-0.100994,-0.00985140000000009,0.0868968621890007
-27.1,-0.153791070422535,-0.147548,-0.2906368,-0.208784,-0.101168,-0.00991220000000008,0.0868932990061891
-27,-0.153864267605634,-0.14767,-0.2907194,-0.208913,-0.101341,-0.0100204000000001,0.0869020606963517
-26.9,-0.153928103286385,-0.147861,-0.2909434,-0.209208,-0.101328,-0.0101018000000001,0.086930174478307
-26.8,-0.154008342723005,-0.147832,-0.2910386,-0.209418,-0.101329,-0.0102378000000001,0.0869434007877403
-26.7,-0.154073253521127,-0.147934,-0.2911198,-0.209192,-0.1012,-0.0101648000000001,0.0869507385972924
-26.6,-0.154144276995305,-0.148141,-0.2912786,-0.209145,-0.101261,-0.0102814000000001,0.0869744540631788
-26.5,-0.154189877934272,-0.148316,-0.2912298,-0.209063,-0.10151,-0.0102534000000001,0.086977294707775
-26.4,-0.154254394366197,-0.148657,-0.2913824,-0.208884,-0.101584,-0.0103502000000001,0.0869946583379365
-26.3,-0.15432065258216,-0.148278,-0.291688,-0.208698,-0.101959,-0.0103704000000001,0.0869947490518578
-26.2,-0.154383549295775,-0.14839,-0.2918494,-0.208948,-0.101926,-0.0104512000000001,0.0870174296467877
-26.1,-0.154475145539906,-0.148446,-0.2920182,-0.208873,-0.101907,-0.0104694000000001,0.0870457760391994
-26,-0.154538516431925,-0.148446,-0.2918836,-0.209078,-0.101854,-0.0105194000000001,0.087047019815014
-25.9,-0.154619502347418,-0.148633,-0.291841,-0.209499,-0.10221,-0.0106626000000001,0.087081489103794
-25.8,-0.154703868544601,-0.149066,-0.2919616,-0.209598,-0.102263,-0.0106222000000001,0.0870941228719891
-25.7,-0.154795338028169,-0.149142,-0.2923724,-0.209622,-0.102004,-0.0107074000000001,0.087096752127227
-25.6,-0.154871723004695,-0.149097,-0.2925342,-0.209823,-0.102483,-0.0107928000000001,0.087103583148593
-25.5,-0.154945460093897,-0.148867,-0.2925108,-0.209922,-0.103006,-0.0108800000000001,0.0871327318592675
