"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
0.1,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.9,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0
2.6,0.00138776056338028,0,0,0,0,0,0.0129170606411635
2.7,0.0110181126760563,0,0,0,0,0.1242262,0.0371868923317868
2.8,0.028000765258216,0,0,0,0.000491,0.173788,0.0667053168288235
2.9,0.0361737746478873,0,0,0,0.034405,0.2136826,0.0793805993196811
3,0.0369878028169014,0,0,0,0.036097,0.214843,0.0809442637665785
3.1,0.0383508309859155,0,0,0,0.046631,0.214843,0.081256582002284
3.2,0.0399276009389671,0,0,0,0.047887,0.2209684,0.0826938015798798
3.3,0.0450466713615023,0,0,0,0.063313,0.214843,0.0820982673429215
3.4,0.0582944272300469,0.032901,0,0,0.087435,0.214843,0.0846835124083037
3.5,0.0715817840375587,0.054728,0,0.017323,0.097356,0.2209684,0.0854966714405231
3.6,0.0811407511737089,0.066168,0,0.028742,0.117067,0.2309116,0.0887566792183841
3.7,0.0909326478873239,0.073688,0.006196,0.038468,0.133737,0.238038799999999,0.0897165183556488
3.8,0.10239214084507,0.093379,0.009825,0.044505,0.140198,0.25141,0.0818726223797419
3.9,0.113792018779343,0.10562,0.0122192,0.045459,0.162826,0.2558216,0.0854520816242534
4,0.123208732394366,0.116218,0.0168238,0.064628,0.174812,0.2536052,0.0818242323445022
4.1,0.131819610328639,0.125705,0.0187634,0.074285,0.181202,0.264719,0.0826463073985823
4.2,0.142268178403756,0.142705,0.0168324,0.086928,0.188933,0.274966,0.0842174445918313
4.3,0.154811061032864,0.158751,0.0173022,0.093655,0.224248,0.2832266,0.0864947610126838
4.4,0.170349511737089,0.169545,0.0304714,0.108325,0.226989,0.3024724,0.0844747668014136
4.5,0.187746154929577,0.186057,0.0476242,0.128476,0.248545,0.3224588,0.0856785019771774
4.6,0.207230276995305,0.208617,0.055594,0.148411,0.267669,0.3603896,0.0909438579702635
4.7,0.22125361971831,0.224165,0.0745308,0.160398,0.275822,0.3557962,0.0900255881923168
4.8,0.241271338028169,0.245221,0.0926636,0.177347,0.3042,0.3883622,0.0946013122772498
4.9,0.260247305164319,0.262656,0.1063954,0.195627,0.328731,0.4066994,0.0965077583831245
5,0.281097633802817,0.28901,0.1126694,0.225782,0.345411,0.4351356,0.0988000796523728
5.1,0.301904558685446,0.312548,0.1240286,0.23921,0.367631,0.4505082,0.102182737551654
5.2,0.323439037558685,0.331151,0.1386092,0.261418,0.392531,0.4747366,0.103130044192466
5.3,0.341101286384976,0.350311,0.1544684,0.288379,0.418109,0.4933312,0.104169027934183
5.4,0.356828258215962,0.372047,0.1739562,0.301737,0.426849,0.505901,0.102112799652547
