"parameter","mean_sp","median_sp","quantile05_sp","quantile25_sp","quantile75_sp","quantile95_sp","stdev_sp"
-29.9,0.263559539906103,0.265137,0.1303738,0.203919,0.319339,0.3892514,0.0812805640639163
-29.8,0.263650807511737,0.265258,0.130401,0.20408,0.319537,0.3892386,0.0812814362973643
-29.7,0.263734145539906,0.265149,0.1304656,0.204239,0.319511,0.3892608,0.0812901664515206
-29.6,0.263826971830986,0.265426,0.130477,0.204267,0.319575,0.3893238,0.081296362429418
-29.5,0.263924502347418,0.265571,0.1305838,0.204422,0.319771,0.3893262,0.0812743894300204
-29.4,0.264025929577465,0.265671,0.1308208,0.204503,0.319995,0.3893034,0.0812692691800833
-29.3,0.264121906103286,0.265677,0.1311268,0.204631,0.320044,0.3892136,0.0812563173744902
-29.2,0.264211483568075,0.265984,0.1310654,0.204677,0.320147,0.3893374,0.0812579639915315
-29.1,0.264306061032864,0.265989,0.131182,0.204777,0.320207,0.3895264,0.0812533480909149
-29,0.264414779342723,0.266345,0.131209,0.204826,0.320218,0.3895714,0.0812558094446342
-28.9,0.264495126760563,0.266327,0.131263,0.204969,0.320332,0.3897374,0.0812671288007224
-28.8,0.264585084507042,0.266309,0.1313998,0.20502,0.320518,0.3897668,0.0812731718487285
-28.7,0.264675159624413,0.266268,0.1315834,0.205262,0.32077,0.3897896,0.0812750946666202
-28.6,0.26478744600939,0.266239,0.1316346,0.205546,0.320761,0.3899484,0.0812633182839538
-28.5,0.264868394366197,0.266239,0.131742,0.20565,0.320757,0.3900186,0.0812563793951799
-28.4,0.264963281690141,0.266361,0.1317794,0.205732,0.320738,0.3899458,0.0812708123669933
-28.3,0.265080549295775,0.266654,0.1318588,0.205874,0.320785,0.3901362,0.0812832120835941
-28.2,0.265199342723005,0.266788,0.1319166,0.205956,0.320766,0.390199,0.0812864191695786
-28.1,0.26530934741784,0.266898,0.1320672,0.206126,0.320934,0.3903324,0.0813058190537466
-28,0.26542565258216,0.26699,0.1321204,0.206207,0.321047,0.3904432,0.0813167939809411
-27.9,0.265533103286385,0.266859,0.132169,0.206295,0.320975,0.3904918,0.0813220806797488
-27.8,0.265632234741784,0.266769,0.1323308,0.206369,0.321049,0.390365,0.0813241961629181
-27.7,0.265739976525822,0.266852,0.1324598,0.206379,0.321188,0.390365,0.0813168974924267
-27.6,0.265849816901408,0.268134,0.1326156,0.206465,0.321138,0.390421,0.0813062220415649
-27.5,0.265959384976526,0.26891,0.1327248,0.206669,0.321294,0.3905034,0.081314942941667
-27.4,0.266091938967136,0.269108,0.1328064,0.206741,0.321294,0.390638,0.0813367668693967
-27.3,0.266220431924883,0.269694,0.1328552,0.206963,0.321252,0.3908068,0.0813532344132617
-27.2,0.266326211267606,0.269675,0.132906,0.207121,0.32133,0.3909914,0.0813648139220627
-27.1,0.266443361502347,0.269412,0.1330058,0.207187,0.321383,0.3911254,0.081370225834636
-27,0.266568638497653,0.269598,0.1330852,0.207296,0.321526,0.3913502,0.0813644744230057
-26.9,0.266682535211268,0.269598,0.1331498,0.207489,0.321843,0.3916156,0.0813728231370162
-26.8,0.266813901408451,0.26999,0.133394,0.207584,0.322279,0.3917186,0.0813707484225483
-26.7,0.266935629107981,0.2695,0.1334374,0.207704,0.322847,0.3920092,0.0813809548663103
-26.6,0.267066319248826,0.2695,0.1335364,0.207847,0.323189,0.3923094,0.0813981919454943
-26.5,0.267160849765258,0.2695,0.1335892,0.207975,0.323184,0.3923464,0.081394009972976
-26.4,0.267284145539906,0.2695,0.1337388,0.208058,0.323313,0.3924932,0.0813987777865428
-26.3,0.267400300469484,0.269153,0.133819,0.208161,0.323454,0.3925634,0.0813920067972964
-26.2,0.267519408450704,0.26929,0.1338768,0.208346,0.323543,0.3926522,0.0813983092828776
-26.1,0.26766303286385,0.269478,0.1339498,0.208453,0.323564,0.3927248,0.0814095187628222
-26,0.267778107981221,0.269636,0.1339994,0.208602,0.323781,0.3927978,0.0814001023501766
-25.9,0.267919497652582,0.269912,0.1340774,0.208755,0.323803,0.3931038,0.0814234764698087
-25.8,0.268063737089202,0.270015,0.1341682,0.208954,0.323948,0.3931076,0.0814240835205597
-25.7,0.268216220657277,0.270363,0.1342212,0.209003,0.324082,0.3932148,0.0814278660863332
-25.6,0.268348028169014,0.270518,0.1342284,0.20906,0.324329,0.39349,0.0814348277715308
-25.5,0.268482854460094,0.270619,0.134416,0.209211,0.324499,0.3935126,0.0814606987729146
-25.4,0.268617417840376,0.270753,0.1344766,0.209311,0.324629,0.3936408,0.0814764631923499
-25.3,0.268768877934272,0.270997,0.1345976,0.209329,0.324755,0.3936574,0.0814706256628682
-25.2,0.268913042253521,0.271383,0.1346224,0.209456,0.324788,0.393756,0.0814708163776745
-25.1,0.269053009389671,0.271807,0.1347914,0.209642,0.324867,0.393637,0.081470426040236
-25,0.26921,0.272154,0.134847,0.209756,0.32508,0.3935992,0.0814807248152441
-24.9,0.269376671361502,0.272453,0.1349126,0.209866,0.325593,0.3940508,0.0814772934498193
-24.8,0.26952982629108,0.272728,0.13511,0.209941,0.32573,0.3942948,0.0814767779988673
-24.7,0.269682399061033,0.272873,0.135332,0.209997,0.326102,0.3947394,0.0814858322265721
-24.6,0.269827422535211,0.272957,0.1353724,0.210216,0.326286,0.394806,0.0814928281311363
-24.5,0.269974511737089,0.273006,0.135596,0.210469,0.326832,0.3946488,0.0815138478821425
-24.4,0.27013714084507,0.273372,0.135605,0.210681,0.327364,0.3945876,0.0815270494798369
-24.3,0.270293727699531,0.27349,0.1356474,0.210763,0.327529,0.394628,0.0815470946914231
-24.2,0.270450643192488,0.273527,0.13578,0.210972,0.327644,0.3948532,0.0815435111373436
-24.1,0.270605647887324,0.273418,0.135849,0.211073,0.327741,0.3952286,0.0815516268373192
-24,0.270744295774648,0.27363,0.136206,0.211187,0.327862,0.395316,0.0815410873888869
-23.9,0.270916727699531,0.273594,0.1364612,0.211426,0.327989,0.3953642,0.0815455121186041
-23.8,0.271109079812207,0.273846,0.1366754,0.211594,0.328129,0.3954176,0.0815526101186435
-23.7,0.271285187793427,0.273897,0.136883,0.211868,0.328349,0.3954136,0.081576611279976
-23.6,0.271456807511737,0.273855,0.1370618,0.212073,0.328537,0.3954868,0.0815982958757998
-23.5,0.271641690140845,0.274322,0.1371548,0.212463,0.328629,0.3957236,0.0816057122923512
-23.4,0.271828854460094,0.274598,0.137236,0.212421,0.328708,0.3960568,0.08163514438308
-23.3,0.272006845070423,0.275068,0.1375494,0.21279,0.328906,0.3962272,0.0816434126700427
-23.2,0.27217527230047,0.275182,0.1376322,0.213017,0.328879,0.3962676,0.0816496422576645
-23.1,0.272338835680751,0.275288,0.1377882,0.213293,0.328939,0.3965746,0.0816520453754869
-23,0.272515197183099,0.275463,0.1378516,0.213586,0.329037,0.3966434,0.0816583480451895
-22.9,0.272702248826291,0.275904,0.13797,0.213872,0.329252,0.3970564,0.081673258763681
-22.8,0.272889643192488,0.276094,0.1381366,0.214178,0.329459,0.3970568,0.0816590385186541
-22.7,0.273062591549296,0.276111,0.1382892,0.214416,0.32957,0.397294,0.0816268820321316
-22.6,0.273257704225352,0.276329,0.1384182,0.214487,0.329916,0.3978894,0.0816482857017066
-22.5,0.273443070422535,0.276403,0.1385232,0.214662,0.330215,0.3985126,0.0816587378614968
-22.4,0.27365517370892,0.276824,0.1388812,0.214818,0.330288,0.3987134,0.081690398693551
-22.3,0.273875633802817,0.27726,0.1390562,0.215145,0.33037,0.3990178,0.0817112827112869
-22.2,0.274074197183099,0.277472,0.1391724,0.215509,0.330556,0.399407,0.0817309982667843
