"pdb","vorvol","variable","value"
"132L_A","fvAA","asa",0.88722760242786
"132L_A","fvAA","ddgent",0.704201416207711
"132L_A","fvAA","hbe_mean",0.525791880219366
"132L_A","fvAA","hpshh",0.537992503819034
"132L_A","fvAA","resvol",-0.0764091932280077
"132L_A","fvAA","rsa",0.940084086883271
"132L_A","fvAA","seqent",0.533565173621342
"132L_A","fvCA","asa",0.774000142933019
"132L_A","fvCA","ddgent",0.652236034618411
"132L_A","fvCA","hbe_mean",0.507128624990901
"132L_A","fvCA","hpshh",0.426315638677665
"132L_A","fvCA","resvol",-0.210419065690326
"132L_A","fvCA","rsa",0.869276728673959
"132L_A","fvCA","seqent",0.541562089411643
"132L_A","fvSC","asa",0.871122868116195
"132L_A","fvSC","ddgent",0.714020456333596
"132L_A","fvSC","hbe_mean",0.475003143150269
"132L_A","fvSC","hpshh",0.559722529155297
"132L_A","fvSC","resvol",-0.112892150586626
"132L_A","fvSC","rsa",0.927812196691643
"132L_A","fvSC","seqent",0.557260088609605
"132L_A","mvAA","asa",0.88981884315875
"132L_A","mvAA","ddgent",0.690221872541306
"132L_A","mvAA","hbe_mean",0.534752005789578
"132L_A","mvAA","hpshh",0.48697980962731
"132L_A","mvAA","resvol",0.0583272425897939
"132L_A","mvAA","rsa",0.933809618655484
"132L_A","mvAA","seqent",0.52287744201022
"132L_A","mvCA","asa",0.784746078066101
"132L_A","mvCA","ddgent",0.655754523996853
"132L_A","mvCA","hbe_mean",0.526500252760933
"132L_A","mvCA","hpshh",0.401644090666979
"132L_A","mvCA","resvol",-0.0984714474658284
"132L_A","mvCA","rsa",0.866707754226456
"132L_A","mvCA","seqent",0.534389727709126
"132L_A","mvSC","asa",0.881295770669663
"132L_A","mvSC","ddgent",0.716777340676633
"132L_A","mvSC","hbe_mean",0.477077887616456
"132L_A","mvSC","hpshh",0.52442425706223
"132L_A","mvSC","resvol",0.00884196013912658
"132L_A","mvSC","rsa",0.929282430842359
"132L_A","mvSC","seqent",0.550591271388178
"132L_A","vAA","asa",0.906137677555106
"132L_A","vAA","ddgent",0.709085759244689
"132L_A","vAA","hbe_mean",0.528049227385157
"132L_A","vAA","hpshh",0.494737602260068
"132L_A","vAA","resvol",0.0811666037208711
"132L_A","vAA","rsa",0.945647049933196
"132L_A","vAA","seqent",0.525458107475803
"132L_A","vCA","asa",0.790999059951334
"132L_A","vCA","ddgent",0.658435877261998
"132L_A","vCA","hbe_mean",0.51891909240497
"132L_A","vCA","hpshh",0.411948888448083
"132L_A","vCA","resvol",-0.10520005593183
"132L_A","vCA","rsa",0.877109582136445
"132L_A","vCA","seqent",0.541049103471534
"132L_A","vSC","asa",0.891890576331199
"132L_A","vSC","ddgent",0.734168371361133
"132L_A","vSC","hbe_mean",0.471719442879808
"132L_A","vSC","hpshh",0.529335211226824
"132L_A","vSC","resvol",0.0229815148310632
"132L_A","vSC","rsa",0.936375444849988
"132L_A","vSC","seqent",0.555192409084132
"13PK_A","fvAA","asa",0.887852400649839
"13PK_A","fvAA","ddgent",0.728627050006044
"13PK_A","fvAA","hbe_mean",0.334618248234838
"13PK_A","fvAA","hpshh",0.518841172144635
"13PK_A","fvAA","resvol",-0.0329465984699281
"13PK_A","fvAA","rsa",0.910799512224969
"13PK_A","fvAA","seqent",0.417488705515542
"13PK_A","fvCA","asa",0.795641010471422
"13PK_A","fvCA","ddgent",0.684258606331681
"13PK_A","fvCA","hbe_mean",0.349792431763936
"13PK_A","fvCA","hpshh",0.450781978755486
"13PK_A","fvCA","resvol",-0.114602204148489
"13PK_A","fvCA","rsa",0.831977204061239
"13PK_A","fvCA","seqent",0.384502664327932
"13PK_A","fvSC","asa",0.880629202230381
"13PK_A","fvSC","ddgent",0.72499597050409
"13PK_A","fvSC","hbe_mean",0.270095748211
"13PK_A","fvSC","hpshh",0.549376148940218
"13PK_A","fvSC","resvol",-0.0644362768733783
"13PK_A","fvSC","rsa",0.902597491713347
"13PK_A","fvSC","seqent",0.434859134628448
"13PK_A","mvAA","asa",0.894490627675263
"13PK_A","mvAA","ddgent",0.758499550039623
"13PK_A","mvAA","hbe_mean",0.327671736749244
"13PK_A","mvAA","hpshh",0.424391071198729
