            pdb_namecutoff_distance_best             sp_best          sp_default             sp_diff                nres
              132L_A              14.900              -0.585              -0.562               0.023                 124
              13PK_A              16.400              -0.585              -0.571               0.014                 415
              1A26_A              16.200              -0.708              -0.685               0.023                 351
              1A2T_A              21.200              -0.734              -0.680               0.054                 134
              1A4L_A              12.400              -0.596              -0.560               0.035                 348
              1A65_A              14.900              -0.733              -0.737              -0.004                 504
              1A8H_A              17.500              -0.690              -0.678               0.012                 500
              1A8S_A              38.600              -0.633              -0.602               0.030                 273
              1AF7_A               0.100            Infinity              -0.801            Infinity                 274
              1AGM_A              18.900              -0.760              -0.769              -0.008                 470
              1AGY_A              19.700              -0.834              -0.817               0.018                 197
              1AH7_A              17.200              -0.839              -0.851              -0.012                 245
              1AJ0_A              14.700              -0.595              -0.604              -0.009                 282
              1AK0_A              15.700              -0.718              -0.695               0.024                 264
              1AKO_A              16.800              -0.837              -0.813               0.025                 268
              1AMY_A              21.700              -0.567              -0.579              -0.012                 403
              1AQ2_A              17.400              -0.795              -0.782               0.014                 534
              1AQL_A               0.100            Infinity              -0.550            Infinity                 532
              1AST_A              13.800              -0.492              -0.479               0.013                 200
              1B04_A              17.500              -0.590              -0.573               0.017                 310
              1B2R_A              13.700              -0.771              -0.768               0.004                 295
              1BBS_A              16.100              -0.496              -0.480               0.016                 330
              1BF2_A              23.300              -0.800              -0.841              -0.041                 750
              1BG0_A               0.100            Infinity              -0.742            Infinity                 356
              1BH2_A              16.000              -0.712              -0.714              -0.002                 315
              1BOL_A               0.100            Infinity              -0.638            Infinity                 222
              1BP2_A               6.500              -0.613              -0.644              -0.031                 123
              1BQC_A              31.800              -0.779              -0.741               0.038                 302
              1BS0_A               0.100            Infinity              -0.524            Infinity                 383
              1BS4_A              14.200              -0.724              -0.732              -0.008                 168
              1BS9_A               9.200              -0.796              -0.755               0.040                 207
              1BT1_A              18.500              -0.662              -0.674              -0.012                 336
              1BU7_A              14.800              -0.625              -0.612               0.013                 455
              1BVV_A              11.600              -0.785              -0.791              -0.006                 185
              1BVZ_A              21.500              -0.673              -0.667               0.005                 585
              1BWL_A               0.100            Infinity              -0.648            Infinity                 399
              1BWZ_A               0.100            Infinity              -0.391            Infinity                 274
              1BYA_A              17.000              -0.602              -0.593               0.010                 491
              1BZC_A              10.500              -0.688              -0.657               0.032                 297
              1C82_A              31.600              -0.792              -0.785               0.007                 719
              1CA2_A              32.900              -0.868              -0.839               0.029                 256
              1CB8_A              27.500              -0.809              -0.801               0.009                 674
              1CBX_A              43.400              -0.430              -0.409               0.020                 307
              1CDG_A              18.700              -0.689              -0.694              -0.005                 686
              1CEL_A              18.100              -0.695              -0.677               0.018                 433
              1CHD_A              11.600              -0.757              -0.755               0.002                 198
              1CHK_B              15.800              -0.418              -0.411               0.007                 238
              1CM0_A              16.300              -0.804              -0.816              -0.013                 162
              1CQQ_A              10.200              -0.619              -0.623              -0.004                 180
