                 pdb     free_param_best         sp_cor_best                nres
              132L_A              -2.700              -0.614                 124
              13PK_A              -0.800              -0.597                 415
              1A26_A              -2.600              -0.575                 351
              1A2T_A              -2.700              -0.550                 134
              1A4L_A              -2.700              -0.611                 348
              1A65_A              -2.600              -0.539                 504
              1A8H_A              -2.500              -0.316                 500
              1A8S_A              -3.400              -0.447                 273
              1AF7_A              -1.900              -0.663                 274
              1AGM_A              -3.400              -0.397                 470
              1AGY_A              -3.400              -0.561                 197
              1AH7_A              -2.300              -0.487                 245
              1AJ0_A              -2.600              -0.575                 282
              1AK0_A              -2.400              -0.645                 264
              1AKO_A              -2.300              -0.479                 268
              1AMY_A              -2.500              -0.489                 403
              1AQ2_A              -1.400              -0.649                 534
              1AQL_A              -3.000              -0.530                 532
              1AST_A              -2.700              -0.612                 200
              1B04_A              -3.200              -0.479                 310
              1B2R_A              -1.600              -0.490                 295
              1BBS_A              -2.900              -0.647                 331
              1BF2_A              -1.700              -0.445                 750
              1BG0_A              -2.300              -0.616                 356
              1BH2_A              -1.400              -0.626                 315
              1BOL_A              -2.800              -0.549                 222
              1BP2_A              -2.100              -0.661                 123
              1BQC_A              -0.800              -0.552                 302
              1BS0_A              -2.500              -0.503                 383
              1BS4_A              -3.100              -0.577                 168
              1BS9_A              -2.300              -0.447                 207
              1BT1_A              -2.600              -0.546                 336
              1BU7_A              -2.700              -0.378                 455
              1BVV_A              -1.700              -0.456                 185
              1BVZ_A              -2.700              -0.519                 585
              1BWL_A              -2.900              -0.487                 399
              1BWZ_A              -1.500              -0.619                 274
              1BYA_A              -3.300              -0.561                 491
              1BZC_A              -1.400              -0.654                 297
              1C82_A              -3.000              -0.466                 719
              1CA2_A              -2.700              -0.694                 256
              1CB8_A              -2.900              -0.556                 674
              1CBX_A              -3.500              -0.589                 307
              1CDG_A              -3.100              -0.346                 686
              1CEL_A              -2.900              -0.634                 433
              1CHD_A              -3.400              -0.530                 198
              1CHK_B              -2.800              -0.457                 238
              1CM0_A               1.400               0.447                 162
              1CNS_A              -3.100              -0.618                 243
              1COY_A              -2.400              -0.497                 501
              1CQQ_A              26.300               0.466                 180
              1CVR_A              -2.500              -0.395                 432
              1CWY_A              -1.900              -0.650                 500
              1CZ1_A              -2.200              -0.615                 394
              1CZF_A              -3.500              -0.533                 335
              1D1Q_A              -2.100              -0.590                 159
              1D4C_A              -3.300              -0.484                 570
              1D6O_A              -2.700              -0.497                 107
              1DDJ_A              -2.000              -0.666                 247
              1DGK_N              -2.900              -0.567                 898
              1DGS_A              -2.300              -0.480                 581
              1DIN_A              -2.800              -0.574                 232
              1DNP_A              -2.600              -0.606                 469
              1DVE_A              -2.500              -0.596                 214
              1E0C_A              -3.400              -0.541                 270
              1E1A_A              -0.300              -0.381                 312
              1E6E_A              -1.900              -0.694                 457
              1EB6_A              -2.900              -0.520                 177
              1EH5_A              -2.200              -0.583                 279
              1EUG_A              -2.500              -0.678                 225
              1EUU_A              -3.800              -0.206                 601
              1EX1_A              -2.700              -0.476                 602
              1EXN_A              -1.700              -0.357                 267
              1EXP_A              -0.600              -0.601                 312
              1EYP_A              28.200               0.324                 212
              1FF3_A              -2.500              -0.510                 210
              1FGH_A              -2.400              -0.678                 753
              1FHL_A              -0.900              -0.531                 334
              1FOA_A              -1.800              -0.666                 342
              1G24_A              -1.100              -0.449                 210
              1G6T_A              -1.800              -0.669                 427
              1G8O_A              -3.300              -0.540                 287
              1GA8_A               5.100               0.617                 271
              1GAL_A              -2.400              -0.499                 581
              1GCU_A              -3.100              -0.402                 292
              1GOG_A              -3.500              -0.390                 639
              1GP5_A              -3.500              -0.541                 346
              1GQ8_A              -3.500              -0.581                 318
              1H19_A              -2.600              -0.663                 610
              1H3I_A              -2.600              -0.283                 293
              1HKA_A               1.000               0.526                 158
              1HPL_A              -3.300              -0.654                 449
              1HPM_A               0.300               0.609                 378
              1HQC_A              -1.400              -0.403                 314
              1I1E_A              -3.400              -0.364                1287
              1I1I_P              -1.800              -0.444                 665
              1I9A_A              -2.000              -0.589                 175
              1IDJ_A              -3.000              -0.575                 359
              1IG8_A              -2.300              -0.649                 469
              1IM5_A              -3.000              -0.653                 179
              1INP_A               1.000               0.463                 400
              1IU4_A              -3.300              -0.349                 331
              1J00_A               4.900               0.552                 176
              1J09_A              -1.600              -0.568                 468
