                 pdb     free_param_best         sp_cor_best                nres
              132L_A              -2.400              -0.689                 124
              13PK_A              -0.800              -0.718                 415
              1A26_A              -2.400              -0.704                 351
              1A2T_A              -2.600              -0.650                 134
              1A4L_A              -2.500              -0.762                 348
              1A65_A              -2.800              -0.658                 504
              1A8H_A              -2.500              -0.368                 500
              1A8S_A              -1.600              -0.547                 273
              1AF7_A              -1.900              -0.703                 274
              1AGM_A              -2.600              -0.631                 470
              1AGY_A              -3.500              -0.728                 197
              1AH7_A              -2.300              -0.706                 245
              1AJ0_A              -2.700              -0.611                 282
              1AK0_A              -2.400              -0.757                 264
              1AKO_A              -2.300              -0.545                 268
              1AMY_A              -2.500              -0.581                 403
              1AQ2_A              -1.600              -0.748                 534
              1AQL_A              -3.000              -0.607                 532
              1AST_A              -2.100              -0.673                 200
              1B04_A              -2.300              -0.537                 310
              1B2R_A              -0.800              -0.671                 295
              1BBS_A              -2.900              -0.683                 331
              1BF2_A              -1.600              -0.564                 750
              1BG0_A              -1.600              -0.733                 356
              1BH2_A              -0.900              -0.664                 315
              1BOL_A              -2.800              -0.678                 222
              1BP2_A              -2.300              -0.731                 123
              1BQC_A              -1.800              -0.683                 302
              1BS0_A              -2.500              -0.602                 383
              1BS4_A              -3.300              -0.632                 168
              1BS9_A              -2.300              -0.620                 207
              1BT1_A              -2.200              -0.644                 336
              1BU7_A              -2.700              -0.488                 455
              1BVV_A               8.900               0.571                 185
              1BVZ_A              -2.600              -0.587                 585
              1BWL_A              -2.700              -0.619                 399
              1BWZ_A              -1.700              -0.697                 274
              1BYA_A              -3.100              -0.642                 491
              1BZC_A              -1.700              -0.698                 297
              1C82_A              -2.600              -0.698                 719
              1CA2_A              -2.600              -0.750                 256
              1CB8_A              -2.500              -0.714                 674
              1CBX_A              -3.300              -0.656                 307
              1CDG_A              -2.400              -0.532                 686
              1CEL_A              -2.700              -0.720                 433
              1CHD_A              -3.400              -0.533                 198
              1CHK_B              -2.300              -0.600                 238
              1CM0_A               1.500               0.571                 162
              1CNS_A              -3.100              -0.672                 243
              1COY_A              -2.300              -0.639                 501
              1CQQ_A              10.700               0.456                 180
              1CVR_A              -2.600              -0.504                 432
              1CWY_A              -2.100              -0.692                 500
              1CZ1_A              -2.000              -0.748                 394
              1CZF_A              -3.500              -0.616                 335
              1D1Q_A              -2.000              -0.680                 159
              1D4C_A              -2.900              -0.694                 570
              1D6O_A              -2.200              -0.558                 107
              1DDJ_A              -2.000              -0.707                 247
              1DGK_N              -3.000              -0.586                 898
              1DGS_A              -2.300              -0.520                 581
              1DIN_A              -2.400              -0.651                 232
              1DNP_A              -2.400              -0.692                 469
              1DVE_A              -2.200              -0.702                 214
              1E0C_A              -2.900              -0.635                 270
              1E1A_A              -1.700              -0.596                 312
              1E6E_A              -1.100              -0.769                 457
              1EB6_A              -2.300              -0.669                 177
              1EH5_A              -2.400              -0.751                 279
              1EUG_A              -2.300              -0.716                 225
              1EUU_A              -2.200              -0.499                 601
              1EX1_A              -2.600              -0.615                 602
              1EXN_A              -2.600              -0.408                 267
              1EXP_A              -1.500              -0.664                 312
              1EYP_A              30.000               0.498                 212
              1FF3_A              -2.500              -0.528                 210
              1FGH_A              -1.700              -0.770                 753
              1FHL_A              -1.500              -0.652                 334
              1FOA_A              -1.500              -0.771                 342
              1G24_A              -1.800              -0.633                 210
              1G6T_A              -1.500              -0.763                 427
              1G8O_A              -3.000              -0.649                 287
              1GA8_A              -0.200              -0.741                 271
              1GAL_A              -1.200              -0.626                 581
              1GCU_A              -2.500              -0.574                 292
              1GOG_A              -2.800              -0.676                 639
              1GP5_A              -3.200              -0.669                 346
              1GQ8_A              -3.500              -0.610                 318
              1H19_A              -2.200              -0.790                 610
              1H3I_A              -3.700              -0.366                 293
              1HKA_A              20.500               0.580                 158
              1HPL_A              -3.000              -0.742                 449
              1HPM_A               0.400               0.605                 378
              1HQC_A              30.000               0.440                 314
              1I1E_A              -3.300              -0.441                1287
              1I1I_P              -1.500              -0.593                 665
              1I9A_A              -1.100              -0.654                 175
              1IDJ_A              -3.000              -0.634                 359
              1IG8_A              -1.700              -0.736                 469
              1IM5_A              -3.300              -0.693                 179
              1INP_A              -1.500              -0.637                 400
              1IU4_A              -3.300              -0.341                 331
              1J00_A              -3.700              -0.571                 176
              1J09_A              -1.600              -0.644                 468
              1JH6_A              -0.600              -0.679                 181
              1JMS_A              -1.900              -0.667                 360
              1JOA_A              -2.100              -0.528                 446
              1JS4_A              -2.500              -0.690                 605
              1K30_A               3.200               0.608                 363
              1KL7_A               5.600               0.794                 503
              1KNP_A              -2.800              -0.638                 529
              1L1D_A              -2.900              -0.679                 142
              1L1L_A               0.100               0.717                 717
              1L6P_A              -2.300              -0.530                 121
              1L7N_A              -3.900              -0.717                 207
              1L7Q_A              -3.200              -0.526                 571
              1L8T_A              -1.400              -0.685                 263
              1L9X_A              -0.500              -0.648                 288
              1LBA_A              -0.800              -0.698                 146
              1LDM_A              -1.300              -0.594                 329
              1LJL_A              -4.000              -0.751                 130
              1LVH_A              -0.800              -0.733                 220
              1M53_A              -2.400              -0.709                 556
              1MBB_A              -1.500              -0.762                 340
              1MJ9_A               0.600               0.634                 273
              1MLA_A              -1.600              -0.696                 305
              1MRQ_A              -2.900              -0.612                 323
              1MUD_A              -1.100              -0.597                 225
              1MUG_A              -2.800              -0.690                 165
              1NDH_A              -2.000              -0.590                 270
              1NDI_A              -2.600              -0.716                 596
              1NLU_A              -2.000              -0.665                 368
              1O8A_A              -2.900              -0.685                 574
              1O98_A              -0.800              -0.769                 509
              1OG1_A              -3.300              -0.743                 223
              1OGO_X              -1.900              -0.416                 572
              1OJ4_A              -1.900              -0.778                 277
              1ONR_A              -0.700              -0.820                 316
              1OPM_A              -2.300              -0.506                 310
              1OXA_A              -2.800              -0.447                 403
              1OYG_A              -1.200              -0.694                 440
              1P1X_A              -1.300              -0.689                 250
              1P3D_A              -2.000              -0.698                 449
              1P5D_X              -1.600              -0.730                 454
              1PA9_A              -0.200              -0.607                 279
              1PII_A              -3.000              -0.723                 452
              1PKN_A              -1.800              -0.575                 514
              1PMI_A              -0.500              -0.755                 440
              1PP4_A              -2.700              -0.613                 233
              1PS9_A              -2.400              -0.665                 671
              1PTD_A              -0.200              -0.694                 296
              1PUD_A              -2.200              -0.575                 372
              1PYL_A              -2.300              -0.609                  95
              1Q91_A              -1.400              -0.641                 194
              1QAM_A              -1.400              -0.501                 235
              1QAZ_A              -2.900              -0.285                 351
              1QBA_A              -2.600              -0.673                 858
              1QFM_A              -3.200              -0.643                 705
              1QGX_A              -0.700              -0.742                 354
              1QJE_A              -2.200              -0.577                 327
              1QK2_A              -2.800              -0.699                 363
              1QWN_A              -2.400              -0.665                1014
              1R1J_A              -2.800              -0.646                 696
              1R44_A              -1.900              -0.775                 202
              1R4Z_A              -2.400              -0.629                 179
              1RBN_A              -2.700              -0.691                 124
              1RDD_A              -3.800              -0.561                 155
              1RU4_A              -2.800              -0.574                 400
              1S3I_A              -0.100              -0.631                 307
              1S95_A              -2.000              -0.696                 324
              1SCA_A              -3.200              -0.755                 274
              1SLL_A              -3.000              -0.493                 679
              1SML_A              -2.700              -0.562                 266
              1SNZ_A              -3.000              -0.602                 344
              1TAH_B              -1.800              -0.537                 318
              1TLP_E              -1.900              -0.680                 316
              1U3F_A               0.700               0.579                 164
              1U5U_A              -0.400              -0.366                 366
              1UAS_A              -1.500              -0.667                 362
              1UN1_A              -3.000              -0.601                 267
              1VID_A              -2.700              -0.633                 213
              1VLB_A              -3.400              -0.608                 907
              1VNC_A              -2.800              -0.563                 576
              1VQ1_A              -2.000              -0.702                 263
              1W0H_A              -2.400              -0.714                 194
              1XQW_A              -3.100              -0.690                 290
              1Y9M_A              -2.000              -0.703                 517
              1YON_A              -0.900              -0.695                 292
              1YSC_A              -2.600              -0.729                 421
              1ZE1_A              -1.700              -0.549                 308
              1ZIO_A              -2.600              -0.765                 217
              206L_A              -2.700              -0.621                 162
              2A0N_A              15.800               0.698                 251
              2ABK_A              -1.200              -0.638                 211
              2ACY_A              -2.400              -0.512                  98
              2AYH_A              -1.800              -0.612                 214
              2CPO_A              -2.500              -0.423                 298
              2CPU_A              -2.600              -0.690                 495
              2DLN_A              -1.100              -0.766                 306
              2EBN_A               1.300               0.531                 285
              2ENG_A              -2.700              -0.622                 205
              2F61_A              -2.500              -0.684                 497
              2F9R_A               7.600               0.629                 285
              2NLR_A              -2.500              -0.523                 222
              2NMT_A              -2.500              -0.548                 422
              2PEC_A              -2.100              -0.547                 352
              2PIA_A              -2.400              -0.710                 321
              2PTH_A              -2.400              -0.498                 193
              2SQC_A              -2.700              -0.678                 623
              2THI_A              -2.600              -0.470                 362
              2TPS_A               0.600               0.746                 226
              5EAT_A              -4.100              -0.397                 532
              7ATJ_A              -3.300              -0.718                 305
