"pdb","wcn","variable","value"
"132L_A","wcnAA","asa",-0.879220888966557
"132L_A","wcnAA","ddgent",-0.640648308418568
"132L_A","wcnAA","hbe_mean",-0.540447321023771
"132L_A","wcnAA","hpshh",-0.481166199363055
"132L_A","wcnAA","resvol",-0.0698227384619917
"132L_A","wcnAA","rsa",-0.903891770402267
"132L_A","wcnAA","seqent",-0.539160811667448
"132L_A","wcnC","asa",-0.705185856888883
"132L_A","wcnC","ddgent",-0.498284815106216
"132L_A","wcnC","hbe_mean",-0.53818997385798
"132L_A","wcnC","hpshh",-0.345310144083543
"132L_A","wcnC","resvol",0.051409095857144
"132L_A","wcnC","rsa",-0.757028916233658
"132L_A","wcnC","seqent",-0.462842351252337
"132L_A","wcnCA","asa",-0.745899506817357
"132L_A","wcnCA","ddgent",-0.561277734067663
"132L_A","wcnCA","hbe_mean",-0.518239054765066
"132L_A","wcnCA","hpshh",-0.368564585140564
"132L_A","wcnCA","resvol",0.100243630258987
"132L_A","wcnCA","rsa",-0.816382930031184
"132L_A","wcnCA","seqent",-0.529146570799783
"132L_A","wcnCB","asa",-0.821838917738776
"132L_A","wcnCB","ddgent",-0.671364280094414
"132L_A","wcnCB","hbe_mean",-0.541782209724322
"132L_A","wcnCB","hpshh",-0.456037011022122
"132L_A","wcnCB","resvol",0.0921598231864519
"132L_A","wcnCB","rsa",-0.890347985998886
"132L_A","wcnCB","seqent",-0.578808645247225
"132L_A","wcnN","asa",-0.620292024778338
"132L_A","wcnN","ddgent",-0.466284815106216
"132L_A","wcnN","hbe_mean",-0.476791390277423
"132L_A","wcnN","hpshh",-0.308310712418037
"132L_A","wcnN","resvol",0.106852197822778
"132L_A","wcnN","rsa",-0.68930054945775
"132L_A","wcnN","seqent",-0.4177121771347
"132L_A","wcnO","asa",-0.713246095371358
"132L_A","wcnO","ddgent",-0.506341463414634
"132L_A","wcnO","hbe_mean",-0.53605541126606
"132L_A","wcnO","hpshh",-0.361747322289971
"132L_A","wcnO","resvol",0.0406464812826515
"132L_A","wcnO","rsa",-0.762437614886612
"132L_A","wcnO","seqent",-0.463009150361698
"132L_A","wcnSC","asa",-0.897271415224383
"132L_A","wcnSC","ddgent",-0.725797010228167
"132L_A","wcnSC","hbe_mean",-0.5161737552661
"132L_A","wcnSC","hpshh",-0.525869769277773
"132L_A","wcnSC","resvol",-0.000180061353315547
"132L_A","wcnSC","rsa",-0.943065482473695
"132L_A","wcnSC","seqent",-0.600486235158123
"13PK_A","wcnAA","asa",-0.818081903845991
"13PK_A","wcnAA","ddgent",-0.678879565083075
"13PK_A","wcnAA","hbe_mean",-0.294646022035852
"13PK_A","wcnAA","hpshh",-0.384542270381788
"13PK_A","wcnAA","resvol",-0.155603759572228
"13PK_A","wcnAA","rsa",-0.828529206405109
"13PK_A","wcnAA","seqent",-0.569381975758944
"13PK_A","wcnC","asa",-0.722603804545471
"13PK_A","wcnC","ddgent",-0.590070314703631
"13PK_A","wcnC","hbe_mean",-0.386584384051622
"13PK_A","wcnC","hpshh",-0.27246184192553
"13PK_A","wcnC","resvol",-0.0546122871649145
"13PK_A","wcnC","rsa",-0.749011442775999
"13PK_A","wcnC","seqent",-0.50494614578005
"13PK_A","wcnCA","asa",-0.765579455424958
"13PK_A","wcnCA","ddgent",-0.647362527031202
"13PK_A","wcnCA","hbe_mean",-0.332096480271221
"13PK_A","wcnCA","hpshh",-0.335438479795505
