"pdb","variable","value"
"132L_A","sum.bfSC",3200.2953452379
"132L_A","mean.bfSC",25.8088334293379
"132L_A","median.bfSC",15.681
"132L_A","sd.bfSC",22.2864831446247
"132L_A","r.bfSC.ddgent",0.538015008678886
"132L_A","r.bfSC.hbe",0.425841184693304
"132L_A","r.bfSC.hpshh",0.454661649330991
"132L_A","r.bfSC.mvsphericity",-0.648205583329809
"132L_A","r.bfSC.rsa",0.72082986339306
"132L_A","r.bfSC.seqent",0.492923615338941
"132L_A","r.bfSC.varea",0.696822496967813
"132L_A","r.bfSC.veccentricity",0.656762638494343
"132L_A","r.bfSC.vedge",0.669228433090416
"132L_A","r.bfSC.vnfaces",0.0385659380005515
"132L_A","r.bfSC.vsphericity",-0.531664093885936
"132L_A","r.bfSC.vvolume",0.691510136130103
"132L_A","r.bfSC.wcnSC",-0.730219874461761
"132L_A","r.bfSC.zr4s_JC",0.539365872238691
"132L_A","sum.ddgent",276.434122062
"132L_A","mean.ddgent",2.22930743598387
"132L_A","median.ddgent",2.5059848585
"132L_A","sd.ddgent",0.752119115389037
"132L_A","r.ddgent.hbe",0.331971707879615
"132L_A","r.ddgent.hpshh",0.413785762049493
"132L_A","r.ddgent.mvsphericity",-0.677274586939418
"132L_A","r.ddgent.rsa",0.730665445616754
"132L_A","r.ddgent.seqent",0.597512175566689
"132L_A","r.ddgent.varea",0.731751376868607
"132L_A","r.ddgent.veccentricity",0.674303697875689
"132L_A","r.ddgent.vedge",0.721579858379229
"132L_A","r.ddgent.vnfaces",0.0844529182429517
"132L_A","r.ddgent.vsphericity",-0.574073957513769
"132L_A","r.ddgent.vvolume",0.734168371361133
"132L_A","r.ddgent.wcnSC",-0.725797010228167
"132L_A","r.ddgent.zr4s_JC",0.648270305770445
"132L_A","sum.hbe",-88.975
"132L_A","mean.hbe",-0.717540322580645
"132L_A","median.hbe",-0.75
"132L_A","sd.hbe",0.389691610387495
"132L_A","r.hbe.hpshh",0.291278619113918
"132L_A","r.hbe.mvsphericity",-0.509071139915996
"132L_A","r.hbe.rsa",0.514402423939871
"132L_A","r.hbe.seqent",0.220395321653384
"132L_A","r.hbe.varea",0.478182948781299
"132L_A","r.hbe.veccentricity",0.471927232158668
"132L_A","r.hbe.vedge",0.452505231230124
"132L_A","r.hbe.vnfaces",-0.0445473411239689
"132L_A","r.hbe.vsphericity",-0.293779408760769
"132L_A","r.hbe.vvolume",0.471719442879808
"132L_A","r.hbe.wcnSC",-0.5161737552661
"132L_A","r.hbe.zr4s_JC",0.318728011554309
"132L_A","sum.hpshh",117.2
"132L_A","mean.hpshh",0.945161290322581
"132L_A","median.hpshh",0.74
"132L_A","sd.hpshh",1.2176269629605
"132L_A","r.hpshh.mvsphericity",-0.581714514128875
"132L_A","r.hpshh.rsa",0.543416370639182
"132L_A","r.hpshh.seqent",0.338138897816035
"132L_A","r.hpshh.varea",0.536269251265134
"132L_A","r.hpshh.veccentricity",0.498379788060801
"132L_A","r.hpshh.vedge",0.530206305924399
"132L_A","r.hpshh.vnfaces",0.00772376551105134
"132L_A","r.hpshh.vsphericity",-0.472483657649176
"132L_A","r.hpshh.vvolume",0.529335211226824
"132L_A","r.hpshh.wcnSC",-0.525869769277773
"132L_A","r.hpshh.zr4s_JC",0.347177244466287
"132L_A","sum.mvsphericity",29.4001338202531
"132L_A","mean.mvsphericity",0.237097853389138
"132L_A","median.mvsphericity",0.725323743847582
"132L_A","sd.mvsphericity",0.722244569264584
"132L_A","r.mvsphericity.rsa",-0.912354274464632
"132L_A","r.mvsphericity.seqent",-0.548073548982731
"132L_A","r.mvsphericity.varea",-0.925992132179386
"132L_A","r.mvsphericity.veccentricity",-0.930171518489379
"132L_A","r.mvsphericity.vedge",-0.890228166797797
"132L_A","r.mvsphericity.vnfaces",0.0143206928106544
"132L_A","r.mvsphericity.vsphericity",0.710218725413061
"132L_A","r.mvsphericity.vvolume",-0.909639653815893
"132L_A","r.mvsphericity.wcnSC",0.920774193548387
"132L_A","r.mvsphericity.zr4s_JC",-0.628553174994987
"132L_A","sum.rsa",35.9462974291751
"132L_A","mean.rsa",0.289889495396573
"132L_A","median.rsa",0.227665317139
