                 pdb     free_param_best         sp_cor_best                nres
              132L_A              -1.000              -0.566                 124
              13PK_A              -1.800              -0.572                 415
              1A26_A              -2.600              -0.692                 351
              1A2T_A               2.000               0.722                 134
              1A4L_A              -2.200              -0.561                 348
              1A65_A              -2.400              -0.740                 504
              1A8H_A              -2.300              -0.680                 500
              1A8S_A              28.700               0.662                 273
              1AF7_A              -1.500              -0.810                 274
              1AGM_A              -2.100              -0.769                 470
              1AGY_A              -0.600              -0.832                 197
              1AH7_A              -1.500              -0.855                 245
              1AJ0_A              -1.900              -0.605                 282
              1AK0_A              -1.000              -0.701                 264
              1AKO_A              -1.500              -0.817                 268
              1AMY_A              -1.400              -0.582                 403
              1AQ2_A              -2.400              -0.784                 534
              1AQL_A              -1.900              -0.550                 532
              1AST_A              -1.600              -0.480                 200
              1B04_A              -2.500              -0.580                 310
              1B2R_A              -2.300              -0.771                 295
              1BBS_A              -1.500              -0.492                 331
              1BF2_A              -1.600              -0.845                 750
              1BG0_A              -0.600              -0.768                 356
              1BH2_A              -2.000              -0.714                 315
              1BOL_A              -1.400              -0.642                 222
              1BP2_A              -1.500              -0.655                 123
              1BQC_A               2.200               0.781                 302
              1BS0_A              -3.000              -0.542                 383
              1BS4_A              -1.500              -0.742                 168
              1BS9_A              -2.700              -0.771                 207
              1BT1_A              -1.900              -0.674                 336
              1BU7_A              -2.400              -0.614                 455
              1BVV_A              -1.400              -0.800                 185
              1BVZ_A              -1.100              -0.679                 585
              1BWL_A              -2.000              -0.648                 399
              1BWZ_A              -4.000              -0.480                 274
              1BYA_A              -2.700              -0.603                 491
              1BZC_A              -2.000              -0.657                 297
              1C82_A              -1.200              -0.802                 719
              1CA2_A               3.800               0.871                 256
              1CB8_A              -1.200              -0.816                 674
              1CBX_A               0.300               0.418                 307
              1CDG_A              -1.900              -0.695                 686
              1CEL_A              -1.600              -0.679                 433
              1CHD_A              -2.200              -0.755                 198
              1CHK_B              -1.900              -0.412                 238
              1CM0_A              -1.300              -0.822                 162
              1CNS_A              -2.100              -0.752                 243
              1COY_A              -2.300              -0.745                 501
              1CQQ_A              -3.300              -0.638                 180
