                 pdb     free_param_best         sp_cor_best                nres
              132L_A              -3.100              -0.758                 124
              13PK_A              -3.500              -0.764                 415
              1A26_A              -3.000              -0.749                 351
              1A2T_A              -3.500              -0.806                 134
              1A4L_A              -3.300              -0.759                 348
              1A65_A              -3.100              -0.767                 504
              1A8H_A              -3.300              -0.757                 500
              1A8S_A              -3.100              -0.737                 273
              1AF7_A              -3.400              -0.762                 274
              1AGM_A              -3.500              -0.753                 470
              1AGY_A              -3.400              -0.776                 197
              1AH7_A              -2.800              -0.753                 245
              1AJ0_A              -3.200              -0.733                 282
              1AK0_A              -3.400              -0.766                 264
              1AKO_A              -2.600              -0.819                 268
              1AMY_A              -3.300              -0.744                 403
              1AQ2_A              -3.400              -0.731                 534
              1AQL_A              -3.600              -0.807                 532
              1AST_A              -3.200              -0.787                 200
              1B04_A              -3.300              -0.767                 310
              1B2R_A              -3.400              -0.744                 295
              1BBS_A              -3.300              -0.717                 331
              1BF2_A              -3.300              -0.712                 750
              1BG0_A              -3.200              -0.753                 356
              1BH2_A              -3.600              -0.747                 315
              1BOL_A              -3.100              -0.765                 222
              1BP2_A              -3.200              -0.878                 123
              1BQC_A              -3.100              -0.747                 302
              1BS0_A              -3.400              -0.720                 383
              1BS4_A              -3.300              -0.801                 168
              1BS9_A              -3.300              -0.775                 207
              1BT1_A              -2.700              -0.803                 336
              1BU7_A              -3.100              -0.761                 455
              1BVV_A              -2.900              -0.772                 185
              1BVZ_A              -3.300              -0.741                 585
              1BWL_A              -3.300              -0.771                 399
              1BWZ_A              -3.500              -0.764                 274
              1BYA_A              -3.500              -0.735                 491
              1BZC_A              -2.700              -0.830                 297
              1C82_A              -3.400              -0.764                 719
              1CA2_A              -3.000              -0.808                 256
              1CB8_A              -3.400              -0.749                 674
              1CBX_A              -3.200              -0.721                 307
              1CDG_A              -3.500              -0.685                 686
              1CEL_A              -3.100              -0.777                 433
              1CHD_A              -2.300              -0.811                 198
              1CHK_B              -3.400              -0.741                 238
              1CM0_A              -2.900              -0.785                 162
              1CNS_A              -3.100              -0.758                 243
              1COY_A              -3.700              -0.713                 501
              1CQQ_A              -2.000              -0.789                 180
              1CVR_A              -3.000              -0.773                 432
              1CWY_A              -3.500              -0.753                 500
              1CZ1_A              -2.900              -0.772                 394
              1CZF_A              -3.500              -0.769                 335
              1D1Q_A              -2.700              -0.786                 159
              1D4C_A              -3.600              -0.745                 570
              1D6O_A              -2.700              -0.789                 107
              1DDJ_A              -2.900              -0.824                 247
              1DGK_N              -3.300              -0.741                 898
              1DGS_A              -3.500              -0.736                 581
              1DIN_A              -3.200              -0.787                 232
