"pdb","hps","variable","value"
"132L_A","hpshh","asa",0.586020131630517
"132L_A","hpshh","bfAA",0.426858494793545
"132L_A","hpshh","bfC",0.181240305895848
"132L_A","hpshh","bfCA",0.0747704910876662
"132L_A","hpshh","bfCB",0.312638662368523
"132L_A","hpshh","bfN",0.111133480214282
"132L_A","hpshh","bfO",0.32971074848091
"132L_A","hpshh","bfSC",0.454661649330991
"132L_A","hpshh","ddgent",0.413785762049493
"132L_A","hpshh","hbe_mean",0.291278619113918
"132L_A","hpshh","resvol",-0.0107807618053413
"132L_A","hpshh","rsa",0.543416370639182
"132L_A","hpshh","seqent",0.338138897816035
"132L_A","hpshh","sizeAA",0.233605966813556
"132L_A","hpshh","sizeSC",0.233605966813556
"132L_A","hpshh","VAAarea",0.509246378799037
"132L_A","hpshh","VAAeccentricity",0.551630185660427
"132L_A","hpshh","VAAedge_length_total",0.49708892671548
"132L_A","hpshh","VAAfree_volume",0.537992503819034
"132L_A","hpshh","VAAmodified_volume",0.489589937579829
"132L_A","hpshh","VAAnfaces",0.0118096748078587
"132L_A","hpshh","VAAvolume",0.494737602260068
"132L_A","hpshh","VCAarea",0.411254537602189
"132L_A","hpshh","VCAeccentricity",0.465142475523955
"132L_A","hpshh","VCAedge_length_total",0.396297589153598
"132L_A","hpshh","VCAfree_volume",0.426315638677665
"132L_A","hpshh","VCAmodified_volume",0.40171036961136
"132L_A","hpshh","VCAnfaces",-0.146328389081571
"132L_A","hpshh","VCAvolume",0.411948888448083
"132L_A","hpshh","VSCarea",0.536269251265134
"132L_A","hpshh","VSCeccentricity",0.498379788060801
"132L_A","hpshh","VSCedge_length_total",0.530206305924399
"132L_A","hpshh","VSCfree_volume",0.559722529155297
"132L_A","hpshh","VSCmodified_volume",0.526762956956809
"132L_A","hpshh","VSCnfaces",0.00772376551105134
"132L_A","hpshh","VSCvolume",0.529335211226824
"132L_A","hpshh","wcnAA",-0.481166199363055
"132L_A","hpshh","wcnC",-0.345310144083543
"132L_A","hpshh","wcnCA",-0.368564585140564
"132L_A","hpshh","wcnCB",-0.456037011022122
"132L_A","hpshh","wcnN",-0.308310712418037
"132L_A","hpshh","wcnO",-0.361747322289971
"132L_A","hpshh","wcnSC",-0.525869769277773
"132L_A","hpskd","asa",-0.619187140464083
"132L_A","hpskd","bfAA",-0.421680351625121
"132L_A","hpskd","bfC",-0.165171451367218
"132L_A","hpskd","bfCA",-0.0674453335754044
"132L_A","hpskd","bfCB",-0.255237176521104
"132L_A","hpskd","bfN",-0.0995534434488019
"132L_A","hpskd","bfO",-0.277995229648313
"132L_A","hpskd","bfSC",-0.457019643249604
"132L_A","hpskd","ddgent",-0.435291119721694
"132L_A","hpskd","hbe_mean",-0.194410542762792
"132L_A","hpskd","resvol",-0.214479829410826
"132L_A","hpskd","rsa",-0.52441102828846
"132L_A","hpskd","seqent",-0.332503288851693
"132L_A","hpskd","sizeAA",-0.442351865158491
"132L_A","hpskd","sizeSC",-0.442351865158491
"132L_A","hpskd","VAAarea",-0.490279129750588
"132L_A","hpskd","VAAeccentricity",-0.50574965596464
"132L_A","hpskd","VAAedge_length_total",-0.488175416990782
"132L_A","hpskd","VAAfree_volume",-0.486125564346815
"132L_A","hpskd","VAAmodified_volume",-0.476075900379792
"132L_A","hpskd","VAAnfaces",-0.13210244493879
"132L_A","hpskd","VAAvolume",-0.482063877964178
"132L_A","hpskd","VCAarea",-0.348592174432419
"132L_A","hpskd","VCAeccentricity",-0.402772282723736
"132L_A","hpskd","VCAedge_length_total",-0.335782971589205
"132L_A","hpskd","VCAfree_volume",-0.338605875307558
"132L_A","hpskd","VCAmodified_volume",-0.33553584870477
"132L_A","hpskd","VCAnfaces",0.0925457586716928
"132L_A","hpskd","VCAvolume",-0.347705066642139
"132L_A","hpskd","VSCarea",-0.520085951503977
"132L_A","hpskd","VSCeccentricity",-0.463314221168201
"132L_A","hpskd","VSCedge_length_total",-0.520884348515229
"132L_A","hpskd","VSCfree_volume",-0.511256060748589
"132L_A","hpskd","VSCmodified_volume",-0.510755478495502
"132L_A","hpskd","VSCnfaces",-0.0894836722355911
"132L_A","hpskd","VSCvolume",-0.514376779225107
"132L_A","hpskd","wcnAA",0.461245359071584
"132L_A","hpskd","wcnC",0.28367806187872
"132L_A","hpskd","wcnCA",0.302608308474862
"132L_A","hpskd","wcnCB",0.39974977975257
"132L_A","hpskd","wcnN",0.23389864187561
"132L_A","hpskd","wcnO",0.303584127044169
"132L_A","hpskd","wcnSC",0.498579924073917
"132L_A","hpsww","asa",-0.481928449220672
"132L_A","hpsww","bfAA",-0.348283228160052
"132L_A","hpsww","bfC",-0.0955699567656118
