                 pdb     free_param_best         sp_cor_best                nres
              132L_A               3.800              -0.664                 124
              13PK_A              13.000              -0.715                 415
              1A26_A               3.800              -0.706                 351
              1A2T_A               2.400              -0.646                 134
              1A4L_A               3.400              -0.764                 348
              1A65_A               2.800              -0.657                 504
              1A8H_A               4.400              -0.366                 500
              1A8S_A               9.600              -0.544                 273
              1AF7_A               6.400              -0.701                 274
              1AGM_A               3.000              -0.630                 470
              1AGY_A               1.800              -0.723                 197
              1AH7_A               4.600              -0.708                 245
              1AJ0_A              24.000              -0.602                 282
              1AK0_A               3.800              -0.758                 264
              1AKO_A               4.600              -0.543                 268
              1AMY_A               5.000              -0.574                 403
              1AQ2_A               8.800              -0.741                 534
              1AQL_A               2.800              -0.602                 532
              1AST_A               4.800              -0.671                 200
              1B04_A               4.400              -0.525                 310
              1B2R_A              10.800              -0.668                 295
              1BBS_A               2.800              -0.674                 331
              1BF2_A              11.600              -0.556                 750
              1BG0_A               8.800              -0.727                 356
              1BH2_A              14.600              -0.660                 315
              1BOL_A               2.800              -0.661                 222
              1BP2_A               3.400              -0.720                 123
              1BQC_A              21.200              -0.681                 302
              1BS0_A               3.800              -0.590                 383
              1BS4_A               2.000              -0.618                 168
              1BS9_A               3.000              -0.620                 207
              1BT1_A               3.600              -0.639                 336
              1BU7_A               2.800              -0.496                 455
              1BVV_A              19.400              -0.553                 185
              1BVZ_A               4.000              -0.590                 585
              1BWL_A               3.400              -0.622                 399
              1BWZ_A               6.400              -0.690                 274
              1BYA_A               2.400              -0.645                 491
              1BZC_A               6.000              -0.696                 297
              1C82_A               3.800              -0.698                 719
              1CA2_A               2.600              -0.747                 256
              1CB8_A               3.600              -0.713                 674
              1CBX_A               1.600              -0.645                 307
              1CDG_A               4.200              -0.529                 686
              1CEL_A               2.800              -0.703                 433
              1CHD_A               1.800              -0.540                 198
              1CHK_B               3.600              -0.608                 238
              1CM0_A              46.600              -0.566                 162
              1CNS_A               2.600              -0.670                 243
              1COY_A               4.200              -0.635                 501
              1CQQ_A              49.800              -0.440                 180
              1CVR_A               3.400              -0.504                 432
              1CWY_A               5.800              -0.681                 500
              1CZ1_A               5.000              -0.749                 394
              1CZF_A               1.600              -0.611                 335
              1D1Q_A               2.800              -0.682                 159
              1D4C_A               3.400              -0.699                 570
              1D6O_A               2.800              -0.559                 107
              1DDJ_A               4.200              -0.704                 247
              1DGK_N               3.600              -0.590                 898
              1DGS_A               4.600              -0.496                 581
              1DIN_A               3.600              -0.643                 232
              1DNP_A               4.600              -0.695                 469
              1DVE_A               3.600              -0.700                 214
              1E0C_A               2.200              -0.640                 270
              1E1A_A               4.800              -0.597                 312
              1E6E_A              10.600              -0.763                 457
              1EB6_A               4.400              -0.664                 177
              1EH5_A               3.400              -0.745                 279
              1EUG_A               3.400              -0.715                 225
              1EUU_A               9.200              -0.485                 601
              1EX1_A               4.200              -0.616                 602
              1EXN_A               4.000              -0.409                 267
              1EXP_A               6.000              -0.664                 312
              1EYP_A               5.200              -0.471                 212
              1FF3_A               3.600              -0.520                 210
              1FGH_A               9.600              -0.765                 753
              1FHL_A               6.600              -0.654                 334
              1FOA_A               7.200              -0.768                 342
              1G24_A               4.000              -0.630                 210
              1G6T_A               8.600              -0.758                 427
              1G8O_A               2.600              -0.650                 287
              1GA8_A              49.200              -0.740                 271
              1GAL_A              11.400              -0.622                 581
              1GCU_A               3.800              -0.566                 292
              1GOG_A               2.800              -0.679                 639
              1GP5_A               2.400              -0.659                 346
              1GQ8_A               2.200              -0.609                 318
              1H19_A               5.600              -0.775                 610
              1H3I_A               2.200              -0.372                 293
              1HKA_A              49.600              -0.552                 158
              1HPL_A               2.400              -0.722                 449
              1HPM_A              34.200              -0.605                 378
              1HQC_A               8.600              -0.395                 314
              1I1E_A               2.400              -0.466                1287
              1I1I_P              18.400              -0.583                 665
              1I9A_A               4.400              -0.652                 175
              1IDJ_A               2.400              -0.635                 359
              1IG8_A               8.600              -0.728                 469
              1IM5_A               1.600              -0.687                 179
              1INP_A               6.600              -0.641                 400
              1IU4_A               2.200              -0.347                 331
              1J00_A              48.200              -0.566                 176
              1J09_A               9.400              -0.637                 468
              1JH6_A              12.200              -0.675                 181
              1JMS_A               5.000              -0.665                 360
              1JOA_A               6.000              -0.529                 446
              1JS4_A               4.600              -0.684                 605
              1K30_A              48.200              -0.600                 363
              1KL7_A              49.600              -0.785                 503
              1KNP_A               3.200              -0.633                 529
              1L1D_A               2.200              -0.683                 142
              1L1L_A              36.200              -0.715                 717
              1L6P_A               3.000              -0.514                 121
              1L7N_A               1.400              -0.705                 207
              1L7Q_A               2.800              -0.539                 571
              1L8T_A               7.200              -0.683                 263
              1L9X_A              16.200              -0.648                 288
              1LBA_A               8.000              -0.695                 146
              1LDM_A              11.800              -0.590                 329
              1LJL_A               1.400              -0.747                 130
              1LVH_A              11.200              -0.732                 220
              1M53_A               4.600              -0.705                 556
              1MBB_A               7.000              -0.758                 340
              1MJ9_A              47.200              -0.634                 273
              1MLA_A               6.600              -0.689                 305
              1MRQ_A               3.400              -0.612                 323
              1MUD_A              11.200              -0.592                 225
              1MUG_A               2.600              -0.683                 165
              1NDH_A               5.000              -0.580                 270
              1NDI_A               3.800              -0.713                 596
              1NLU_A               4.200              -0.664                 368
