pdb	pdb_asa	nres	nchain	sum.nssb	mean.nssb	sum.nhbon	mean.nhbon	sum.nhbps	mean.nhbps	sum.nhbas	mean.nhbas
1AJ8_A	18339.7	371	1	0	0.0	251	0.676549865229	0	0.0	10	0.0269541778976	
1AOR_A	20011.0	605	1	0	0.0	442	0.730578512397	13	0.0214876033058	61	0.100826446281	
1CTS_A	20889.2	437	1	0	0.0	305	0.697940503432	0	0.0	10	0.0228832951945	
1MP9_A	12521.8	193	1	0	0.0	135	0.699481865285	0	0.0	56	0.290155440415	
1RD8_X	24556.2	502	1	0	0.0	316	0.629482071713	23	0.0458167330677	104	0.207171314741	
2FP7_B	8337.8	147	2	0	0.0	87	0.591836734694	0	0.0	54	0.367346938776	
2JLY_A	21033.3	451	1	0	0.0	284	0.629711751663	53	0.117516629712	18	0.039911308204	
2Z83_A	20389.8	426	4	0	0.0	279	0.654929577465	54	0.12676056338	17	0.0399061032864	
3GOL_A	23622.1	557	3	0	0.0	377	0.67684021544	10	0.0179533213645	58	0.104129263914	
3GSZ_A	23454.4	558	2	0	0.0	383	0.686379928315	9	0.0161290322581	58	0.10394265233	
3I5K_A	23462.6	566	1	0	0.0	398	0.703180212014	14	0.0247349823322	63	0.111307420495	
3LYF_A	11479.6	244	2	0	0.0	169	0.69262295082	0	0.0	4	0.016393442623	
4AQF_B	22392.8	474	1	0	0.0	344	0.725738396624	2	0.0042194092827	6	0.0126582278481	
4GHA_A	6896.3	122	1	0	0.0	90	0.737704918033	5	0.0409836065574	10	0.0819672131148	
4IRY_A	20219.5	404	5	0	0.0	284	0.70297029703	4	0.00990099009901	20	0.049504950495	
