"pdb","bf","variable","value"
"132L_A","bfAA","asa",0.721772316391102
"132L_A","bfAA","ddgent",0.505007081038552
"132L_A","bfAA","hbe_mean",0.465929677973406
"132L_A","bfAA","hpshh",0.426858494793545
"132L_A","bfAA","resvol",0.180345660715518
"132L_A","bfAA","rsa",0.716945359045406
"132L_A","bfAA","seqent",0.49769077649673
"132L_A","bfAA","sizeAA",0.227666867819209
"132L_A","bfAA","sizeSC",0.227666867819209
"132L_A","bfAA","VAAarea",0.722952006294257
"132L_A","bfAA","VAAeccentricity",0.69110936270653
"132L_A","bfAA","VAAedge_length_total",0.701998426435877
"132L_A","bfAA","VAAfree_volume",0.68218410700236
"132L_A","bfAA","VAAmodified_volume",0.712805664830842
"132L_A","bfAA","VAAnfaces",0.0212882792600452
"132L_A","bfAA","VAAvolume",0.711937057435091
"132L_A","bfAA","VCAarea",0.679313926042486
"132L_A","bfAA","VCAeccentricity",0.650706530291109
"132L_A","bfAA","VCAedge_length_total",0.645740361919748
"132L_A","bfAA","VCAfree_volume",0.634360346184107
"132L_A","bfAA","VCAmodified_volume",0.653306058221873
"132L_A","bfAA","VCAnfaces",-0.0880158553945046
"132L_A","bfAA","VCAvolume",0.662527143981117
"132L_A","bfAA","VSCarea",0.680509834775767
"132L_A","bfAA","VSCeccentricity",0.66069551534225
"132L_A","bfAA","VSCedge_length_total",0.652733280881196
"132L_A","bfAA","VSCfree_volume",0.645463414634146
"132L_A","bfAA","VSCmodified_volume",0.668084972462628
"132L_A","bfAA","VSCnfaces",0.016798233172382
"132L_A","bfAA","VSCvolume",0.670042486231314
"132L_A","bfAA","wcnAA",-0.8132871754524
"132L_A","bfAA","wcnC",-0.755688434303698
"132L_A","bfAA","wcnCA",-0.75120692368214
"132L_A","bfAA","wcnCB",-0.760484657749803
"132L_A","bfAA","wcnN",-0.65963808025177
"132L_A","bfAA","wcnO",-0.757450826121165
"132L_A","bfAA","wcnSC",-0.75458064516129
"132L_A","bfC","asa",0.389004634088946
"132L_A","bfC","ddgent",0.256236270317254
"132L_A","bfC","hbe_mean",0.426769645592405
"132L_A","bfC","hpshh",0.181240305895848
"132L_A","bfC","resvol",-0.0249362802129371
"132L_A","bfC","rsa",0.431805503048012
"132L_A","bfC","seqent",0.259549216366636
"132L_A","bfC","sizeAA",-0.00911405900529924
"132L_A","bfC","sizeSC",-0.00911405900529924
"132L_A","bfC","VAAarea",0.442893201632667
"132L_A","bfC","VAAeccentricity",0.443944382165805
"132L_A","bfC","VAAedge_length_total",0.420393532077567
"132L_A","bfC","VAAfree_volume",0.433146177347852
"132L_A","bfC","VAAmodified_volume",0.434600205510456
"132L_A","bfC","VAAnfaces",0.0149700789384349
"132L_A","bfC","VAAvolume",0.430408072366325
"132L_A","bfC","VCAarea",0.44648735782681
"132L_A","bfC","VCAeccentricity",0.411792105739045
"132L_A","bfC","VCAedge_length_total",0.412261045557721
"132L_A","bfC","VCAfree_volume",0.428264797087681
"132L_A","bfC","VCAmodified_volume",0.430681882864477
"132L_A","bfC","VCAnfaces",-0.0660890903364101
"132L_A","bfC","VCAvolume",0.434710359159138
"132L_A","bfC","VSCarea",0.398885245360606
"132L_A","bfC","VSCeccentricity",0.430131114621067
"132L_A","bfC","VSCedge_length_total",0.368791268540649
"132L_A","bfC","VSCfree_volume",0.39554916342909
"132L_A","bfC","VSCmodified_volume",0.384250546321409
