pdb,nres,r.rsa.seqent,r.seqent.wcnSC,r.bfSC.seqent,sd.seqent,mean.seqent,median.seqent,sd.wcnCA,mean.wcnCA,median.wcnCA,sd.rsa,mean.rsa,median.rsa
1RD8_AB,503,0.283786717,-0.182052058,0.262158919,0.333525466,6.50E-05,7.36E-06,0.176750761,1.047643479,1.0496,0.249661236,0.255933867,0.19923
2FP7_B,147,0.314851174,-0.319156342,0.173391182,0.022423385,8.73E-05,0,0.185613277,0.829125578,0.80082,0.28397699,0.303494932,0.22214
2Z83_A,426,0.181245767,-0.182239164,0.087254703,0.101710072,0.000128377,0,0.212355008,1.154089812,1.1553,0.246971386,0.226703884,0.14749
2JLY_A,451,0.293002983,-0.297543558,0.09335525,0.359259945,7.28E-05,1.57E-06,0.22734428,1.193984701,1.2059,0.244890202,0.216116524,0.113
3GOL_A,557,0.335916433,-0.23594339,0.128261462,0.330624286,0.00023197,3.48E-05,0.222275967,1.306659838,1.308,0.241154831,0.204851714,0.093065
3LYF_A,244,0.208289284,-0.196253803,0.026898911,0.152384249,0.000109633,0,0.17718324,1.005135287,0.990165,0.255602598,0.237668307,0.14962
4AQF_B,474,0.354001828,-0.334697809,0.131914527,0.168386761,0.001570516,0,0.234517625,1.187238397,1.1794,0.234878455,0.225162127,0.14814
4GHA_A,122,-0.021006635,-0.030201617,0.033678756,0.126506451,0.000333418,0,0.134510352,0.766569672,0.754365,0.267981686,0.299598316,0.267455
4IRY_A,404,0.16446005,-0.178286677,0.115755342,0.150939806,3.79E-05,0,0.231561062,1.155829134,1.1595,0.252417768,0.227492687,0.12812
