                      pdb                     nres          radius_gyration
                   132L_A                      124              0.14131E+02
                   13PK_A                      415              0.21796E+02
                   1A26_A                      351              0.21224E+02
                   1A2T_A                      134              0.14325E+02
                   1A4L_A                      348              0.19046E+02
                   1A65_A                      504              0.22147E+02
                   1A8H_A                      500              0.26533E+02
                   1A8S_A                      273              0.17156E+02
                   1AF7_A                      274              0.21031E+02
                   1AGM_A                      470              0.21238E+02
                   1AGY_A                      197              0.15459E+02
                   1AH7_A                      245              0.17994E+02
                   1AJ0_A                      282              0.18107E+02
                   1AK0_A                      264              0.17978E+02
                   1AKO_A                      268              0.17778E+02
                   1AMY_A                      403              0.22028E+02
                   1AQ2_A                      534              0.23455E+02
                   1AQL_A                      532              0.23295E+02
                   1AST_A                      200              0.16892E+02
                   1B04_A                      310              0.21025E+02
                   1B2R_A                      295              0.19596E+02
                   1BBS_A                      331              0.20210E+02
                   1BF2_A                      750              0.27730E+02
                   1BG0_A                      356              0.20401E+02
                   1BH2_A                      315              0.20787E+02
                   1BOL_A                      222              0.17868E+02
                   1BP2_A                      123              0.14753E+02
                   1BQC_A                      302              0.17571E+02
                   1BS0_A                      383              0.21678E+02
                   1BS4_A                      168              0.16266E+02
                   1BS9_A                      207              0.15663E+02
                   1BT1_A                      336              0.19010E+02
                   1BU7_A                      455              0.22362E+02
                   1BVV_A                      185              0.15392E+02
                   1BVZ_A                      585              0.26365E+02
                   1BWL_A                      399              0.20449E+02
                   1BWZ_A                      274              0.19022E+02
                   1BYA_A                      491              0.22208E+02
                   1BZC_A                      297              0.19089E+02
                   1C82_A                      719              0.27427E+02
                   1CA2_A                      256              0.17641E+02
                   1CB8_A                      674              0.27814E+02
                   1CBX_A                      307              0.18329E+02
                   1CDG_A                      686              0.25860E+02
                   1CEL_A                      433              0.20954E+02
                   1CHD_A                      198              0.15341E+02
                   1CHK_B                      238              0.18653E+02
                   1CM0_A                      162              0.15596E+02
                   1CNS_A                      243              0.17335E+02
                   1COY_A                      501              0.22077E+02
                   1CQQ_A                      180              0.15311E+02
                   1CVR_A                      432              0.21576E+02
                   1CWY_A                      500              0.23134E+02
                   1CZ1_A                      394              0.20185E+02
                   1CZF_A                      335              0.20160E+02
                   1D1Q_A                      159              0.15020E+02
                   1D4C_A                      570              0.24313E+02
                   1D6O_A                      107              0.13563E+02
                   1DDJ_A                      247              0.17080E+02
                   1DGK_N                      898              0.39560E+02
                   1DGS_A                      581              0.30299E+02
                   1DIN_A                      232              0.16522E+02
                   1DNP_A                      469              0.23801E+02
                   1DVE_A                      214              0.17070E+02
                   1E0C_A                      270              0.18240E+02
                   1E1A_A                      312              0.18060E+02
                   1E6E_A                      457              0.23771E+02
                   1EB6_A                      177              0.15268E+02
                   1EH5_A                      279              0.18421E+02
                   1EUG_A                      225              0.17167E+02
                   1EUU_A                      601              0.27142E+02
                   1EX1_A                      602              0.25066E+02
                   1EXN_A                      267              0.19708E+02
                   1EXP_A                      312              0.18846E+02
                   1EYP_A                      212              0.16572E+02
                   1FF3_A                      210              0.16696E+02
                   1FGH_A                      753              0.25304E+02
                   1FHL_A                      334              0.19214E+02
                   1FOA_A                      342              0.20372E+02
                   1G24_A                      210              0.17595E+02
                   1G6T_A                      427              0.21265E+02
                   1G8O_A                      287              0.18376E+02
                   1GA8_A                      271              0.17972E+02
                   1GAL_A                      581              0.23046E+02
                   1GCU_A                      292              0.20115E+02
                   1GOG_A                      639              0.24992E+02
