                      pdb                   natoms                     nres            contact_order          contact_orderSC          contact_orderAA
                   132L_A                      956                      124                  0.14966                  0.22192                  0.21174
                   13PK_A                     3127                      415                  0.09305                  0.14363                  0.13384
                   1A26_A                     2770                      351                  0.10308                  0.15592                  0.14902
                   1A2T_A                     1076                      134                  0.14194                  0.20902                  0.19765
                   1A4L_A                     2782                      348                  0.10839                  0.15880                  0.14842
                   1A65_A                     3853                      504                  0.10593                  0.15300                  0.14452
                   1A8H_A                     4101                      500                  0.07895                  0.12608                  0.11931
                   1A8S_A                     2085                      273                  0.11841                  0.18650                  0.17578
                   1AF7_A                     2224                      274                  0.08569                  0.13432                  0.12690
                   1AGM_A                     3562                      470                  0.10241                  0.16024                  0.14827
                   1AGY_A                     1446                      197                  0.11434                  0.18142                  0.17167
                   1AH7_A                     2013                      245                  0.12006                  0.19761                  0.18497
                   1AJ0_A                     2147                      282                  0.09265                  0.13939                  0.13265
                   1AK0_A                     2022                      264                  0.12826                  0.20791                  0.20098
                   1AKO_A                     2183                      268                  0.11324                  0.16922                  0.16012
                   1AMY_A                     3184                      403                  0.07191                  0.11311                  0.10601
                   1AQ2_A                     4156                      534                  0.08057                  0.12212                  0.11552
                   1AQL_A                     4166                      532                  0.07439                  0.11784                  0.11041
                   1AST_A                     1591                      200                  0.13745                  0.18628                  0.18367
                   1B04_A                     2465                      310                  0.11649                  0.16762                  0.16255
                   1B2R_A                     2334                      295                  0.09656                  0.14228                  0.13605
                   1BBS_A                     2557                      331                  0.11673                  0.15776                  0.15082
                   1BF2_A                     5735                      750                  0.06359                  0.09156                  0.08701
                   1BG0_A                     2817                      356                  0.10675                  0.15863                  0.14731
                   1BH2_A                     2537                      315                  0.11344                  0.17274                  0.16336
                   1BOL_A                     1688                      222                  0.13673                  0.19658                  0.19104
                   1BP2_A                      957                      123                  0.16871                  0.23752                  0.23503
                   1BQC_A                     2339                      302                  0.11731                  0.17157                  0.16372
                   1BS0_A                     2919                      383                  0.11230                  0.16670                  0.15988
                   1BS4_A                     1346                      168                  0.13049                  0.19425                  0.18524
                   1BS9_A                     1442                      207                  0.11042                  0.17120                  0.16147
                   1BT1_A                     2667                      336                  0.15154                  0.21447                  0.20659
                   1BU7_A                     3671                      455                  0.11961                  0.19233                  0.18179
