                 pdb     free_param_best         sp_cor_best                nres
              132L_A              10.800              -0.578                 124
              13PK_A              10.400              -0.711                 415
              1A26_A              10.400              -0.679                 351
              1A2T_A               7.500              -0.713                 134
              1A4L_A              10.800              -0.693                 348
              1A65_A              12.100              -0.684                 504
              1A8H_A              11.300              -0.700                 500
              1A8S_A              11.100              -0.693                 273
              1AF7_A              10.300              -0.708                 274
              1AGM_A              10.700              -0.641                 470
              1AGY_A              10.800              -0.709                 197
              1AH7_A              11.100              -0.696                 245
              1AJ0_A               9.700              -0.669                 282
              1AK0_A               9.800              -0.643                 264
              1AKO_A              11.500              -0.752                 268
              1AMY_A              11.900              -0.637                 403
              1AQ2_A              10.900              -0.675                 534
              1AQL_A               9.000              -0.676                 532
              1AST_A              10.800              -0.634                 200
              1B04_A               9.400              -0.682                 310
              1B2R_A              11.100              -0.659                 295
              1BBS_A               9.600              -0.599                 331
              1BF2_A              11.200              -0.586                 750
              1BG0_A              10.000              -0.662                 356
              1BH2_A              10.900              -0.677                 315
              1BOL_A              11.200              -0.564                 222
              1BP2_A               8.900              -0.727                 123
              1BQC_A               9.600              -0.640                 302
              1BS0_A              11.000              -0.666                 383
              1BS4_A              10.700              -0.661                 168
              1BS9_A              10.200              -0.621                 207
              1BT1_A              10.300              -0.686                 336
              1BU7_A              11.300              -0.722                 455
              1BVV_A              11.600              -0.621                 185
              1BVZ_A              11.600              -0.652                 585
              1BWL_A              11.300              -0.669                 399
              1BWZ_A               8.500              -0.640                 274
              1BYA_A              10.400              -0.646                 491
              1BZC_A              11.500              -0.779                 297
              1C82_A              10.700              -0.713                 719
              1CA2_A              12.500              -0.691                 256
              1CB8_A              11.000              -0.686                 674
              1CBX_A              10.300              -0.639                 307
              1CDG_A              11.500              -0.591                 686
              1CEL_A              10.200              -0.652                 433
              1CHD_A              10.400              -0.716                 198
              1CHK_B              10.700              -0.626                 238
              1CM0_A              11.400              -0.702                 162
              1CNS_A              11.100              -0.622                 243
              1COY_A              10.400              -0.617                 501
              1CQQ_A              12.000              -0.720                 180
              1CVR_A              10.200              -0.676                 432
              1CWY_A              10.700              -0.664                 500
              1CZ1_A              11.700              -0.687                 394
